round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,0.1143,2.3424473197937012,5,20,1.0,0,0.21,1036.8
2,0.1,2.3877360385894777,5,20,1.0,0,0.18,1043.52
3,0.1,2.328782663345337,5,20,1.0,0,0.13,1066.04
4,0.1,2.3567556182861327,5,20,1.0,0,0.12,1040.78
5,0.1576,2.389041230773926,5,20,1.0,0,0.14,1065.6
6,0.2018,2.2548630920410155,5,20,0.2874,0,0.71,1064.9
7,0.1841,2.2449830173492433,5,20,0.2982,2,0.84,1035.62
8,0.2046,2.1698227157592775,5,20,0.2698,0,0.86,1066.05
9,0.1551,2.263084501647949,5,20,0.2413,0,0.66,1069.43
10,0.2171,2.1609651782989503,5,20,0.2363,0,0.57,1051.13
11,0.2421,1.96494554977417,5,20,0.2326,0,0.73,1051.88
12,0.2323,1.9965385000228881,5,20,0.2293,0,0.71,1037.59
13,0.2812,1.86206251373291,5,20,0.2255,0,0.9,1032.0
14,0.3262,1.8504562320709228,5,20,0.2424,1,0.7,1061.37
15,0.3245,1.8579193056106567,5,20,0.2593,1,0.92,1063.94
