round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,0.1143,2.3424473197937012,5,20,1.0,0,0.22,1061.17
2,0.1,2.3877360385894777,5,20,1.0,0,0.1,1033.25
3,0.1,2.328782663345337,5,20,1.0,0,0.13,1044.3
4,0.1,2.3567556182861327,5,20,1.0,0,0.09,1057.99
5,0.1576,2.389041230773926,5,20,1.0,0,0.1,1055.61
6,0.2018,2.2548630920410155,5,20,0.2874,0,0.58,1030.44
7,0.1841,2.2449830173492433,5,20,0.2982,2,0.81,1055.91
8,0.2046,2.1698227157592775,5,20,0.2698,0,0.92,1056.27
9,0.1551,2.263084501647949,5,20,0.2413,0,0.88,1056.75
10,0.2171,2.1609651782989503,5,20,0.2363,0,0.95,1053.44
11,0.2421,1.96494554977417,5,20,0.2326,0,0.77,1036.36
12,0.2323,1.9965385000228881,5,20,0.2293,0,0.45,1056.82
13,0.2812,1.86206251373291,5,20,0.2255,0,0.87,1057.28
14,0.3262,1.8504562320709228,5,20,0.2424,1,1.0,1061.33
15,0.3245,1.8579193056106567,5,20,0.2593,1,0.66,1041.72
