round,client_id,selected,utility,normalized_utility,detector,cusum_pos,cusum_neg,change_detected,change_direction,last_seen,age,explore_score,exploit_score,final_score
1,13,True,0.735478,-0.9428,none,,,False,,1,0,,,
1,8,True,0.526848,-2.072,none,,,False,,1,0,,,
1,11,True,0.909665,0.0,none,,,False,,1,0,,,
1,1,True,0.981567,0.3892,none,,,False,,1,0,,,
1,19,True,1.034285,0.6745,none,,,False,,1,0,,,
2,17,True,1.024917,0.7916,none,,,False,,2,0,,,
2,1,True,0.902876,0.3045,none,,,False,,2,0,,,
2,8,True,0.399686,-1.7042,none,,,False,,2,0,,,
2,15,True,0.826601,0.0,none,,,False,,2,0,,,
2,13,True,0.657634,-0.6745,none,,,False,,2,0,,,
3,9,True,0.441661,-0.6745,none,,,False,,3,0,,,
3,13,True,0.408732,-0.7946,none,,,False,,3,0,,,
3,7,True,0.626498,0.0,none,,,False,,3,0,,,
3,18,True,0.671035,0.1625,none,,,False,,3,0,,,
3,3,True,1.000559,1.365,none,,,False,,3,0,,,
4,9,True,0.315685,-0.6745,none,,,False,,4,0,,,
4,4,True,0.870321,1.4922,none,,,False,,4,0,,,
4,8,True,0.488345,0.0,none,,,False,,4,0,,,
4,7,True,0.477478,-0.0424,none,,,False,,4,0,,,
4,13,True,0.661623,0.6769,none,,,False,,4,0,,,
5,3,True,0.819987,0.0,none,,,False,,5,0,,,
5,13,True,0.726282,-0.4971,none,,,False,,5,0,,,
5,14,True,0.947125,0.6745,none,,,False,,5,0,,,
5,4,True,0.948688,0.6828,none,,,False,,5,0,,,
5,12,True,0.680532,-0.7398,none,,,False,,5,0,,,
6,4,True,0.9258,0.6745,none,,,False,,6,0,0.2604,1.3762,
6,17,True,1.052349,2.8592,none,,,False,,6,0,0.5142,1.1452,
6,14,True,0.596379,-3.0,none,,,False,,6,0,0.3392,1.028,
6,0,True,0.884737,-0.0344,none,,,False,,6,0,0.8,0.5,
6,2,True,0.886729,0.0,none,,,False,,6,0,0.8,0.5,
7,17,True,0.638919,-1.0953,none,,,False,,7,0,0.2521,2.1141,
7,4,True,1.000942,0.0,none,,,False,,7,0,0.225,1.1998,
7,19,True,1.125489,0.3768,none,,,False,,7,0,0.5903,1.028,
7,5,True,0.772669,-0.6906,none,,,False,,7,0,0.8,0.5,
7,6,True,1.223882,0.6745,none,,,False,,7,0,0.8,0.5,
8,17,True,0.933025,1.9653,none,,,False,,8,0,0.2188,1.1018,
8,6,True,0.43835,-0.6474,none,,,False,,8,0,0.3412,1.028,
8,3,True,0.560926,0.0,none,,,False,,8,0,0.3333,0.9712,
8,10,True,0.688631,0.6745,none,,,False,,8,0,0.8,0.5,
8,16,True,0.306233,-1.3452,none,,,False,,8,0,0.8,0.5,
9,17,True,0.816878,-0.0771,none,,,False,,9,0,0.1954,1.4667,
9,10,True,0.442842,-0.775,none,,,False,,9,0,0.3419,1.028,
9,19,True,1.219626,0.6745,none,,,False,,9,0,0.291,0.8143,
9,11,True,1.304807,0.8334,none,,,False,,9,0,0.6142,0.3536,
9,15,True,0.85817,0.0,none,,,False,,9,0,0.5753,0.3536,
10,19,True,0.956803,0.0,none,,,False,,10,0,0.21,0.8253,
10,11,True,0.701505,-3.0,none,,,False,,10,0,0.2571,0.7054,
10,3,True,0.983558,0.5714,none,,,False,,10,0,0.245,0.705,
10,4,True,0.988383,0.6745,none,,,False,,10,0,0.2615,0.676,
10,18,True,0.635315,-3.0,none,,,False,,10,0,0.5525,0.5161,
11,4,True,0.371968,-0.6745,none,,,False,,11,0,0.1747,0.6538,
11,1,True,1.039759,0.3451,none,,,False,,11,0,0.5157,0.6355,
11,19,True,0.29375,-0.7939,none,,,False,,11,0,0.1883,0.574,
11,12,True,1.990572,1.7969,none,,,False,,11,0,0.502,-0.3863,
11,0,True,0.813725,0.0,none,,,False,,11,0,0.4702,0.3192,
12,12,True,0.449138,-1.1627,none,,,False,,12,0,0.2646,0.8172,
12,1,True,0.624252,-0.3288,none,,,False,,12,0,0.2042,0.5963,
12,17,True,0.83495,0.6745,none,,,False,,12,0,0.2304,0.4684,
12,18,True,0.855319,0.7715,none,,,False,,12,0,0.4937,-1.6301,
12,2,True,0.693307,0.0,none,,,False,,12,0,0.4892,0.3536,
13,17,True,0.666637,0.0,none,,,False,,13,0,0.1592,1.0432,
13,3,True,1.135433,1.5476,none,,,False,,13,0,0.2373,0.4141,
13,1,True,1.090248,1.3985,none,,,False,,13,0,0.1834,0.3305,
13,7,True,0.637235,-0.0971,none,,,False,,13,0,0.4828,0.2675,
13,9,True,0.462324,-0.6745,none,,,False,,13,0,0.4828,-0.3858,
14,3,True,0.532955,-0.6745,none,,,False,,14,0,0.1679,0.9105,
14,1,True,0.707396,0.0049,none,,,False,,14,0,0.1679,0.6757,
14,17,True,0.904689,0.7734,none,,,False,,14,0,0.1487,0.3759,
14,5,True,0.706127,0.0,none,,,False,,14,0,0.4939,-0.3371,
14,16,True,0.352722,-1.3765,none,,,False,,14,0,0.4689,-0.9916,
15,3,True,0.272313,-1.7967,none,,,False,,15,0,0.1556,0.6705,
15,17,True,0.764931,0.0,none,,,False,,15,0,0.14,0.6493,
15,1,True,1.408648,2.3478,none,,,False,,15,0,0.1556,0.5472,
15,6,True,0.579999,-0.6745,none,,,False,,15,0,0.4121,0.3022,
15,18,True,0.862484,0.3558,none,,,False,,15,0,0.465,-0.9387,
