round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,0.1143,2.3424473197937012,5,20,1.0,0,0.31,1056.75
2,0.1,2.3877360385894777,5,20,1.0,0,0.1,1022.16
3,0.1,2.328782663345337,5,20,1.0,0,0.41,1061.79
4,0.1,2.3567556182861327,5,20,1.0,0,0.07,1021.86
5,0.1576,2.389041230773926,5,20,1.0,0,0.07,1060.3
6,0.2018,2.2548630920410155,5,20,0.2874,0,0.43,1061.48
7,0.1841,2.2449830173492433,5,20,0.2582,0,0.42,1023.3
8,0.2046,2.1698227157592775,5,20,0.2298,0,0.44,1061.45
9,0.1551,2.263084501647949,5,20,0.2013,0,0.43,1033.67
10,0.1871,2.3115781131744386,5,20,0.1963,0,0.56,1027.35
11,0.219,2.04646208152771,5,20,0.2127,1,0.84,1043.14
12,0.2625,1.9407894582748413,5,20,0.2087,0,0.9,1054.3
13,0.2937,1.8552183490753174,5,20,0.205,0,1.0,1052.1
14,0.2983,1.881764951324463,5,20,0.2024,0,0.93,1036.3
15,0.3124,1.7763185350418091,5,20,0.199,0,0.66,1038.96
