round,client_id,selected,utility,normalized_utility,detector,cusum_pos,cusum_neg,change_detected,change_direction,last_seen,age,explore_score,exploit_score,final_score
1,13,True,0.735478,0.7355,none,,,False,,1,0,,,
1,8,True,0.526848,0.5268,none,,,False,,1,0,,,
1,11,True,0.909665,0.9097,none,,,False,,1,0,,,
1,1,True,0.981567,0.9816,none,,,False,,1,0,,,
1,19,True,1.034285,1.0343,none,,,False,,1,0,,,
2,17,True,1.024917,1.0249,none,,,False,,2,0,,,
2,1,True,0.902876,0.9029,none,,,False,,2,0,,,
2,8,True,0.399686,0.3997,none,,,False,,2,0,,,
2,15,True,0.826601,0.8266,none,,,False,,2,0,,,
2,13,True,0.657634,0.6576,none,,,False,,2,0,,,
3,9,True,0.441661,0.4417,none,,,False,,3,0,,,
3,13,True,0.408732,0.4087,none,,,False,,3,0,,,
3,7,True,0.626498,0.6265,none,,,False,,3,0,,,
3,18,True,0.671035,0.671,none,,,False,,3,0,,,
3,3,True,1.000559,1.0006,none,,,False,,3,0,,,
4,9,True,0.315685,0.3157,none,,,False,,4,0,,,
4,4,True,0.870321,0.8703,none,,,False,,4,0,,,
4,8,True,0.488345,0.4883,none,,,False,,4,0,,,
4,7,True,0.477478,0.4775,none,,,False,,4,0,,,
4,13,True,0.661623,0.6616,none,,,False,,4,0,,,
5,3,True,0.819987,0.82,none,,,False,,5,0,,,
5,13,True,0.726282,0.7263,none,,,False,,5,0,,,
5,14,True,0.947125,0.9471,none,,,False,,5,0,,,
5,4,True,0.948688,0.9487,none,,,False,,5,0,,,
5,12,True,0.680532,0.6805,none,,,False,,5,0,,,
6,19,True,1.042561,1.0426,none,,,False,,6,0,0.5725,1.3878,
6,17,True,1.056185,1.0562,none,,,False,,6,0,0.5142,1.3785,
6,14,True,0.564959,0.565,none,,,False,,6,0,0.3392,1.3007,
6,0,True,0.874058,0.8741,none,,,False,,6,0,0.8,0.5,
6,2,True,0.900821,0.9008,none,,,False,,6,0,0.8,0.5,
7,17,True,0.590664,0.5907,none,,,False,,7,0,0.2521,1.3292,
7,19,True,0.822833,0.8228,none,,,False,,7,0,0.2521,1.3271,
7,11,True,1.224663,1.2247,none,,,False,,7,0,0.5903,1.2632,
7,5,True,0.802307,0.8023,none,,,False,,7,0,0.8,0.5,
7,6,True,1.069616,1.0696,none,,,False,,7,0,0.8,0.5,
8,6,True,0.649443,0.6494,none,,,False,,8,0,0.3412,1.4232,
8,11,True,1.097486,1.0975,none,,,False,,8,0,0.2458,1.3558,
8,2,True,0.507302,0.5073,none,,,False,,8,0,0.385,1.2544,
8,10,True,0.733984,0.734,none,,,False,,8,0,0.8,0.5,
8,16,True,0.48936,0.4894,none,,,False,,8,0,0.8,0.5,
9,11,True,0.541544,0.5415,none,,,False,,9,0,0.2139,1.3273,
9,1,True,0.851742,0.8517,none,,,False,,9,0,0.4854,1.2309,
9,0,True,0.442203,0.4422,none,,,False,,9,0,0.4197,1.2276,
9,19,True,1.307869,1.3079,none,,,False,,9,0,0.2528,1.2166,
9,15,True,0.729313,0.7293,none,,,False,,9,0,0.5753,1.1802,
10,19,True,0.9187,0.9187,none,,,False,,10,0,0.1915,1.2814,
10,3,True,1.069774,1.0698,none,,,False,,10,0,0.3971,1.1989,
10,4,True,0.79198,0.792,none,,,False,,10,0,0.3971,1.1982,
10,11,True,0.813619,0.8136,none,,,False,,10,0,0.1915,1.1782,
10,18,True,0.434996,0.435,none,,,False,,10,0,0.5525,1.0246,
11,19,True,0.387685,0.3877,cusum,,,True,positive,11,0,0.3747,2.2206,
11,3,True,0.59629,0.5963,none,,,False,,11,0,0.2068,1.2134,
11,1,True,1.172423,1.1724,none,,,False,,11,0,0.2386,1.1621,
11,12,True,1.975194,1.9752,none,,,False,,11,0,0.502,1.0341,
11,7,True,0.995953,0.996,none,,,False,,11,0,0.4521,0.8407,
12,19,True,1.073945,1.0739,none,,,False,,12,0,0.3615,2.0604,
12,12,True,0.416457,0.4165,none,,,False,,12,0,0.2646,1.6165,
12,1,True,0.781603,0.7816,none,,,False,,12,0,0.1857,1.1993,
12,9,True,0.252883,0.2529,none,,,False,,12,0,0.4687,0.6673,
12,5,True,0.870358,0.8704,none,,,False,,12,0,0.46,1.1559,
13,19,True,0.953401,0.9534,none,,,False,,13,0,0.3507,1.9702,
13,12,True,0.660429,0.6604,none,,,False,,13,0,0.2096,1.2741,
13,6,True,0.693206,0.6932,none,,,False,,13,0,0.3751,1.1482,
13,10,True,0.2854,0.2854,none,,,False,,13,0,0.4513,1.0875,
13,16,True,0.631016,0.631,none,,,False,,13,0,0.4513,0.8429,
14,12,True,0.600935,0.6009,cusum,,,True,positive,14,0,0.3815,2.241,
14,19,True,1.015061,1.0151,none,,,False,,14,0,0.3417,1.9717,
14,17,True,1.085391,1.0854,none,,,False,,14,0,0.3643,1.1406,
14,14,True,1.387277,1.3873,none,,,False,,14,0,0.4449,1.0447,
14,8,True,0.6201,0.6201,none,,,False,,14,0,0.4393,0.7216,
15,19,True,1.069199,1.0692,none,,,False,,15,0,0.334,2.1722,
15,12,True,0.799262,0.7993,none,,,False,,15,0,0.3662,1.7634,
15,14,True,0.418185,0.4182,none,,,False,,15,0,0.2183,1.2165,
15,2,True,0.476392,0.4764,none,,,False,,15,0,0.4121,0.9927,
15,0,True,0.324783,0.3248,none,,,False,,15,0,0.3887,0.9468,
