round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,0.1143,2.3424473197937012,5,20,1.0,0,0.24,1028.29
2,0.1,2.3877360385894777,5,20,1.0,0,0.09,1036.3
3,0.1,2.328782663345337,5,20,1.0,0,0.07,1041.98
4,0.1,2.3567556182861327,5,20,1.0,0,0.08,1062.32
5,0.1576,2.389041230773926,5,20,1.0,0,0.09,1042.49
6,0.1781,2.250842320251465,5,20,0.2874,0,0.86,1041.1
7,0.1754,2.174649982070923,5,20,0.2577,0,0.93,1055.84
8,0.1737,2.2275858436584475,5,20,0.229,0,0.48,1039.53
9,0.1734,2.125603269958496,5,20,0.1998,0,0.8,1056.14
10,0.2252,2.2289704833984376,5,20,0.1953,0,0.7,1052.43
11,0.2345,2.014893382644653,5,20,0.2117,1,0.89,1027.47
12,0.2728,1.9234526720046996,5,20,0.2083,0,0.84,1053.72
13,0.2992,1.9238160583496093,5,20,0.2048,0,0.81,1051.79
14,0.2654,1.8768734842300414,5,20,0.2207,1,0.58,1050.16
15,0.3047,1.8191939817428588,5,20,0.2183,0,0.7,1031.3
