round,client_id,selected,utility,normalized_utility,detector,cusum_pos,cusum_neg,change_detected,change_direction,last_seen,age,explore_score,exploit_score,final_score
1,13,True,0.735478,-0.9428,none,,,False,,1,0,,,
1,8,True,0.526848,-2.072,none,,,False,,1,0,,,
1,11,True,0.909665,0.0,none,,,False,,1,0,,,
1,1,True,0.981567,0.3892,none,,,False,,1,0,,,
1,19,True,1.034285,0.6745,none,,,False,,1,0,,,
2,17,True,1.024917,0.7916,none,,,False,,2,0,,,
2,1,True,0.902876,0.3045,none,,,False,,2,0,,,
2,8,True,0.399686,-1.7042,none,,,False,,2,0,,,
2,15,True,0.826601,0.0,none,,,False,,2,0,,,
2,13,True,0.657634,-0.6745,none,,,False,,2,0,,,
3,9,True,0.441661,-0.6745,none,,,False,,3,0,,,
3,13,True,0.408732,-0.7946,none,,,False,,3,0,,,
3,7,True,0.626498,0.0,none,,,False,,3,0,,,
3,18,True,0.671035,0.1625,none,,,False,,3,0,,,
3,3,True,1.000559,1.365,none,,,False,,3,0,,,
4,9,True,0.315685,-0.6745,none,,,False,,4,0,,,
4,4,True,0.870321,1.4922,none,,,False,,4,0,,,
4,8,True,0.488345,0.0,none,,,False,,4,0,,,
4,7,True,0.477478,-0.0424,none,,,False,,4,0,,,
4,13,True,0.661623,0.6769,none,,,False,,4,0,,,
5,3,True,0.819987,0.0,none,,,False,,5,0,,,
5,13,True,0.726282,-0.4971,none,,,False,,5,0,,,
5,14,True,0.947125,0.6745,none,,,False,,5,0,,,
5,4,True,0.948688,0.6828,none,,,False,,5,0,,,
5,12,True,0.680532,-0.7398,none,,,False,,5,0,,,
6,4,True,0.9258,0.0,none,,,False,,6,0,0.2604,1.3762,
6,17,True,1.052349,0.6745,none,,,False,,6,0,0.5142,1.1452,
6,14,True,0.596379,-1.7558,none,,,False,,6,0,0.3392,1.028,
6,19,True,1.274933,1.8608,none,,,False,,6,0,0.5725,1.028,
6,0,True,0.856528,-0.3692,none,,,False,,6,0,0.8,0.5,
7,19,True,0.382073,-0.6745,none,,,False,,7,0,0.2521,1.5563,
7,17,True,0.784867,2.4625,none,,,False,,7,0,0.2521,1.0217,
7,4,True,0.468678,0.0,none,,,False,,7,0,0.225,0.975,
7,3,True,1.111223,3.0,none,,,False,,7,0,0.3021,0.9712,
7,2,True,0.440814,-0.217,none,,,False,,7,0,0.8,0.5,
8,3,True,0.687017,-0.6745,none,,,False,,8,0,0.2188,1.705,
8,17,True,0.896993,0.0,none,,,False,,8,0,0.2188,1.5596,
8,19,True,0.476692,-1.3501,none,,,False,,8,0,0.2188,0.8703,
8,1,True,1.569227,2.1594,none,,,False,,8,0,0.4646,0.6355,
8,5,True,1.006107,0.3505,none,,,False,,8,0,0.8,0.5,
9,17,True,0.769832,0.0,none,,,False,,9,0,0.1954,1.2693,
9,1,True,1.016396,0.921,none,,,False,,9,0,0.2139,1.201,
9,3,True,0.589254,-0.6745,none,,,False,,9,0,0.1954,0.9988,
9,5,True,0.58029,-0.708,none,,,False,,9,0,0.3419,0.7041,
9,6,True,0.862627,0.3466,none,,,False,,9,0,0.8,0.5,
10,1,True,1.150258,1.7186,none,,,False,,10,0,0.1915,1.3519,
10,17,True,0.991131,1.2426,none,,,False,,10,0,0.1779,1.025,
10,3,True,0.350253,-0.6745,none,,,False,,10,0,0.1779,0.7545,
10,6,True,0.521498,-0.1622,none,,,False,,10,0,0.3425,0.7002,
10,10,True,0.575737,0.0,none,,,False,,10,0,0.8,0.5,
11,1,True,0.576779,-0.7048,none,,,False,,11,0,0.1747,1.8038,
11,17,True,0.99366,0.0,none,,,False,,11,0,0.1641,0.6032,
11,18,True,1.211414,0.3681,none,,,False,,11,0,0.5657,0.5161,
11,16,True,0.530037,-0.7838,none,,,False,,11,0,0.8,0.5,
11,11,True,1.392637,0.6745,none,,,False,,11,0,0.6293,0.3536,
12,1,True,0.950685,0.4832,none,,,False,,12,0,0.1615,0.8339,
12,11,True,0.641358,-0.9584,none,,,False,,12,0,0.2646,0.6259,
12,17,True,0.99173,0.6745,none,,,False,,12,0,0.1529,0.591,
12,18,True,0.1053,-3.0,none,,,False,,12,0,0.2646,0.554,
12,15,True,0.847,0.0,none,,,False,,12,0,0.6058,0.3536,
13,17,True,0.721872,-1.0892,none,,,False,,13,0,0.1436,0.8057,
13,1,True,1.058397,0.6745,none,,,False,,13,0,0.1507,0.6758,
13,4,True,0.929702,0.0,none,,,False,,13,0,0.3181,0.4512,
13,6,True,1.51193,3.0,none,,,False,,13,0,0.3213,0.3809,
13,12,True,0.820289,-0.5734,none,,,False,,13,0,0.5321,-0.3863,
14,6,True,0.64911,-0.079,none,,,False,,14,0,0.2143,1.3115,
14,10,True,0.392773,-3.0,none,,,False,,14,0,0.4189,0.3536,
14,1,True,0.707389,0.6745,none,,,False,,14,0,0.1417,0.3176,
14,15,True,0.961174,3.0,none,,,False,,14,0,0.2949,0.2887,
14,0,True,0.655224,0.0,none,,,False,,14,0,0.5189,-0.0157,
15,15,True,0.558351,-0.6745,none,,,False,,15,0,0.2183,1.25,
15,6,True,0.732378,0.0,none,,,False,,15,0,0.1799,1.1432,
15,1,True,0.537033,-0.7571,none,,,False,,15,0,0.134,0.7688,
15,7,True,0.765279,0.1275,none,,,False,,15,0,0.5054,0.2675,
15,2,True,0.940041,0.8049,none,,,False,,15,0,0.5075,0.1365,
