round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,0.1143,2.3424473197937012,5,20,1.0,0,0.16,1038.58
2,0.1,2.3877360385894777,5,20,1.0,0,0.11,1057.88
3,0.1,2.328782663345337,5,20,1.0,0,0.12,1033.17
4,0.1,2.3567556182861327,5,20,1.0,0,0.1,1028.99
5,0.1576,2.389041230773926,5,20,1.0,0,0.11,1021.76
6,0.1514,2.2895082164764404,5,20,0.08,0,0.36,1043.26
7,0.1937,2.3123041793823242,5,20,0.08,0,0.73,1033.98
8,0.2212,2.137503796386719,5,20,0.08,0,0.48,1026.61
9,0.2074,2.126110272598267,5,20,0.08,0,0.61,1040.14
10,0.2117,2.0791806240081785,5,20,0.08,0,0.63,1057.75
11,0.2003,2.1850101459503173,5,20,0.08,0,0.71,1055.07
12,0.2478,2.0507154445648195,5,20,0.08,0,0.75,1044.23
13,0.2241,2.088126049423218,5,20,0.08,0,0.7,1052.29
14,0.2714,1.9207573165893554,5,20,0.08,0,0.71,1050.94
15,0.3164,1.7964312770843507,5,20,0.08,0,0.48,1028.02
