round,client_id,selected,utility,normalized_utility,detector,cusum_pos,cusum_neg,change_detected,change_direction,last_seen,age,explore_score,exploit_score,final_score
1,13,True,0.735478,-0.9428,none,,,False,,1,0,,,
1,8,True,0.526848,-2.072,none,,,False,,1,0,,,
1,11,True,0.909665,0.0,none,,,False,,1,0,,,
1,1,True,0.981567,0.3892,none,,,False,,1,0,,,
1,19,True,1.034285,0.6745,none,,,False,,1,0,,,
2,17,True,1.024917,0.7916,none,,,False,,2,0,,,
2,1,True,0.902876,0.3045,none,,,False,,2,0,,,
2,8,True,0.399686,-1.7042,none,,,False,,2,0,,,
2,15,True,0.826601,0.0,none,,,False,,2,0,,,
2,13,True,0.657634,-0.6745,none,,,False,,2,0,,,
3,9,True,0.441661,-0.6745,none,,,False,,3,0,,,
3,13,True,0.408732,-0.7946,none,,,False,,3,0,,,
3,7,True,0.626498,0.0,none,,,False,,3,0,,,
3,18,True,0.671035,0.1625,none,,,False,,3,0,,,
3,3,True,1.000559,1.365,none,,,False,,3,0,,,
4,9,True,0.315685,-0.6745,none,,,False,,4,0,,,
4,4,True,0.870321,1.4922,none,,,False,,4,0,,,
4,8,True,0.488345,0.0,none,,,False,,4,0,,,
4,7,True,0.477478,-0.0424,none,,,False,,4,0,,,
4,13,True,0.661623,0.6769,none,,,False,,4,0,,,
5,3,True,0.819987,0.0,none,,,False,,5,0,,,
5,13,True,0.726282,-0.4971,none,,,False,,5,0,,,
5,14,True,0.947125,0.6745,none,,,False,,5,0,,,
5,4,True,0.948688,0.6828,none,,,False,,5,0,,,
5,12,True,0.680532,-0.7398,none,,,False,,5,0,,,
6,4,True,0.9258,0.6745,none,,,False,,6,0,0.2604,1.3762,
6,17,True,1.052349,2.8592,none,,,False,,6,0,0.5142,1.1452,
6,14,True,0.596379,-3.0,none,,,False,,6,0,0.3392,1.028,
6,0,True,0.884737,-0.0344,none,,,False,,6,0,0.8,0.5,
6,2,True,0.886729,0.0,none,,,False,,6,0,0.8,0.5,
7,17,True,0.638919,-1.0953,none,,,False,,7,0,0.2521,2.1141,
7,4,True,1.000942,0.0,none,,,False,,7,0,0.225,1.1998,
7,19,True,1.125489,0.3768,none,,,False,,7,0,0.5903,1.028,
7,5,True,0.772669,-0.6906,none,,,False,,7,0,0.8,0.5,
7,6,True,1.223882,0.6745,none,,,False,,7,0,0.8,0.5,
8,17,True,0.933025,1.9653,none,,,False,,8,0,0.2188,1.1018,
8,6,True,0.43835,-0.6474,none,,,False,,8,0,0.3412,1.028,
8,3,True,0.560926,0.0,none,,,False,,8,0,0.3333,0.9712,
8,10,True,0.688631,0.6745,none,,,False,,8,0,0.8,0.5,
8,16,True,0.306233,-1.3452,none,,,False,,8,0,0.8,0.5,
9,17,True,0.816878,-0.0771,none,,,False,,9,0,0.1954,1.4667,
9,10,True,0.442842,-0.775,none,,,False,,9,0,0.3419,1.028,
9,19,True,1.219626,0.6745,none,,,False,,9,0,0.291,0.8143,
9,11,True,1.304807,0.8334,none,,,False,,9,0,0.6142,0.3536,
9,15,True,0.85817,0.0,none,,,False,,9,0,0.5753,0.3536,
10,19,True,0.956803,0.0,none,,,False,,10,0,0.21,0.8253,
10,11,True,0.701505,-3.0,none,,,False,,10,0,0.2571,0.7054,
10,3,True,0.983558,0.5714,none,,,False,,10,0,0.245,0.705,
10,4,True,0.988383,0.6745,none,,,False,,10,0,0.2615,0.676,
10,18,True,0.635315,-3.0,none,,,False,,10,0,0.5525,0.5161,
11,4,True,0.371968,-0.6745,none,,,False,,11,0,0.1747,0.6538,
11,1,True,1.039759,0.0,none,,,False,,11,0,0.5157,0.6355,
11,19,True,0.29375,-0.7535,none,,,False,,11,0,0.1883,0.574,
11,17,True,1.152812,0.1142,none,,,False,,11,0,0.2065,0.4684,
11,12,True,1.987765,0.9575,none,,,False,,11,0,0.502,-0.3863,
12,17,True,0.703762,0.0,none,,,False,,12,0,0.1615,0.8565,
12,1,True,0.805505,0.6745,none,,,False,,12,0,0.2042,0.4812,
12,3,True,1.222073,3.0,none,,,False,,12,0,0.2149,0.4141,
12,12,True,0.614425,-0.5922,none,,,False,,12,0,0.2646,0.3975,
12,0,True,0.529041,-1.1583,none,,,False,,12,0,0.4892,0.3192,
13,3,True,0.825452,0.0252,none,,,False,,13,0,0.1698,1.3946,
13,1,True,1.050315,1.7284,none,,,False,,13,0,0.1834,0.5499,
13,2,True,0.630115,-1.4544,none,,,False,,13,0,0.5052,0.3536,
13,6,True,0.822127,0.0,none,,,False,,13,0,0.3751,0.3022,
13,7,True,0.733079,-0.6745,none,,,False,,13,0,0.4828,0.2675,
14,3,True,0.47559,0.0,none,,,False,,14,0,0.1573,1.3879,
14,1,True,0.721214,0.7679,none,,,False,,14,0,0.1679,1.0051,
14,15,True,0.927504,1.4129,none,,,False,,14,0,0.3699,0.2887,
14,6,True,0.259857,-0.6745,none,,,False,,14,0,0.2143,0.259,
14,9,True,0.322387,-0.479,none,,,False,,14,0,0.4949,-0.3858,
15,1,True,0.662421,0.2777,none,,,False,,15,0,0.1556,1.2459,
15,3,True,0.714432,0.6849,none,,,False,,15,0,0.1471,1.1852,
15,15,True,0.54082,-0.6745,none,,,False,,15,0,0.2183,0.721,
15,10,True,0.313274,-2.4562,none,,,False,,15,0,0.3887,0.2384,
15,5,True,0.62696,0.0,none,,,False,,15,0,0.5075,-0.3371,
