round,client_id,selected,utility,normalized_utility,detector,cusum_pos,cusum_neg,change_detected,change_direction,last_seen,age,explore_score,exploit_score,final_score
1,13,True,0.735478,-0.9428,none,,,False,,1,0,,,
1,8,True,0.526848,-2.072,none,,,False,,1,0,,,
1,11,True,0.909665,0.0,none,,,False,,1,0,,,
1,1,True,0.981567,0.3892,none,,,False,,1,0,,,
1,19,True,1.034285,0.6745,none,,,False,,1,0,,,
2,17,True,1.024917,0.7916,none,,,False,,2,0,,,
2,1,True,0.902876,0.3045,none,,,False,,2,0,,,
2,8,True,0.399686,-1.7042,none,,,False,,2,0,,,
2,15,True,0.826601,0.0,none,,,False,,2,0,,,
2,13,True,0.657634,-0.6745,none,,,False,,2,0,,,
3,9,True,0.441661,-0.6745,none,,,False,,3,0,,,
3,13,True,0.408732,-0.7946,none,,,False,,3,0,,,
3,7,True,0.626498,0.0,none,,,False,,3,0,,,
3,18,True,0.671035,0.1625,none,,,False,,3,0,,,
3,3,True,1.000559,1.365,none,,,False,,3,0,,,
4,9,True,0.315685,-0.6745,none,,,False,,4,0,,,
4,4,True,0.870321,1.4922,none,,,False,,4,0,,,
4,8,True,0.488345,0.0,none,,,False,,4,0,,,
4,7,True,0.477478,-0.0424,none,,,False,,4,0,,,
4,13,True,0.661623,0.6769,none,,,False,,4,0,,,
5,3,True,0.819987,0.0,none,,,False,,5,0,,,
5,13,True,0.726282,-0.4971,none,,,False,,5,0,,,
5,14,True,0.947125,0.6745,none,,,False,,5,0,,,
5,4,True,0.948688,0.6828,none,,,False,,5,0,,,
5,12,True,0.680532,-0.7398,none,,,False,,5,0,,,
6,4,True,0.9258,0.6745,none,,,False,,6,0,0.2604,1.3762,
6,17,True,1.052349,2.8592,none,,,False,,6,0,0.5142,1.1452,
6,14,True,0.596379,-3.0,none,,,False,,6,0,0.3392,1.028,
6,0,True,0.884737,-0.0344,none,,,False,,6,0,0.8,0.5,
6,2,True,0.886729,0.0,none,,,False,,6,0,0.8,0.5,
7,17,True,0.638919,-1.0953,cusum,,,True,positive,7,0,0.4521,3.1141,
7,4,True,1.000942,0.0,none,,,False,,7,0,0.225,1.1998,
7,19,True,1.125489,0.3768,none,,,False,,7,0,0.5903,1.028,
7,5,True,0.772669,-0.6906,none,,,False,,7,0,0.8,0.5,
7,6,True,1.223882,0.6745,none,,,False,,7,0,0.8,0.5,
8,17,True,0.933025,1.9653,none,,,False,,8,0,0.4188,2.1018,
8,6,True,0.43835,-0.6474,none,,,False,,8,0,0.3412,1.028,
8,3,True,0.560926,0.0,none,,,False,,8,0,0.3333,0.9712,
8,10,True,0.688631,0.6745,none,,,False,,8,0,0.8,0.5,
8,16,True,0.306233,-1.3452,none,,,False,,8,0,0.8,0.5,
9,17,True,0.816878,-0.0771,none,,,False,,9,0,0.3954,2.4667,
9,10,True,0.442842,-0.775,none,,,False,,9,0,0.3419,1.028,
9,19,True,1.219626,0.6745,none,,,False,,9,0,0.291,0.8143,
9,11,True,1.304807,0.8334,none,,,False,,9,0,0.6142,0.3536,
9,15,True,0.85817,0.0,none,,,False,,9,0,0.5753,0.3536,
10,17,True,0.624548,-0.4414,none,,,False,,10,0,0.3779,1.4684,
10,19,True,1.031648,1.8025,none,,,False,,10,0,0.21,0.8253,
10,11,True,0.704632,0.0,none,,,False,,10,0,0.2571,0.7054,
10,14,True,0.980731,1.5218,none,,,False,,10,0,0.5621,-1.3741,
10,18,True,0.582263,-0.6745,none,,,False,,10,0,0.5525,0.5161,
11,17,True,0.619944,-0.7654,none,,,False,,11,0,0.3641,1.6713,
11,19,True,0.665541,-0.6745,none,,,False,,11,0,0.1883,1.1749,
11,3,True,1.003682,0.0,none,,,False,,11,0,0.2705,0.705,
11,1,True,1.249623,0.4906,none,,,False,,11,0,0.5157,0.6355,
11,12,True,1.60495,1.1994,none,,,False,,11,0,0.502,-0.3863,
12,19,True,1.022083,0.6745,none,,,False,,12,0,0.1721,0.805,
12,4,True,0.866124,0.0,none,,,False,,12,0,0.3024,0.676,
12,1,True,0.877092,0.0474,none,,,False,,12,0,0.2042,0.6447,
12,0,True,0.475166,-1.6908,none,,,False,,12,0,0.4892,0.3192,
12,2,True,0.536286,-1.4265,none,,,False,,12,0,0.4892,0.3536,
13,19,True,0.589305,-0.5933,none,,,False,,13,0,0.1592,0.7898,
13,11,True,1.224201,1.5973,none,,,False,,13,0,0.2635,0.5278,
13,12,True,1.466737,2.4341,none,,,False,,13,0,0.2944,0.5184,
13,7,True,0.761253,0.0,none,,,False,,13,0,0.4828,0.2675,
13,9,True,0.565762,-0.6745,none,,,False,,13,0,0.4828,-0.3858,
14,12,True,0.8908,0.0,cusum,,,True,positive,14,0,0.4143,2.2145,
14,11,True,0.921604,0.5165,none,,,False,,14,0,0.1815,1.0338,
14,1,True,0.780474,-1.8499,none,,,False,,14,0,0.2065,0.5044,
14,5,True,0.551048,-3.0,none,,,False,,14,0,0.4939,-0.3371,
14,14,True,0.931027,0.6745,none,,,False,,14,0,0.4893,-0.0179,
15,12,True,0.687064,-0.6166,none,,,False,,15,0,0.3799,2.4347,
15,11,True,0.982963,1.2169,none,,,False,,15,0,0.1662,0.9087,
15,4,True,0.895421,0.6745,none,,,False,,15,0,0.2129,0.429,
15,16,True,0.78657,0.0,none,,,False,,15,0,0.4842,-0.9916,
15,5,True,0.401694,-2.3849,cusum,,,True,negative,15,0,0.4721,-2.0566,
