round,client_id,selected,utility,normalized_utility,detector,cusum_pos,cusum_neg,change_detected,change_direction,last_seen,age,explore_score,exploit_score,final_score
1,13,True,0.735478,-0.5511,none,,,False,,1,0,,,
1,8,True,0.526848,-1.6772,none,,,False,,1,0,,,
1,11,True,0.909665,0.3892,none,,,False,,1,0,,,
1,1,True,0.981567,0.7773,none,,,False,,1,0,,,
1,19,True,1.034285,1.0619,none,,,False,,1,0,,,
2,17,True,1.024917,1.2104,none,,,False,,2,0,,,
2,1,True,0.902876,0.6478,none,,,False,,2,0,,,
2,8,True,0.399686,-1.6717,none,,,False,,2,0,,,
2,15,True,0.826601,0.2962,none,,,False,,2,0,,,
2,13,True,0.657634,-0.4827,none,,,False,,2,0,,,
3,9,True,0.441661,-0.8895,none,,,False,,3,0,,,
3,13,True,0.408732,-1.0453,none,,,False,,3,0,,,
3,7,True,0.626498,-0.0151,none,,,False,,3,0,,,
3,18,True,0.671035,0.1955,none,,,False,,3,0,,,
3,3,True,1.000559,1.7544,none,,,False,,3,0,,,
4,9,True,0.315685,-1.3083,none,,,False,,4,0,,,
4,4,True,0.870321,1.6294,none,,,False,,4,0,,,
4,8,True,0.488345,-0.3938,none,,,False,,4,0,,,
4,7,True,0.477478,-0.4513,none,,,False,,4,0,,,
4,13,True,0.661623,0.524,none,,,False,,4,0,,,
5,3,True,0.819987,-0.0411,none,,,False,,5,0,,,
5,13,True,0.726282,-0.8905,none,,,False,,5,0,,,
5,14,True,0.947125,1.1113,none,,,False,,5,0,,,
5,4,True,0.948688,1.1255,none,,,False,,5,0,,,
5,12,True,0.680532,-1.3052,none,,,False,,5,0,,,
6,4,True,0.9258,0.3786,none,,,False,,6,0,0.2604,1.6661,
6,17,True,1.052349,1.2252,none,,,False,,6,0,0.5142,1.5639,
6,14,True,0.596379,-1.8251,none,,,False,,6,0,0.3392,1.4649,
6,0,True,0.884737,0.1039,none,,,False,,6,0,0.8,0.5,
6,2,True,0.886729,0.1173,none,,,False,,6,0,0.8,0.5,
7,17,True,0.638919,-1.3601,none,,,False,,7,0,0.2521,1.5065,
7,19,True,0.915195,0.0237,none,,,False,,7,0,0.5903,1.4154,
7,4,True,1.001654,0.4568,none,,,False,,7,0,0.225,1.2945,
7,5,True,0.772669,-0.6902,none,,,False,,7,0,0.8,0.5,
7,6,True,1.223882,1.5699,none,,,False,,7,0,0.8,0.5,
8,6,True,0.462965,-0.6048,none,,,False,,8,0,0.3412,1.9234,
8,3,True,0.540279,-0.3496,none,,,False,,8,0,0.3333,1.1453,
8,1,True,1.212478,1.8698,none,,,False,,8,0,0.4646,1.0012,
8,10,True,0.672964,0.0885,none,,,False,,8,0,0.8,0.5,
8,16,True,0.342099,-1.0039,none,,,False,,8,0,0.8,0.5,
9,1,True,0.54778,-1.8039,none,,,False,,9,0,0.2139,1.3483,
9,4,True,0.904276,-0.2605,none,,,False,,9,0,0.2343,0.8772,
9,19,True,1.028338,0.2767,none,,,False,,9,0,0.291,0.8315,
9,11,True,1.160968,0.8509,none,,,False,,9,0,0.6142,0.7427,
9,15,True,1.180811,0.9368,none,,,False,,9,0,0.5753,0.6498,
10,11,True,0.822133,0.0437,none,,,False,,10,0,0.2571,0.9087,
10,15,True,0.725929,-0.248,none,,,False,,10,0,0.2571,0.9052,
10,6,True,1.242454,1.3185,none,,,False,,10,0,0.2921,0.7712,
10,3,True,0.998329,0.5781,none,,,False,,10,0,0.245,0.7046,
10,18,True,0.249701,-1.6923,none,,,False,,10,0,0.5525,0.5491,
11,6,True,0.905381,-0.4498,none,,,False,,11,0,0.2068,1.0112,
11,19,True,1.337996,1.8671,none,,,False,,11,0,0.2386,0.7041,
11,11,True,0.841439,-0.7923,none,,,False,,11,0,0.2068,0.6779,
11,17,True,0.838745,-0.8067,none,,,False,,11,0,0.3023,0.6085,
11,12,True,1.023312,0.1818,none,,,False,,11,0,0.502,-0.9516,
12,19,True,1.007528,1.2749,none,,,False,,12,0,0.1857,0.9461,
12,15,True,0.683304,-0.1905,none,,,False,,12,0,0.2333,0.5783,
12,2,True,0.61,-0.5219,none,,,False,,12,0,0.4892,0.4708,
12,1,True,0.930001,0.9245,none,,,False,,12,0,0.244,0.4615,
12,0,True,0.396474,-1.487,none,,,False,,12,0,0.4892,0.4575,
13,19,True,0.799683,0.7079,none,,,False,,13,0,0.1698,1.3437,
13,1,True,0.78691,0.6266,none,,,False,,13,0,0.1698,0.5343,
13,10,True,0.395851,-1.8639,none,,,False,,13,0,0.4513,0.4421,
13,4,True,0.807963,0.7607,none,,,False,,13,0,0.2506,0.3958,
13,7,True,0.652218,-0.2312,none,,,False,,13,0,0.4828,0.0554,
14,19,True,0.45074,-0.505,none,,,False,,14,0,0.1573,1.4723,
14,4,True,0.336421,-0.8214,none,,,False,,14,0,0.1573,0.508,
14,15,True,1.292012,1.8234,none,,,False,,14,0,0.2065,0.3897,
14,6,True,0.744877,0.3091,none,,,False,,14,0,0.2315,0.3115,
14,9,True,0.341908,-0.8062,none,,,False,,14,0,0.4949,-0.8102,
15,19,True,0.616318,0.3466,none,,,False,,15,0,0.1471,0.6694,
15,15,True,0.639491,0.8815,none,,,False,,15,0,0.1662,0.6657,
15,6,True,0.55088,-1.1638,none,,,False,,15,0,0.1662,0.5967,
15,3,True,0.549141,-1.204,none,,,False,,15,0,0.2732,0.2861,
15,5,True,0.650672,1.1396,none,,,False,,15,0,0.5075,-0.3366,
