round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,0.1143,2.3424473197937012,5,20,1.0,0,0.23,1059.26
2,0.1,2.3877360385894777,5,20,1.0,0,0.09,1057.8
3,0.1,2.328782663345337,5,20,1.0,0,0.09,1026.91
4,0.1,2.3567556182861327,5,20,1.0,0,0.09,1029.75
5,0.1576,2.389041230773926,5,20,1.0,0,0.12,1056.43
6,0.2018,2.2548630920410155,5,20,0.2874,0,0.46,1042.95
7,0.1822,2.219555076599121,5,20,0.2582,0,0.76,1057.43
8,0.173,2.2352036540985107,5,20,0.2298,0,1.03,1061.04
9,0.1809,2.216040476989746,5,20,0.2011,0,0.82,1056.69
10,0.2307,2.049514133834839,5,20,0.1968,0,0.81,1042.25
11,0.2674,1.9377344482421874,5,20,0.1926,0,0.62,1061.26
12,0.273,1.911517855834961,5,20,0.1892,0,0.85,1032.93
13,0.2327,2.078402172279358,5,20,0.1853,0,0.83,1058.39
14,0.3019,1.8460166385650634,5,20,0.1823,0,0.77,1059.19
15,0.3205,1.825529966545105,5,20,0.1803,0,0.68,1044.27
