round,client_id,selected,utility,normalized_utility,detector,cusum_pos,cusum_neg,change_detected,change_direction,last_seen,age,explore_score,exploit_score,final_score
1,13,True,0.735478,0.4111,none,,,False,,1,0,,,
1,8,True,0.526848,0.0,none,,,False,,1,0,,,
1,11,True,0.909665,0.7544,none,,,False,,1,0,,,
1,1,True,0.981567,0.8961,none,,,False,,1,0,,,
1,19,True,1.034285,1.0,none,,,False,,1,0,,,
2,17,True,1.024917,1.0,none,,,False,,2,0,,,
2,1,True,0.902876,0.8048,none,,,False,,2,0,,,
2,8,True,0.399686,0.0,none,,,False,,2,0,,,
2,15,True,0.826601,0.6828,none,,,False,,2,0,,,
2,13,True,0.657634,0.4126,none,,,False,,2,0,,,
3,9,True,0.441661,0.0556,none,,,False,,3,0,,,
3,13,True,0.408732,0.0,none,,,False,,3,0,,,
3,7,True,0.626498,0.368,none,,,False,,3,0,,,
3,18,True,0.671035,0.4432,none,,,False,,3,0,,,
3,3,True,1.000559,1.0,none,,,False,,3,0,,,
4,9,True,0.315685,0.0,none,,,False,,4,0,,,
4,4,True,0.870321,1.0,none,,,False,,4,0,,,
4,8,True,0.488345,0.3113,none,,,False,,4,0,,,
4,7,True,0.477478,0.2917,none,,,False,,4,0,,,
4,13,True,0.661623,0.6237,none,,,False,,4,0,,,
5,3,True,0.819987,0.5201,none,,,False,,5,0,,,
5,13,True,0.726282,0.1706,none,,,False,,5,0,,,
5,14,True,0.947125,0.9942,none,,,False,,5,0,,,
5,4,True,0.948688,1.0,none,,,False,,5,0,,,
5,12,True,0.680532,0.0,none,,,False,,5,0,,,
6,17,True,1.045106,0.8169,none,,,False,,6,0,0.5142,1.3536,
6,19,True,1.15273,1.0,none,,,False,,6,0,0.5725,1.3536,
6,14,True,0.564959,0.0,none,,,False,,6,0,0.3392,1.3477,
6,0,True,0.874058,0.5259,none,,,False,,6,0,0.8,0.5,
6,2,True,0.900821,0.5714,none,,,False,,6,0,0.8,0.5,
7,19,True,0.679435,0.2171,none,,,False,,7,0,0.2521,1.2887,
7,4,True,0.743693,0.3381,none,,,False,,7,0,0.3021,1.2887,
7,17,True,0.564104,0.0,none,,,False,,7,0,0.2521,1.1971,
7,5,True,0.679817,0.2178,none,,,False,,7,0,0.8,0.5,
7,6,True,1.095314,1.0,none,,,False,,7,0,0.8,0.5,
8,6,True,0.519121,0.1025,none,,,False,,8,0,0.3412,1.3536,
8,1,True,1.266941,0.9915,none,,,False,,8,0,0.4646,1.1391,
8,11,True,1.274092,1.0,none,,,False,,8,0,0.6037,1.108,
8,10,True,0.601366,0.2003,none,,,False,,8,0,0.8,0.5,
8,16,True,0.432893,0.0,none,,,False,,8,0,0.8,0.5,
9,11,True,0.689422,0.4078,none,,,False,,9,0,0.2521,1.1659,
9,1,True,0.435992,0.0,none,,,False,,9,0,0.2139,1.1475,
9,3,True,0.854855,0.6741,none,,,False,,9,0,0.3687,1.0487,
9,15,True,1.057376,1.0,none,,,False,,9,0,0.5753,1.0364,
9,18,True,0.996635,0.9022,none,,,False,,9,0,0.5364,0.7968,
10,15,True,0.438483,0.0,none,,,False,,10,0,0.2571,1.1301,
10,4,True,0.675184,0.4291,none,,,False,,10,0,0.28,1.0294,
10,19,True,0.990098,1.0,none,,,False,,10,0,0.28,0.989,
10,3,True,0.861435,0.7668,none,,,False,,10,0,0.21,0.9814,
10,12,True,0.94671,0.9213,none,,,False,,10,0,0.4825,0.3536,
11,11,True,1.693171,1.0,none,,,False,,11,0,0.2386,0.9708,
11,19,True,0.920739,0.3524,none,,,False,,11,0,0.1883,0.9626,
11,18,True,0.680267,0.1507,none,,,False,,11,0,0.293,0.9614,
11,2,True,0.644907,0.1211,none,,,False,,11,0,0.4702,0.925,
11,0,True,0.500477,0.0,none,,,False,,11,0,0.4702,0.8794,
12,11,True,0.530365,0.0,none,,,False,,12,0,0.1857,1.0262,
12,3,True,0.876703,0.4473,none,,,False,,12,0,0.2149,0.8772,
12,17,True,0.815164,0.3678,none,,,False,,12,0,0.3208,0.8556,
12,6,True,1.30462,1.0,none,,,False,,12,0,0.3521,0.8399,
12,7,True,0.992856,0.5973,none,,,False,,12,0,0.4687,0.6185,
13,6,True,0.527036,0.2511,none,,,False,,13,0,0.2096,0.9508,
13,3,True,0.252649,0.0,none,,,False,,13,0,0.1698,0.8335,
13,1,True,1.178163,0.8471,none,,,False,,13,0,0.2642,0.8224,
13,4,True,1.345258,1.0,none,,,False,,13,0,0.2373,0.8127,
13,9,True,0.500963,0.2273,none,,,False,,13,0,0.4828,0.3165,
14,1,True,0.424066,0.0,none,,,False,,14,0,0.1679,0.817,
14,15,True,1.175075,0.8234,none,,,False,,14,0,0.2893,0.8109,
14,4,True,0.443646,0.0215,none,,,False,,14,0,0.1679,0.7932,
14,14,True,1.336103,1.0,none,,,False,,14,0,0.4449,0.7858,
14,5,True,1.065848,0.7037,none,,,False,,14,0,0.4939,0.5714,
15,14,True,0.542681,0.6377,none,,,False,,15,0,0.2183,0.9147,
15,15,True,0.187113,0.0,none,,,False,,15,0,0.1799,0.8314,
15,5,True,0.451677,0.4745,none,,,False,,15,0,0.2721,0.7494,
15,12,True,0.744666,1.0,none,,,False,,15,0,0.3654,0.7493,
15,10,True,0.715826,0.9483,none,,,False,,15,0,0.4842,0.5538,
