round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,0.1143,2.3424473197937012,5,20,1.0,0,0.27,1039.59
2,0.1,2.3877360385894777,5,20,1.0,0,0.13,1060.65
3,0.1,2.328782663345337,5,20,1.0,0,0.07,1045.16
4,0.1,2.3567556182861327,5,20,1.0,0,0.16,1043.46
5,0.1576,2.389041230773926,5,20,1.0,0,0.08,1056.79
6,0.2007,2.2505502895355223,5,20,0.2874,0,1.79,1031.68
7,0.1443,2.214602898025513,5,20,0.2577,0,0.97,1028.56
8,0.103,2.3782364585876463,5,20,0.2295,0,0.93,1041.95
9,0.2281,2.0719951038360596,5,20,0.2003,0,0.74,1058.27
10,0.2375,1.9770529933929444,5,20,0.1956,0,5.66,1033.95
11,0.2311,2.1479237510681153,5,20,0.192,0,1.06,1044.91
12,0.258,1.9761504695892333,5,20,0.1877,0,0.76,1057.28
13,0.2534,1.9881726587295532,5,20,0.1848,0,0.97,1061.76
14,0.2981,1.9535757125854492,5,20,0.1824,0,0.86,1043.49
15,0.2904,1.9552424688339234,5,20,0.1792,0,0.76,1037.96
