round,client_id,selected,utility,normalized_utility,detector,cusum_pos,cusum_neg,change_detected,change_direction,last_seen,age,explore_score,exploit_score,final_score
1,13,True,0.735478,0.7355,none,,,False,,1,0,,,
1,8,True,0.526848,0.5268,none,,,False,,1,0,,,
1,11,True,0.909665,0.9097,none,,,False,,1,0,,,
1,1,True,0.981567,0.9816,none,,,False,,1,0,,,
1,19,True,1.034285,1.0343,none,,,False,,1,0,,,
2,17,True,1.024917,1.0249,none,,,False,,2,0,,,
2,1,True,0.902876,0.9029,none,,,False,,2,0,,,
2,8,True,0.399686,0.3997,none,,,False,,2,0,,,
2,15,True,0.826601,0.8266,none,,,False,,2,0,,,
2,13,True,0.657634,0.6576,none,,,False,,2,0,,,
3,9,True,0.441661,0.4417,none,,,False,,3,0,,,
3,13,True,0.408732,0.4087,none,,,False,,3,0,,,
3,7,True,0.626498,0.6265,none,,,False,,3,0,,,
3,18,True,0.671035,0.671,none,,,False,,3,0,,,
3,3,True,1.000559,1.0006,none,,,False,,3,0,,,
4,9,True,0.315685,0.3157,none,,,False,,4,0,,,
4,4,True,0.870321,0.8703,none,,,False,,4,0,,,
4,8,True,0.488345,0.4883,none,,,False,,4,0,,,
4,7,True,0.477478,0.4775,none,,,False,,4,0,,,
4,13,True,0.661623,0.6616,none,,,False,,4,0,,,
5,3,True,0.819987,0.82,none,,,False,,5,0,,,
5,13,True,0.726282,0.7263,none,,,False,,5,0,,,
5,14,True,0.947125,0.9471,none,,,False,,5,0,,,
5,4,True,0.948688,0.9487,none,,,False,,5,0,,,
5,12,True,0.680532,0.6805,none,,,False,,5,0,,,
6,19,True,1.042561,1.0426,none,,,False,,6,0,0.5725,1.3878,
6,17,True,1.056185,1.0562,none,,,False,,6,0,0.5142,1.3785,
6,14,True,0.564959,0.565,none,,,False,,6,0,0.3392,1.3007,
6,0,True,0.874058,0.8741,none,,,False,,6,0,0.8,0.5,
6,2,True,0.900821,0.9008,none,,,False,,6,0,0.8,0.5,
7,17,True,0.590664,0.5907,none,,,False,,7,0,0.2521,1.3292,
7,19,True,0.822833,0.8228,none,,,False,,7,0,0.2521,1.3271,
7,11,True,1.224663,1.2247,none,,,False,,7,0,0.5903,1.2632,
7,5,True,0.802307,0.8023,none,,,False,,7,0,0.8,0.5,
7,6,True,1.069616,1.0696,none,,,False,,7,0,0.8,0.5,
8,6,True,0.649443,0.6494,none,,,False,,8,0,0.3412,1.4232,
8,11,True,1.097486,1.0975,none,,,False,,8,0,0.2458,1.3558,
8,2,True,0.507302,0.5073,none,,,False,,8,0,0.385,1.2544,
8,10,True,0.733984,0.734,none,,,False,,8,0,0.8,0.5,
8,16,True,0.48936,0.4894,none,,,False,,8,0,0.8,0.5,
9,11,True,0.541544,0.5415,none,,,False,,9,0,0.2139,1.3273,
9,1,True,0.851742,0.8517,none,,,False,,9,0,0.4854,1.2309,
9,0,True,0.442203,0.4422,none,,,False,,9,0,0.4197,1.2276,
9,19,True,1.307869,1.3079,none,,,False,,9,0,0.2528,1.2166,
9,15,True,0.729313,0.7293,none,,,False,,9,0,0.5753,1.1802,
10,19,True,0.9187,0.9187,none,,,False,,10,0,0.1915,1.2814,
10,3,True,1.069774,1.0698,none,,,False,,10,0,0.3971,1.1989,
10,4,True,0.79198,0.792,none,,,False,,10,0,0.3971,1.1982,
10,11,True,0.813619,0.8136,none,,,False,,10,0,0.1915,1.1782,
10,18,True,0.434996,0.435,none,,,False,,10,0,0.5525,1.0246,
11,19,True,0.387685,0.3877,none,,,False,,11,0,0.1747,1.2206,
11,3,True,0.59629,0.5963,none,,,False,,11,0,0.2068,1.2134,
11,1,True,1.172423,1.1724,none,,,False,,11,0,0.2386,1.1621,
11,5,True,0.783076,0.7831,none,,,False,,11,0,0.4384,1.1559,
11,12,True,2.031368,2.0314,none,,,False,,11,0,0.502,1.0341,
12,12,True,0.522572,0.5226,none,,,False,,12,0,0.2646,1.6446,
12,1,True,0.875642,0.8756,none,,,False,,12,0,0.1857,1.1993,
12,6,True,0.705174,0.7052,none,,,False,,12,0,0.3521,1.1482,
12,17,True,0.858602,0.8586,none,,,False,,12,0,0.3208,1.1406,
12,7,True,0.720823,0.7208,none,,,False,,12,0,0.4687,0.8407,
13,12,True,0.445858,0.4459,none,,,False,,13,0,0.2096,1.3282,
13,1,True,0.689876,0.6899,none,,,False,,13,0,0.1698,1.1707,
13,4,True,1.228663,1.2287,none,,,False,,13,0,0.2635,1.1203,
13,10,True,0.336572,0.3366,none,,,False,,13,0,0.4513,1.0875,
13,9,True,0.187418,0.1874,none,,,False,,13,0,0.4828,0.6673,
14,12,True,0.324811,0.3248,none,,,False,,14,0,0.1815,1.2235,
14,4,True,0.948806,0.9488,none,,,False,,14,0,0.1815,1.2134,
14,1,True,0.447695,0.4477,none,,,False,,14,0,0.1573,1.1016,
14,5,True,0.978167,0.9782,none,,,False,,14,0,0.3199,1.0814,
14,16,True,1.042752,1.0428,none,,,False,,14,0,0.4689,0.8429,
15,4,True,0.954401,0.9544,none,,,False,,15,0,0.1662,1.1939,
15,5,True,0.516595,0.5166,none,,,False,,15,0,0.2183,1.1045,
15,15,True,0.561293,0.5613,none,,,False,,15,0,0.3887,1.0666,
15,19,True,1.256832,1.2568,none,,,False,,15,0,0.2256,1.0604,
15,14,True,0.902978,0.903,none,,,False,,15,0,0.4587,1.0447,
