round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,0.1143,2.3424473197937012,5,20,1.0,0,0.18,1059.09
2,0.1,2.3877360385894777,5,20,1.0,0,0.1,1021.34
3,0.1,2.328782663345337,5,20,1.0,0,0.12,1044.66
4,0.1,2.3567556182861327,5,20,1.0,0,0.14,1026.76
5,0.1576,2.389041230773926,5,20,1.0,0,0.12,1043.89
6,0.1781,2.250842320251465,5,20,0.2874,0,0.85,1026.27
7,0.1754,2.174649982070923,5,20,0.2577,0,0.76,1060.85
8,0.1737,2.2275858436584475,5,20,0.229,0,0.63,1057.13
9,0.1734,2.125603269958496,5,20,0.1998,0,1.07,1053.95
10,0.2252,2.2289704833984376,5,20,0.1953,0,0.84,1028.38
11,0.2202,1.9732348159790039,5,20,0.1917,0,0.92,1052.21
12,0.2536,1.9909690494537353,5,20,0.1878,0,0.82,1061.92
13,0.2447,2.1172724348068237,5,20,0.1845,0,0.78,1060.95
14,0.2888,1.8974063793182374,5,20,0.1811,0,1.31,1056.33
15,0.2971,1.8191773778915405,5,20,0.178,0,0.65,1033.9
