round,client_id,selected,utility,normalized_utility,detector,cusum_pos,cusum_neg,change_detected,change_direction,last_seen,age,explore_score,exploit_score,final_score
1,13,True,0.735478,-0.9428,none,,,False,,1,0,,,
1,8,True,0.526848,-2.072,none,,,False,,1,0,,,
1,11,True,0.909665,0.0,none,,,False,,1,0,,,
1,1,True,0.981567,0.3892,none,,,False,,1,0,,,
1,19,True,1.034285,0.6745,none,,,False,,1,0,,,
2,17,True,1.024917,0.7916,none,,,False,,2,0,,,
2,1,True,0.902876,0.3045,none,,,False,,2,0,,,
2,8,True,0.399686,-1.7042,none,,,False,,2,0,,,
2,15,True,0.826601,0.0,none,,,False,,2,0,,,
2,13,True,0.657634,-0.6745,none,,,False,,2,0,,,
3,9,True,0.441661,-0.6745,none,,,False,,3,0,,,
3,13,True,0.408732,-0.7946,none,,,False,,3,0,,,
3,7,True,0.626498,0.0,none,,,False,,3,0,,,
3,18,True,0.671035,0.1625,none,,,False,,3,0,,,
3,3,True,1.000559,1.365,none,,,False,,3,0,,,
4,9,True,0.315685,-0.6745,none,,,False,,4,0,,,
4,4,True,0.870321,1.4922,none,,,False,,4,0,,,
4,8,True,0.488345,0.0,none,,,False,,4,0,,,
4,7,True,0.477478,-0.0424,none,,,False,,4,0,,,
4,13,True,0.661623,0.6769,none,,,False,,4,0,,,
5,3,True,0.819987,0.0,none,,,False,,5,0,,,
5,13,True,0.726282,-0.4971,none,,,False,,5,0,,,
5,14,True,0.947125,0.6745,none,,,False,,5,0,,,
5,4,True,0.948688,0.6828,none,,,False,,5,0,,,
5,12,True,0.680532,-0.7398,none,,,False,,5,0,,,
6,4,True,0.9258,0.0,none,,,False,,6,0,0.0583,1.0875,
6,17,True,1.052349,1.3582,none,,,False,,6,0,0.2667,0.7916,
6,3,True,1.102479,1.8963,none,,,False,,6,0,0.0583,0.6825,
6,0,True,0.888635,-0.3989,none,,,False,,6,0,0.45,0.0,
6,2,True,0.862956,-0.6745,none,,,False,,6,0,0.45,0.0,
7,3,True,0.824694,0.0,none,,,False,,7,0,0.05,1.0871,
7,17,True,0.493722,-1.7204,none,,,False,,7,0,0.05,1.0749,
7,4,True,0.95445,0.6745,none,,,False,,7,0,0.05,0.725,
7,5,True,0.686592,-0.7179,none,,,False,,7,0,0.45,0.0,
7,6,True,0.853595,0.1502,none,,,False,,7,0,0.45,0.0,
8,14,True,1.323472,0.6745,none,,,False,,8,0,0.1812,0.6745,
8,19,True,1.067065,0.1922,none,,,False,,8,0,0.3562,0.6745,
8,3,True,0.262294,-1.3214,none,,,False,,8,0,0.0437,0.6321,
8,10,True,0.96485,0.0,none,,,False,,8,0,0.45,0.0,
8,16,True,0.410694,-1.0422,none,,,False,,8,0,0.45,0.0,
9,14,True,0.641242,0.0,none,,,False,,9,0,0.05,0.6745,
9,4,True,0.448641,-0.6745,none,,,False,,9,0,0.0778,0.4524,
9,19,True,0.462297,-0.6267,none,,,False,,9,0,0.05,0.4334,
9,11,True,1.317192,2.3672,none,,,False,,9,0,0.3667,0.0,
9,15,True,0.843436,0.7081,none,,,False,,9,0,0.3278,0.0,
10,11,True,1.004035,0.6745,none,,,False,,10,0,0.055,1.1836,
10,14,True,0.654027,0.0,none,,,False,,10,0,0.035,0.4497,
10,15,True,0.541595,-0.2167,none,,,False,,10,0,0.055,0.354,
10,1,True,1.204235,1.0603,none,,,False,,10,0,0.3,0.3468,
10,18,True,0.278602,-0.7235,none,,,False,,10,0,0.305,0.1625,
11,11,True,0.751261,-1.7749,none,,,False,,11,0,0.0318,1.0139,
11,1,True,1.148755,0.0548,none,,,False,,11,0,0.0318,0.5846,
11,14,True,0.386221,-3.0,none,,,False,,11,0,0.0318,0.2248,
11,3,True,1.283379,0.6745,none,,,False,,11,0,0.0955,0.1916,
11,12,True,1.136847,0.0,none,,,False,,11,0,0.2545,-0.7398,
12,1,True,1.038795,0.7003,none,,,False,,12,0,0.0292,0.4732,
12,11,True,0.701746,-0.6745,none,,,False,,12,0,0.0292,0.4223,
12,15,True,0.612089,-1.0402,none,,,False,,12,0,0.0583,0.1638,
12,6,True,0.98773,0.492,none,,,False,,12,0,0.2125,0.1502,
12,7,True,0.867111,0.0,none,,,False,,12,0,0.2667,-0.0212,
13,1,True,0.723573,-0.3863,none,,,False,,13,0,0.0269,0.6051,
13,6,True,0.807872,0.0,none,,,False,,13,0,0.0654,0.3211,
13,17,True,0.955056,0.6745,none,,,False,,13,0,0.1692,0.1431,
13,19,True,1.253571,2.0425,none,,,False,,13,0,0.1154,0.08,
13,9,True,0.384068,-1.9421,none,,,False,,13,0,0.2808,-0.6745,
14,19,True,0.634007,0.0,none,,,False,,14,0,0.025,0.536,
14,6,True,0.265051,-2.4664,none,,,False,,14,0,0.0393,0.2141,
14,1,True,0.533107,-0.6745,none,,,False,,14,0,0.025,0.1229,
14,17,True,1.170561,3.0,none,,,False,,14,0,0.025,0.1041,
14,0,True,0.664206,0.2019,none,,,False,,14,0,0.2714,-0.3989,
15,17,True,0.821238,3.0,none,,,False,,15,0,0.0233,0.6513,
15,19,True,0.675706,0.0,none,,,False,,15,0,0.0233,0.4719,
15,10,True,0.233092,-3.0,none,,,False,,15,0,0.2367,0.0,
15,4,True,0.644196,-0.6745,none,,,False,,15,0,0.14,-0.0,
15,2,True,0.692693,0.3636,none,,,False,,15,0,0.2833,-0.6745,
