round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,0.1143,2.3424473197937012,5,20,1.0,0,0.37,1039.55
2,0.1,2.3877360385894777,5,20,1.0,0,0.67,1039.45
3,0.1,2.328782663345337,5,20,1.0,0,0.11,1031.89
4,0.1,2.3567556182861327,5,20,1.0,0,0.12,1022.7
5,0.1576,2.389041230773926,5,20,1.0,0,0.14,1023.49
6,0.154,2.2116866498947143,5,20,0.2874,0,0.84,1022.0
7,0.1783,2.2767255493164065,5,20,0.2587,0,0.68,1022.39
8,0.2081,2.149040946960449,5,20,0.2311,0,0.67,1059.29
9,0.2041,2.135474645805359,5,20,0.2022,0,0.69,1038.89
10,0.1996,2.152674842071533,5,20,0.1977,0,0.6,1027.11
11,0.2798,1.9336260805130006,5,20,0.1935,0,0.73,1057.47
12,0.2308,1.9726475952148437,5,20,0.1905,0,0.56,1028.3
13,0.2877,1.9770787647247314,5,20,0.1871,0,0.79,1039.79
14,0.2966,1.8792857362747193,5,20,0.1842,0,0.91,1026.32
15,0.292,1.8769719980239867,5,20,0.1814,0,0.9,1028.25
