round,client_id,selected,utility,normalized_utility,detector,cusum_pos,cusum_neg,change_detected,change_direction,last_seen,age,explore_score,exploit_score,final_score
1,96,True,0.103989,0.104,none,,,False,,1,0,,,
1,71,True,0.085331,0.0853,none,,,False,,1,0,,,
1,8,True,0.15944,0.1594,none,,,False,,1,0,,,
1,60,True,0.169141,0.1691,none,,,False,,1,0,,,
1,41,True,0.054502,0.0545,none,,,False,,1,0,,,
1,94,True,0.170074,0.1701,none,,,False,,1,0,,,
1,68,True,0.116835,0.1168,none,,,False,,1,0,,,
1,9,True,0.063078,0.0631,none,,,False,,1,0,,,
1,19,True,0.581615,0.5816,none,,,False,,1,0,,,
1,82,True,0.088074,0.0881,none,,,False,,1,0,,,
2,75,True,0.072724,0.0727,none,,,False,,2,0,,,
2,39,True,0.043396,0.0434,none,,,False,,2,0,,,
2,34,True,0.527895,0.5279,none,,,False,,2,0,,,
2,62,True,0.438033,0.438,none,,,False,,2,0,,,
2,81,True,0.192674,0.1927,none,,,False,,2,0,,,
2,17,True,0.031207,0.0312,none,,,False,,2,0,,,
2,40,True,0.103752,0.1038,none,,,False,,2,0,,,
2,46,True,0.115168,0.1152,none,,,False,,2,0,,,
2,54,True,0.239634,0.2396,none,,,False,,2,0,,,
2,88,True,0.442311,0.4423,none,,,False,,2,0,,,
3,66,True,0.378099,0.3781,none,,,False,,3,0,,,
3,71,True,0.278827,0.2788,none,,,False,,3,0,,,
3,25,True,0.41664,0.4166,none,,,False,,3,0,,,
3,44,True,0.851455,0.8515,none,,,False,,3,0,,,
3,34,True,0.567242,0.5672,none,,,False,,3,0,,,
3,15,True,0.623841,0.6238,none,,,False,,3,0,,,
3,58,True,0.265043,0.265,none,,,False,,3,0,,,
3,89,True,0.214935,0.2149,none,,,False,,3,0,,,
3,95,True,1.277282,1.2773,none,,,False,,3,0,,,
3,6,True,0.268789,0.2688,none,,,False,,3,0,,,
4,93,True,0.362802,0.3628,none,,,False,,4,0,,,
4,40,True,0.444316,0.4443,none,,,False,,4,0,,,
4,70,True,0.091381,0.0914,none,,,False,,4,0,,,
4,32,True,0.705551,0.7056,none,,,False,,4,0,,,
4,63,True,0.615786,0.6158,none,,,False,,4,0,,,
4,68,True,0.898567,0.8986,none,,,False,,4,0,,,
4,35,True,0.812504,0.8125,none,,,False,,4,0,,,
4,90,True,0.326955,0.327,none,,,False,,4,0,,,
4,14,True,0.252487,0.2525,none,,,False,,4,0,,,
4,86,True,0.336622,0.3366,none,,,False,,4,0,,,
5,70,True,0.11528,0.1153,none,,,False,,5,0,,,
5,81,True,1.056292,1.0563,none,,,False,,5,0,,,
5,20,True,0.93292,0.9329,none,,,False,,5,0,,,
5,62,True,0.590622,0.5906,none,,,False,,5,0,,,
5,89,True,0.530436,0.5304,none,,,False,,5,0,,,
5,98,True,0.582595,0.5826,none,,,False,,5,0,,,
5,41,True,0.377766,0.3778,none,,,False,,5,0,,,
5,15,True,0.582651,0.5827,none,,,False,,5,0,,,
5,52,True,0.603625,0.6036,none,,,False,,5,0,,,
5,30,True,0.359564,0.3596,none,,,False,,5,0,,,
6,63,True,0.40237,0.4024,none,,,False,,6,0,,,
6,26,True,0.538255,0.5383,none,,,False,,6,0,,,
6,0,True,0.698916,0.6989,none,,,False,,6,0,,,
6,19,True,1.269448,1.2694,none,,,False,,6,0,,,
6,22,True,0.726902,0.7269,none,,,False,,6,0,,,
6,13,True,1.259282,1.2593,none,,,False,,6,0,,,
6,59,True,0.616154,0.6162,none,,,False,,6,0,,,
6,79,True,0.378798,0.3788,none,,,False,,6,0,,,
6,99,True,0.476097,0.4761,none,,,False,,6,0,,,
6,78,True,1.149185,1.1492,none,,,False,,6,0,,,
7,23,True,0.65966,0.6597,none,,,False,,7,0,,,
7,65,True,0.564253,0.5643,none,,,False,,7,0,,,
7,52,True,0.424989,0.425,none,,,False,,7,0,,,
7,3,True,0.743461,0.7435,none,,,False,,7,0,,,
7,42,True,0.363761,0.3638,none,,,False,,7,0,,,
7,13,True,0.788618,0.7886,none,,,False,,7,0,,,
7,47,True,0.559749,0.5597,none,,,False,,7,0,,,
7,46,True,0.354727,0.3547,none,,,False,,7,0,,,
