round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,0.1,2.313992835998535,10,100,1.0,0,0.47,1988.95
2,0.1,2.3251700618743896,10,100,1.0,0,0.15,1988.95
3,0.1,2.33620553817749,10,100,1.0,0,0.09,1988.95
4,0.1,2.342021308898926,10,100,1.0,0,0.08,1988.95
5,0.1,2.3604026069641115,10,100,1.0,0,0.08,1988.95
6,0.1,2.3760377624511717,10,100,1.0,0,0.12,1988.95
7,0.1,2.3257150779724123,10,100,1.0,0,0.08,1988.95
8,0.1,2.3561494594573973,10,100,1.0,0,0.09,1988.95
9,0.1,2.3840673442840576,10,100,1.0,0,0.08,1988.95
10,0.1276,2.3324938220977782,10,100,1.0,0,0.13,1988.95
11,0.1,2.341235918045044,10,100,0.2738,0,1.2,1988.95
12,0.115,2.3536610244750977,10,100,0.2648,0,1.25,1988.95
13,0.119,2.3920793937683107,10,100,0.256,0,1.79,1988.95
14,0.1001,2.3032072410583497,10,100,0.2512,1,1.33,1988.95
15,0.1401,2.318641455078125,10,100,0.2506,2,1.53,1988.95
16,0.1055,2.2959916248321535,10,100,0.2461,1,1.34,1988.95
17,0.1048,2.2796907875061034,10,100,0.2377,1,1.37,1988.95
18,0.1002,2.3151026767730714,10,100,0.2291,1,1.38,1988.95
19,0.1106,2.2823168670654295,10,100,0.2208,1,1.44,1988.95
20,0.105,2.2897381778717043,10,100,0.2164,2,1.47,1988.95
21,0.1268,2.270915005493164,10,100,0.2082,0,1.65,1988.95
22,0.1358,2.2821873291015624,10,100,0.1996,2,1.6,1988.95
23,0.1613,2.2529823181152344,10,100,0.1936,1,2.2,1988.95
24,0.1546,2.2594342430114747,10,100,0.1964,1,1.46,1988.95
25,0.1401,2.2302246379852293,10,100,0.1954,2,1.65,1988.95
26,0.1438,2.264525877380371,10,100,0.1944,3,1.92,1988.95
27,0.1429,2.2200536054611204,10,100,0.1935,0,1.48,1988.95
28,0.1519,2.22033897857666,10,100,0.1926,1,1.57,1988.95
29,0.1568,2.2152670631408693,10,100,0.1958,4,1.85,1988.95
30,0.1694,2.1949866638183595,10,100,0.1991,2,1.62,1988.95
31,0.1743,2.1687404487609863,10,100,0.1983,0,2.11,1988.95
32,0.1557,2.151391551208496,10,100,0.1974,2,1.56,1988.95
33,0.1924,2.1235502643585207,10,100,0.1965,2,1.57,1988.95
34,0.2219,2.1023505891799927,10,100,0.1957,1,3.85,1988.95
35,0.2409,2.1165558744430544,10,100,0.1948,0,2.74,1988.95
36,0.2073,2.1318466495513917,10,100,0.1979,3,1.88,1988.95
37,0.2008,2.1207755184173585,10,100,0.1971,3,1.51,1988.95
38,0.2444,2.088916477203369,10,100,0.1965,1,1.51,1988.95
39,0.214,2.1204519296646116,10,100,0.1958,1,1.52,1988.95
40,0.2554,2.09204489402771,10,100,0.1912,2,2.08,1988.95
41,0.2263,2.0808893632888794,10,100,0.1905,2,1.93,1988.95
42,0.2341,2.0886270225524903,10,100,0.1899,1,1.55,1988.95
43,0.2423,2.0845378311157226,10,100,0.1892,1,1.62,1988.95
