round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,0.1,2.3083745876312256,10,100,1.0,0,0.22,1988.87
2,0.1,2.355557266998291,10,100,1.0,0,0.08,1988.87
3,0.1,2.354993709564209,10,100,1.0,0,0.08,1988.87
4,0.1,2.391710426330566,10,100,1.0,0,0.09,1988.87
5,0.1,2.3445773429870607,10,100,1.0,0,0.08,1988.87
6,0.1,2.3201407943725587,10,100,1.0,0,0.1,1988.87
7,0.1,2.403560315704346,10,100,1.0,0,0.08,1988.87
8,0.1103,2.3317992778778076,10,100,1.0,0,0.09,1988.87
9,0.1,2.3275664443969726,10,100,1.0,0,0.08,1988.87
10,0.1,2.342174266052246,10,100,1.0,0,0.09,1988.87
11,0.13,2.3213820755004884,10,100,0.264,0,1.23,1988.87
12,0.1115,2.364659353637695,10,100,0.2471,1,1.39,1988.87
13,0.1488,2.2995997077941897,10,100,0.2212,0,1.37,1988.87
14,0.1414,2.2901955837249757,10,100,0.1953,0,1.39,1988.87
15,0.1193,2.357135091781616,10,100,0.1858,0,2.04,1988.87
16,0.1375,2.3100246578216552,10,100,0.1832,0,1.53,1988.87
17,0.1057,2.2971186378479005,10,100,0.1806,0,1.49,1988.87
18,0.1306,2.315817753601074,10,100,0.178,0,2.16,1988.87
19,0.1454,2.2581388900756836,10,100,0.1754,0,2.37,1988.87
20,0.1276,2.2589483947753908,10,100,0.1728,0,1.67,1988.87
21,0.1614,2.2543427452087403,10,100,0.1702,0,1.65,1988.87
22,0.1252,2.2981568355560302,10,100,0.1641,0,1.62,1988.87
23,0.1675,2.236600511932373,10,100,0.1786,4,1.79,1988.87
24,0.1187,2.2670886474609375,10,100,0.1852,2,1.46,1988.87
25,0.1632,2.2189069602966307,10,100,0.1922,4,1.75,1988.87
26,0.1482,2.232461238861084,10,100,0.1953,2,1.48,1988.87
27,0.154,2.262880906295776,10,100,0.1985,1,1.6,1988.87
28,0.1837,2.2070292335510255,10,100,0.1975,2,1.72,1988.87
29,0.1271,2.247477991104126,10,100,0.2046,3,2.81,1988.87
30,0.1661,2.230405578613281,10,100,0.2076,1,3.21,1988.87
31,0.1867,2.1698299781799317,10,100,0.2187,3,1.56,1988.87
32,0.1618,2.184129682159424,10,100,0.2218,2,1.63,1988.87
33,0.1585,2.199153388977051,10,100,0.2209,1,1.7,1988.87
34,0.1468,2.237544376373291,10,100,0.22,1,1.54,1988.87
35,0.164,2.1925972007751464,10,100,0.2111,1,2.69,1988.87
36,0.217,2.1407481025695803,10,100,0.2063,2,1.91,1988.87
37,0.1865,2.16337041015625,10,100,0.2095,2,1.87,1988.87
38,0.1867,2.1972279304504396,10,100,0.2125,3,1.9,1988.87
39,0.1843,2.181147052001953,10,100,0.2075,4,1.64,1988.87
40,0.2486,2.0586281341552732,10,100,0.2066,3,1.69,1988.87
41,0.2329,2.07231914768219,10,100,0.1977,0,2.85,1988.87
42,0.2696,2.005030751609802,10,100,0.1927,1,2.48,1988.87
43,0.222,2.109096892929077,10,100,0.1917,2,1.85,1988.87
44,0.2509,2.04763519821167,10,100,0.1987,2,1.69,1988.87
45,0.1943,2.133975954437256,10,100,0.2134,5,1.56,1988.87
46,0.2311,2.01853976020813,10,100,0.2124,2,2.05,1988.87
47,0.2764,1.9766980524063111,10,100,0.2114,5,1.71,1988.87
48,0.2432,1.9996217796325684,10,100,0.2065,2,1.82,1988.87
49,0.2425,1.988188059234619,10,100,0.1979,0,1.72,1988.87
50,0.2796,1.9740729713439942,10,100,0.1893,3,1.72,1988.87
51,0.2178,1.9972854236602784,10,100,0.2007,4,1.83,1988.87
52,0.2722,1.9580412866592407,10,100,0.196,1,1.65,1988.87
53,0.2104,2.0419164684295654,10,100,0.1914,2,1.82,1988.87
54,0.2824,1.9509308494567872,10,100,0.1909,2,2.5,1988.87
55,0.2769,1.9192164978027344,10,100,0.1943,3,2.89,1988.87
56,0.2874,1.9900666275024415,10,100,0.2017,2,2.13,1988.87
57,0.3014,1.9072970100402833,10,100,0.2011,2,1.71,1988.87
58,0.293,1.8928610244750976,10,100,0.2085,5,1.66,1988.87
59,0.2537,1.9188531679153442,10,100,0.208,0,1.71,1988.87
60,0.3108,1.8536990077972413,10,100,0.2035,1,1.79,1988.87
61,0.306,1.8597304878234864,10,100,0.195,1,1.8,1988.87
62,0.2846,1.9217688186645507,10,100,0.2064,5,2.1,1988.87
63,0.2494,1.9726424659729005,10,100,0.2019,1,1.87,1988.87
64,0.296,1.9123596540451049,10,100,0.1974,1,1.72,1988.87
65,0.2539,1.9846253154754638,10,100,0.1929,5,1.81,1988.87
66,0.2812,1.8747667375564576,10,100,0.1884,1,2.49,1988.87
67,0.313,1.8669170070648193,10,100,0.1919,5,2.93,1988.87
68,0.2877,1.885273650741577,10,100,0.1874,1,1.92,1988.87
69,0.3485,1.842175556564331,10,100,0.1948,3,1.77,1988.87
70,0.2942,1.8994343326568603,10,100,0.1984,1,1.77,1988.87
71,0.3358,1.8348677185058593,10,100,0.1979,2,1.9,1988.87
72,0.3262,1.8579077136993407,10,100,0.1894,0,2.19,1988.87
73,0.3268,1.8600947414398192,10,100,0.185,0,1.79,1988.87
74,0.3105,1.8449119844436646,10,100,0.1807,1,1.72,1988.87
75,0.2903,1.9141024211883544,10,100,0.1802,3,1.88,1988.87
76,0.2948,1.904030987930298,10,100,0.1798,1,1.85,1988.87
77,0.2947,1.928152339744568,10,100,0.1753,4,2.07,1988.87
78,0.2954,1.8992745906829833,10,100,0.1709,1,2.53,1988.87
79,0.3124,1.8288675294876098,10,100,0.1703,4,1.88,1988.87
80,0.3021,1.8687047561645507,10,100,0.1738,2,2.3,1988.87
81,0.3062,1.7670767265319824,10,100,0.1694,4,1.68,1988.87
82,0.3114,1.8593504013061524,10,100,0.1729,4,1.83,1988.87
83,0.3158,1.791842995452881,10,100,0.1846,3,1.88,1988.87
84,0.253,1.9168358016967773,10,100,0.1883,3,1.9,1988.87
85,0.3431,1.8033097438812256,10,100,0.1879,2,1.66,1988.87
86,0.3515,1.7779620386123658,10,100,0.1835,1,1.75,1988.87
87,0.3302,1.7966589097976684,10,100,0.1832,5,1.78,1988.87
88,0.2965,1.8735296878814698,10,100,0.1789,0,2.18,1988.87
89,0.342,1.7492769611358643,10,100,0.1746,2,1.92,1988.87
90,0.3568,1.7168951974868774,10,100,0.1783,1,1.96,1988.87
91,0.3549,1.7296426761627197,10,100,0.1661,2,2.83,1988.87
92,0.3144,1.8239978042602538,10,100,0.1658,5,3.11,1988.87
93,0.3483,1.7742349445343017,10,100,0.1574,1,2.83,1988.87
94,0.3692,1.7428605401992798,10,100,0.1571,1,2.09,1988.87
95,0.3662,1.7503074752807617,10,100,0.1568,1,1.84,1988.87
96,0.3555,1.7309545625686646,10,100,0.1565,1,1.84,1988.87
97,0.3438,1.7632731672286988,10,100,0.1523,1,1.84,1988.87
98,0.3962,1.7044037208557128,10,100,0.1519,0,1.76,1988.87
99,0.3955,1.7160652282714843,10,100,0.1557,3,1.85,1988.87
100,0.3651,1.7826151802062988,10,100,0.1554,0,1.91,1988.87
