round,client_id,selected,utility,normalized_utility,detector,cusum_pos,cusum_neg,change_detected,change_direction,last_seen,age,explore_score,exploit_score,final_score
1,76,True,0.12313,0.1231,none,,,False,,1,0,,,
1,97,True,0.209181,0.2092,none,,,False,,1,0,,,
1,66,True,0.35611,0.3561,none,,,False,,1,0,,,
1,88,True,0.522049,0.522,none,,,False,,1,0,,,
1,25,True,0.859268,0.8593,none,,,False,,1,0,,,
1,9,True,0.205057,0.2051,none,,,False,,1,0,,,
1,84,True,0.311776,0.3118,none,,,False,,1,0,,,
1,77,True,0.323507,0.3235,none,,,False,,1,0,,,
1,90,True,0.176681,0.1767,none,,,False,,1,0,,,
1,17,True,0.152027,0.152,none,,,False,,1,0,,,
1,98,True,0.425676,0.4257,none,,,False,,1,0,,,
1,74,True,0.60853,0.6085,none,,,False,,1,0,,,
1,46,True,0.541371,0.5414,none,,,False,,1,0,,,
1,48,True,0.329919,0.3299,none,,,False,,1,0,,,
1,40,True,0.054383,0.0544,none,,,False,,1,0,,,
1,7,True,0.765218,0.7652,none,,,False,,1,0,,,
1,33,True,0.1218,0.1218,none,,,False,,1,0,,,
1,32,True,0.197755,0.1978,none,,,False,,1,0,,,
1,63,True,0.963496,0.9635,none,,,False,,1,0,,,
1,42,True,0.226851,0.2269,none,,,False,,1,0,,,
1,34,True,0.494255,0.4943,none,,,False,,1,0,,,
1,35,True,0.123733,0.1237,none,,,False,,1,0,,,
1,68,True,1.190564,1.1906,none,,,False,,1,0,,,
1,3,True,0.076193,0.0762,none,,,False,,1,0,,,
1,65,True,0.200328,0.2003,none,,,False,,1,0,,,
1,95,True,0.613155,0.6132,none,,,False,,1,0,,,
1,81,True,0.359207,0.3592,none,,,False,,1,0,,,
1,16,True,0.508249,0.5082,none,,,False,,1,0,,,
1,31,True,0.341783,0.3418,none,,,False,,1,0,,,
1,10,True,0.387787,0.3878,none,,,False,,1,0,,,
1,8,True,0.248017,0.248,none,,,False,,1,0,,,
1,96,True,0.073051,0.0731,none,,,False,,1,0,,,
1,64,True,0.099862,0.0999,none,,,False,,1,0,,,
1,50,True,0.182146,0.1821,none,,,False,,1,0,,,
1,70,True,0.059141,0.0591,none,,,False,,1,0,,,
1,89,True,0.088548,0.0885,none,,,False,,1,0,,,
2,65,True,0.258425,0.2584,none,,,False,,2,0,,,
2,66,True,0.598577,0.5986,none,,,False,,2,0,,,
2,45,True,0.774619,0.7746,none,,,False,,2,0,,,
2,9,True,0.597667,0.5977,none,,,False,,2,0,,,
2,24,True,0.782743,0.7827,none,,,False,,2,0,,,
2,51,True,0.565683,0.5657,none,,,False,,2,0,,,
2,88,True,0.485758,0.4858,none,,,False,,2,0,,,
2,94,True,0.837104,0.8371,none,,,False,,2,0,,,
2,4,True,0.429724,0.4297,none,,,False,,2,0,,,
2,6,True,0.219582,0.2196,none,,,False,,2,0,,,
2,95,True,0.535877,0.5359,none,,,False,,2,0,,,
2,27,True,0.52007,0.5201,none,,,False,,2,0,,,
2,7,True,0.733875,0.7339,none,,,False,,2,0,,,
2,87,True,0.360805,0.3608,none,,,False,,2,0,,,
2,43,True,0.874952,0.875,none,,,False,,2,0,,,
2,2,True,0.53663,0.5366,none,,,False,,2,0,,,
2,62,True,0.914068,0.9141,none,,,False,,2,0,,,
2,17,True,0.494251,0.4943,none,,,False,,2,0,,,
2,74,True,0.680364,0.6804,none,,,False,,2,0,,,
2,34,True,0.715887,0.7159,none,,,False,,2,0,,,
2,78,True,0.238202,0.2382,none,,,False,,2,0,,,
2,84,True,0.602669,0.6027,none,,,False,,2,0,,,
2,67,True,0.555488,0.5555,none,,,False,,2,0,,,
2,59,True,0.64364,0.6436,none,,,False,,2,0,,,
2,21,True,0.818347,0.8183,none,,,False,,2,0,,,
2,1,True,0.890685,0.8907,none,,,False,,2,0,,,
2,82,True,0.323316,0.3233,none,,,False,,2,0,,,
2,35,True,0.515158,0.5152,none,,,False,,2,0,,,
2,54,True,0.40864,0.4086,none,,,False,,2,0,,,
2,58,True,1.050047,1.05,none,,,False,,2,0,,,
2,29,True,0.362214,0.3622,none,,,False,,2,0,,,
2,89,True,0.325984,0.326,none,,,False,,2,0,,,
2,10,True,0.864827,0.8648,none,,,False,,2,0,,,
2,92,True,0.35347,0.3535,none,,,False,,2,0,,,
2,38,True,0.46496,0.465,none,,,False,,2,0,,,
2,70,True,0.277058,0.2771,none,,,False,,2,0,,,
3,44,True,0.704449,0.7044,none,,,False,,3,0,,,
3,3,True,0.636244,0.6362,none,,,False,,3,0,,,
3,80,True,0.606929,0.6069,none,,,False,,3,0,,,
3,14,True,0.34646,0.3465,none,,,False,,3,0,,,
3,76,True,0.718529,0.7185,none,,,False,,3,0,,,
3,4,True,0.422886,0.4229,none,,,False,,3,0,,,
3,10,True,0.853953,0.854,none,,,False,,3,0,,,
3,93,True,0.375033,0.375,none,,,False,,3,0,,,
3,46,True,1.489874,1.4899,none,,,False,,3,0,,,
3,50,True,0.917033,0.917,none,,,False,,3,0,,,
3,43,True,0.671756,0.6718,none,,,False,,3,0,,,
3,51,True,1.042361,1.0424,none,,,False,,3,0,,,
3,18,True,0.706026,0.706,none,,,False,,3,0,,,
3,9,True,0.531057,0.5311,none,,,False,,3,0,,,
3,31,True,0.529429,0.5294,none,,,False,,3,0,,,
3,81,True,1.092472,1.0925,none,,,False,,3,0,,,
3,33,True,0.484577,0.4846,none,,,False,,3,0,,,
3,0,True,0.650678,0.6507,none,,,False,,3,0,,,
3,87,True,0.417885,0.4179,none,,,False,,3,0,,,
3,24,True,0.686254,0.6863,none,,,False,,3,0,,,
3,36,True,0.529265,0.5293,none,,,False,,3,0,,,
3,6,True,0.174298,0.1743,none,,,False,,3,0,,,
3,48,True,0.501875,0.5019,none,,,False,,3,0,,,
3,1,True,0.854147,0.8541,none,,,False,,3,0,,,
3,68,True,1.197928,1.1979,none,,,False,,3,0,,,
3,78,True,0.457709,0.4577,none,,,False,,3,0,,,
3,83,True,0.989514,0.9895,none,,,False,,3,0,,,
3,28,True,0.424232,0.4242,none,,,False,,3,0,,,
3,42,True,0.433201,0.4332,none,,,False,,3,0,,,
3,58,True,0.823676,0.8237,none,,,False,,3,0,,,
3,85,True,0.551523,0.5515,none,,,False,,3,0,,,
3,54,True,0.491831,0.4918,none,,,False,,3,0,,,
3,27,True,0.490587,0.4906,none,,,False,,3,0,,,
3,82,True,0.489873,0.4899,none,,,False,,3,0,,,
3,32,True,0.841428,0.8414,none,,,False,,3,0,,,
3,67,True,0.515885,0.5159,none,,,False,,3,0,,,
4,60,True,0.623277,0.6233,none,,,False,,4,0,,,
4,29,True,0.410923,0.4109,none,,,False,,4,0,,,
4,56,True,1.678678,1.6787,none,,,False,,4,0,,,
4,61,True,0.356576,0.3566,none,,,False,,4,0,,,
4,57,True,0.618638,0.6186,none,,,False,,4,0,,,
4,15,True,0.628513,0.6285,none,,,False,,4,0,,,
4,7,True,0.845076,0.8451,none,,,False,,4,0,,,
4,42,True,0.509583,0.5096,none,,,False,,4,0,,,
4,28,True,0.487282,0.4873,none,,,False,,4,0,,,
4,10,True,0.797296,0.7973,none,,,False,,4,0,,,
4,49,True,0.423468,0.4235,none,,,False,,4,0,,,
4,72,True,0.316104,0.3161,none,,,False,,4,0,,,
4,30,True,0.30987,0.3099,none,,,False,,4,0,,,
4,64,True,0.449124,0.4491,none,,,False,,4,0,,,
4,63,True,1.163704,1.1637,none,,,False,,4,0,,,
4,16,True,0.827454,0.8275,none,,,False,,4,0,,,
4,68,True,1.295024,1.295,none,,,False,,4,0,,,
4,62,True,0.999062,0.9991,none,,,False,,4,0,,,
4,84,True,0.724015,0.724,none,,,False,,4,0,,,
