round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,,,50,100,1.0,0,0.09,1990.2
2,,,50,100,1.0,0,0.08,1990.2
3,,,50,100,1.0,0,0.1,1990.2
4,,,50,100,1.0,0,0.07,1990.2
5,0.137,2.2878556831359864,50,100,1.0,0,0.07,1990.2
6,,,50,100,1.0,0,0.11,1990.2
7,,,50,100,1.0,0,0.1,1990.2
8,,,50,100,1.0,0,0.07,1990.2
9,,,50,100,1.0,0,0.08,1990.2
10,0.1613,2.2541697265625,50,100,1.0,0,0.11,1990.2
11,,,50,100,1.0,0,0.09,1990.2
12,,,50,100,1.0,0,0.08,1990.2
13,,,50,100,1.0,0,0.09,1990.2
14,,,50,100,1.0,0,0.07,1990.2
15,0.1469,2.2262049674987794,50,100,1.0,0,0.08,1990.2
16,,,50,100,1.0,0,0.08,1990.2
17,,,50,100,1.0,0,0.08,1990.2
18,,,50,100,1.0,0,0.07,1990.2
19,,,50,100,1.0,0,0.07,1990.2
20,0.21,2.12421459274292,50,100,1.0,0,0.07,1990.2
21,,,50,100,1.0,0,0.08,1990.2
22,,,50,100,1.0,0,0.07,1990.2
23,,,50,100,1.0,0,0.07,1990.2
24,,,50,100,1.0,0,0.07,1990.2
25,0.2353,2.029276739883423,50,100,1.0,0,0.07,1990.2
26,,,50,100,1.0,0,0.07,1990.2
27,,,50,100,1.0,0,0.08,1990.2
28,,,50,100,1.0,0,0.08,1990.2
29,,,50,100,1.0,0,0.07,1990.2
30,0.2821,1.9757187480926515,50,100,1.0,0,0.1,1990.2
31,,,50,100,1.0,0,0.08,1990.2
32,,,50,100,1.0,0,0.08,1990.2
33,,,50,100,1.0,0,0.08,1990.2
34,,,50,100,1.0,0,0.07,1990.2
35,0.315,1.912604048538208,50,100,1.0,0,0.07,1990.2
36,,,50,100,1.0,0,0.07,1990.2
37,,,50,100,1.0,0,0.07,1990.2
38,,,50,100,1.0,0,0.09,1990.2
39,,,50,100,1.0,0,0.07,1990.2
40,0.3507,1.8515431747436524,50,100,1.0,0,0.07,1990.2
41,,,50,100,1.0,0,0.1,1990.21
42,,,50,100,1.0,0,0.07,1990.21
43,,,50,100,1.0,0,0.07,1990.21
44,,,50,100,1.0,0,0.08,1990.21
45,0.3562,1.80167568359375,50,100,1.0,0,0.08,1990.21
46,,,50,100,1.0,0,0.07,1990.21
47,,,50,100,1.0,0,0.09,1990.21
48,,,50,100,1.0,0,0.08,1990.21
49,,,50,100,1.0,0,0.07,1990.21
50,0.3692,1.7419096240997314,50,100,1.0,0,0.1,1990.21
51,,,50,100,1.0,0,0.08,1990.21
52,,,50,100,1.0,0,0.07,1990.21
53,,,50,100,1.0,0,0.07,1990.28
54,,,50,100,1.0,0,0.08,1990.28
55,0.3866,1.7107204263687135,50,100,1.0,0,0.09,1990.28
56,,,50,100,1.0,0,0.07,1990.28
57,,,50,100,1.0,0,0.07,1990.28
58,,,50,100,1.0,0,0.07,1990.28
59,,,50,100,1.0,0,0.1,1990.28
60,0.4005,1.6730061309814452,50,100,1.0,0,0.08,1990.28
61,,,50,100,1.0,0,0.09,1990.28
62,,,50,100,1.0,0,0.08,1990.28
63,,,50,100,1.0,0,0.08,1990.28
64,,,50,100,1.0,0,0.08,1990.28
65,0.4032,1.6599972972869872,50,100,1.0,0,0.08,1990.28
66,,,50,100,1.0,0,0.07,1990.28
67,,,50,100,1.0,0,0.11,1990.28
68,,,50,100,1.0,0,0.07,1990.28
69,,,50,100,1.0,0,0.07,1990.28
70,0.4114,1.6301889291763305,50,100,1.0,0,0.11,1990.28
71,,,50,100,1.0,0,0.08,1990.28
72,,,50,100,1.0,0,0.08,1990.28
73,,,50,100,1.0,0,0.09,1990.28
74,,,50,100,1.0,0,0.07,1990.28
75,0.4346,1.592513427734375,50,100,1.0,0,0.07,1990.28
76,,,50,100,1.0,0,0.08,1990.28
77,,,50,100,1.0,0,0.08,1990.28
78,,,50,100,1.0,0,0.08,1990.28
79,,,50,100,1.0,0,0.07,1990.28
80,0.4354,1.5745260478973389,50,100,1.0,0,0.07,1990.28
81,,,50,100,1.0,0,0.11,1990.28
82,,,50,100,1.0,0,0.08,1990.28
83,,,50,100,1.0,0,0.07,1990.28
84,,,50,100,1.0,0,0.08,1990.28
85,0.4407,1.5415615591049194,50,100,1.0,0,0.07,1990.28
86,,,50,100,1.0,0,0.07,1990.28
87,,,50,100,1.0,0,0.07,1990.28
88,,,50,100,1.0,0,0.08,1990.28
89,,,50,100,1.0,0,0.08,1990.28
90,0.4471,1.5321642906188966,50,100,1.0,0,0.07,1990.28
91,,,50,100,1.0,0,0.08,1990.28
92,,,50,100,1.0,0,0.07,1990.28
93,,,50,100,1.0,0,0.07,1990.28
94,,,50,100,1.0,0,0.08,1990.28
95,0.4547,1.506626111793518,50,100,1.0,0,0.08,1990.28
96,,,50,100,1.0,0,0.09,1990.28
97,,,50,100,1.0,0,0.07,1990.28
98,,,50,100,1.0,0,0.07,1990.28
99,,,50,100,1.0,0,0.1,1990.28
100,0.4691,1.4807678422927857,50,100,1.0,0,0.07,1990.28
