round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,,,5,100,1.0,0,1.13,1589.72
2,,,5,100,1.0,0,0.11,1589.74
3,,,5,100,1.0,0,0.15,1589.75
4,,,5,100,1.0,0,0.14,1589.75
5,0.1124,2.308540162658691,5,100,1.0,0,0.12,1557.9
6,,,5,100,0.3,0,1.74,1563.86
7,,,5,100,0.3,2,1.86,1565.93
8,,,5,100,0.3,0,1.9,1565.93
9,,,5,100,0.3,1,1.95,1565.99
10,0.1298,2.4080102298736574,5,100,0.3,0,1.97,1573.54
11,,,5,100,0.3,0,1.39,1576.32
12,,,5,100,0.3,0,1.44,1576.43
13,,,5,100,0.3,1,1.91,1576.46
14,,,5,100,0.3,0,2.17,1575.86
15,0.1,2.5467677619934084,5,100,0.3,0,2.54,1548.64
16,,,5,100,0.3,1,1.67,1563.39
17,,,5,100,0.3,0,1.66,1565.96
18,,,5,100,0.3,1,2.46,1565.96
19,,,5,100,0.3,0,2.32,1565.96
20,0.1,2.4400370460510254,5,100,0.3,0,3.17,1557.62
21,,,5,100,0.3,1,2.65,1564.05
22,,,5,100,0.3,0,2.82,1564.49
23,,,5,100,0.3,0,2.7,1568.52
24,,,5,100,0.3,0,2.95,1568.52
25,0.1,2.4537986431121825,5,100,0.2977,1,2.94,1573.11
26,,,5,100,0.2884,0,1.29,1576.28
27,,,5,100,0.2806,1,2.94,1576.48
28,,,5,100,0.2728,0,3.03,1575.88
29,,,5,100,0.2673,0,3.6,1576.4
30,0.1,2.414269790649414,5,100,0.2619,1,2.11,1570.1
31,,,5,100,0.2541,1,2.91,1576.46
32,,,5,100,0.2463,1,3.34,1576.5
33,,,5,100,0.2409,0,3.23,1576.5
34,,,5,100,0.2395,1,3.43,1576.5
35,0.1,2.3737020278930663,5,100,0.2342,1,3.46,1557.71
36,,,5,100,0.229,0,2.07,1577.0
37,,,5,100,0.2211,0,3.67,1577.01
38,,,5,100,0.2133,1,3.74,1577.01
39,,,5,100,0.2055,0,3.4,1577.02
40,0.1029,2.268977812576294,5,100,0.2,0,3.35,1557.24
41,,,5,100,0.1906,1,4.48,1564.5
42,,,5,100,0.1914,1,3.86,1564.52
43,,,5,100,0.1987,3,3.87,1566.02
44,,,5,100,0.2019,1,3.38,1566.02
45,0.1043,2.5220401168823243,5,100,0.2012,0,3.31,1568.04
46,,,5,100,0.2005,0,2.6,1576.04
47,,,5,100,0.1997,0,3.93,1576.25
48,,,5,100,0.1952,1,2.65,1576.25
49,,,5,100,0.1946,0,2.69,1576.25
50,0.1685,2.2153729423522948,5,100,0.194,0,2.54,1550.2
51,,,5,100,0.1975,2,3.29,1568.22
52,,,5,100,0.2008,1,2.63,1568.77
53,,,5,100,0.1882,0,3.9,1568.77
54,,,5,100,0.1834,0,3.13,1568.77
55,0.1541,2.407954287338257,5,100,0.1827,0,3.45,1569.07
56,,,5,100,0.1818,1,4.24,1576.25
57,,,5,100,0.1811,1,3.84,1576.27
58,,,5,100,0.1805,0,3.74,1576.27
59,,,5,100,0.18,0,3.64,1576.27
60,0.2406,2.171504064941406,5,100,0.1793,0,4.14,1569.17
61,,,5,100,0.1787,0,4.01,1576.13
62,,,5,100,0.1779,1,4.0,1576.21
63,,,5,100,0.1771,0,3.99,1576.23
64,,,5,100,0.1805,1,4.5,1576.27
65,0.1799,2.098410564804077,5,100,0.1799,0,4.21,1565.84
66,,,5,100,0.1793,1,3.96,1575.94
67,,,5,100,0.1787,1,4.08,1576.26
68,,,5,100,0.1781,0,3.65,1576.32
69,,,5,100,0.1815,1,2.74,1576.34
70,0.2002,2.201989619064331,5,100,0.1809,0,2.84,1572.05
71,,,5,100,0.1804,0,3.81,1577.15
72,,,5,100,0.1798,1,4.13,1577.35
73,,,5,100,0.1793,0,5.18,1577.35
74,,,5,100,0.1747,0,4.23,1577.35
75,0.1848,2.2867184814453125,5,100,0.1742,0,2.68,1574.63
76,,,5,100,0.1735,1,3.9,1576.8
77,,,5,100,0.1691,0,2.75,1577.35
78,,,5,100,0.1766,3,4.0,1577.35
79,,,5,100,0.172,0,2.74,1577.35
80,0.2359,1.9350423351287842,5,100,0.1716,0,4.0,1570.68
81,,,5,100,0.171,0,4.08,1576.83
82,,,5,100,0.1665,1,3.97,1577.3
83,,,5,100,0.1701,1,2.8,1577.3
84,,,5,100,0.1697,1,3.97,1577.35
85,0.2253,2.012443584442139,5,100,0.1692,1,2.67,1572.44
86,,,5,100,0.1687,1,2.78,1576.91
87,,,5,100,0.1681,1,4.12,1577.12
88,,,5,100,0.1596,0,2.59,1577.2
89,,,5,100,0.1591,0,4.3,1577.24
90,0.2425,2.0974800853729247,5,100,0.1666,2,3.43,1555.46
91,,,5,100,0.1701,1,4.2,1563.71
92,,,5,100,0.1696,2,4.34,1564.04
93,,,5,100,0.1691,0,3.95,1564.32
94,,,5,100,0.1727,1,4.51,1564.35
95,0.2803,2.0310028732299803,5,100,0.1723,1,3.09,1569.56
96,,,5,100,0.1718,1,4.1,1575.45
97,,,5,100,0.1713,0,3.38,1576.28
98,,,5,100,0.1789,2,3.32,1576.31
99,,,5,100,0.1786,0,3.69,1576.32
100,0.3008,1.8154725118637085,5,100,0.1743,0,4.02,1556.56
