round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,0.1,2.3266169841766358,10,100,1.0,0,0.23,1989.54
2,0.1,2.341337344741821,10,100,1.0,0,0.1,1989.54
3,0.1,2.3381501808166503,10,100,1.0,0,0.12,1989.54
4,0.1,2.423659790802002,10,100,1.0,0,0.08,1989.54
5,0.1,2.332553577423096,10,100,1.0,0,0.08,1989.54
6,0.1,2.3453740478515623,10,100,1.0,0,0.09,1989.54
7,0.1,2.3088989665985107,10,100,1.0,0,0.08,1989.54
8,0.1087,2.2980814315795897,10,100,1.0,0,0.08,1989.54
9,0.1302,2.3666335186004637,10,100,1.0,0,0.08,1989.54
10,0.1,2.3179894424438476,10,100,1.0,0,0.08,1989.54
11,0.1,2.392033543777466,10,100,0.2689,0,1.2,1989.54
12,0.1133,2.3163046104431153,10,100,0.2599,0,1.3,1989.54
13,0.1,2.3007354415893553,10,100,0.2554,1,1.91,1989.54
14,0.1236,2.3517923305511474,10,100,0.2466,0,2.65,1989.54
15,0.1,2.4043461696624755,10,100,0.238,0,1.41,1989.54
16,0.1003,2.309915107727051,10,100,0.2294,1,2.26,1989.54
17,0.1014,2.3745752368927002,10,100,0.2246,1,1.33,1989.54
18,0.1,2.4437735168457033,10,100,0.2162,1,1.43,1989.54
19,0.1711,2.274502513885498,10,100,0.2158,2,1.6,1989.54
20,0.1054,2.281399157333374,10,100,0.2073,1,1.59,1989.54
21,0.1004,2.463132865142822,10,100,0.199,0,1.89,1989.54
22,0.1618,2.2842541294097902,10,100,0.1966,2,1.48,1989.54
23,0.1038,2.4672126091003417,10,100,0.193,2,1.5,1989.54
24,0.1781,2.216181100463867,10,100,0.1918,0,1.57,1989.54
25,0.1296,2.2964763229370115,10,100,0.1908,0,2.24,1989.54
26,0.1946,2.1980222431182863,10,100,0.1939,3,2.47,1989.54
27,0.2063,2.1888150886535644,10,100,0.193,0,1.92,1989.54
28,0.1695,2.1561424095153807,10,100,0.1921,0,1.66,1989.54
29,0.1832,2.129175999832153,10,100,0.187,1,1.65,1989.54
30,0.2236,2.1035709533691405,10,100,0.1859,1,1.68,1989.54
31,0.2027,2.123978867340088,10,100,0.1849,0,1.48,1989.54
32,0.2342,2.0741567085266115,10,100,0.184,1,1.51,1989.54
33,0.1273,2.348914641571045,10,100,0.1829,2,1.59,1989.54
34,0.1837,2.1953590604782103,10,100,0.1819,0,1.54,1989.54
35,0.1605,2.2014034477233886,10,100,0.1812,0,1.66,1989.54
36,0.2243,2.100440169906616,10,100,0.1803,1,2.7,1989.54
37,0.1665,2.1497730796813963,10,100,0.1794,2,2.24,1989.54
38,0.2021,2.0750891368865965,10,100,0.1784,0,1.5,1989.54
39,0.1825,2.0976468593597413,10,100,0.1815,3,1.53,1989.54
40,0.1808,2.1075273735046385,10,100,0.189,2,1.54,1989.54
41,0.2132,2.0902265098571777,10,100,0.188,0,1.58,1989.54
42,0.2074,2.0488452186584474,10,100,0.1832,1,2.42,1989.54
43,0.2106,2.1014293239593504,10,100,0.1862,1,1.62,1989.54
44,0.2133,2.1197000196456908,10,100,0.1853,0,1.53,1989.54
45,0.198,2.1461480434417726,10,100,0.1845,2,1.55,1989.54
46,0.2601,2.0425362712860107,10,100,0.1799,0,1.53,1989.54
47,0.209,2.0923925598144533,10,100,0.1751,0,1.52,1989.54
48,0.2248,2.0741261596679688,10,100,0.1744,1,2.76,1989.54
49,0.2266,2.084197849845886,10,100,0.1777,2,2.3,1989.54
50,0.1793,2.1590141521453856,10,100,0.1691,0,1.7,1989.54
51,0.2186,2.157346424484253,10,100,0.1724,2,1.96,1989.54
52,0.2053,2.1891677642822267,10,100,0.1718,1,1.7,1989.54
53,0.2135,2.139209503364563,10,100,0.1673,0,1.79,1989.54
54,0.2093,2.104299027252197,10,100,0.1667,2,1.99,1989.54
55,0.1766,2.133840175628662,10,100,0.1662,0,1.63,1989.54
56,0.2265,2.0390351835250855,10,100,0.1698,3,1.66,1989.54
57,0.1949,2.156218413543701,10,100,0.1693,0,1.65,1989.54
58,0.2382,2.0819390373229982,10,100,0.1686,0,1.84,1989.54
59,0.2142,2.058177283287048,10,100,0.16,1,1.79,1989.54
60,0.2464,2.0156280027389526,10,100,0.1635,1,2.55,1989.54
61,0.251,2.0500530620574953,10,100,0.1671,2,2.67,1989.54
62,0.1915,2.0885823246002198,10,100,0.1706,1,1.84,1989.54
63,0.2805,1.981401686668396,10,100,0.1701,1,1.59,1989.54
64,0.2295,2.0318826843261717,10,100,0.1697,0,1.8,1989.54
65,0.2489,2.0584818532943725,10,100,0.1692,1,1.6,1989.54
66,0.2451,1.9762032001495362,10,100,0.1688,1,1.75,1989.54
67,0.25,1.9909574783325195,10,100,0.1681,1,1.76,1989.54
68,0.2728,2.014684990501404,10,100,0.1797,3,1.63,1989.54
69,0.2603,1.954723568725586,10,100,0.1792,0,2.33,1989.54
70,0.2571,2.003578380203247,10,100,0.1829,2,1.66,1989.54
71,0.268,1.950447034072876,10,100,0.1746,0,2.07,1989.54
72,0.2468,1.971074107170105,10,100,0.1702,0,2.47,1989.54
73,0.2882,1.9053064388275147,10,100,0.1698,3,2.78,1989.54
74,0.2724,1.9242761837005615,10,100,0.1694,0,2.23,1989.54
75,0.2564,1.920516958427429,10,100,0.1729,2,1.61,1989.54
76,0.2897,1.8931466808319093,10,100,0.1685,0,1.7,1989.54
77,0.3123,1.8998057949066163,10,100,0.172,2,1.68,1989.54
78,0.2936,1.900275015258789,10,100,0.1677,2,1.84,1989.54
