round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,0.1,2.304686237716675,10,100,0.15,0,0.17,2307.11
2,0.1,2.3165562217712403,10,100,0.15,0,0.26,2307.11
3,0.1,2.346571186065674,10,100,0.15,0,0.31,2307.11
4,0.1201,2.3663634273529053,10,100,0.15,0,0.4,2307.11
5,0.1044,2.379403444671631,10,100,0.15,0,0.4,2307.11
6,0.1043,2.363603935623169,10,100,0.15,0,0.36,2307.11
7,0.1,2.3706852684020996,10,100,0.15,0,0.4,2307.11
8,0.1231,2.3572980861663817,10,100,0.15,0,0.35,2307.11
9,0.1055,2.339089518737793,10,100,0.15,0,0.41,2307.11
10,0.1469,2.3374339237213135,10,100,0.15,0,0.38,2307.11
11,0.1346,2.311206463623047,10,100,0.15,0,0.37,2307.11
12,0.1001,2.4201471481323242,10,100,0.15,0,0.44,2307.11
13,0.0987,2.3547132919311524,10,100,0.15,0,0.44,2307.11
14,0.1098,2.3409100997924805,10,100,0.15,0,0.45,2307.11
15,0.1049,2.317307647705078,10,100,0.15,0,0.66,2307.11
16,0.1055,2.3179065113067625,10,100,0.15,0,0.71,2307.11
17,0.1032,2.341375439453125,10,100,0.15,0,0.48,2307.11
18,0.1137,2.3217468673706056,10,100,0.15,0,0.5,2307.11
19,0.1558,2.295718906402588,10,100,0.15,0,0.5,2307.11
20,0.1317,2.3306512168884277,10,100,0.15,0,0.47,2307.11
21,0.157,2.2478408184051513,10,100,0.15,0,0.54,2307.11
22,0.1747,2.285792810058594,10,100,0.15,0,0.55,2307.11
23,0.1728,2.2298898281097412,10,100,0.15,0,0.6,2307.11
24,0.1783,2.180081799697876,10,100,0.15,0,0.52,2307.11
25,0.1383,2.2521806911468505,10,100,0.15,0,0.61,2307.11
26,0.1977,2.148637640762329,10,100,0.15,0,0.62,2307.11
27,0.2028,2.1669103843688964,10,100,0.15,0,0.83,2307.11
28,0.1889,2.1631524452209474,10,100,0.15,0,0.83,2307.11
29,0.1955,2.092376580810547,10,100,0.15,0,0.55,2307.11
30,0.1759,2.198643770980835,10,100,0.15,0,0.65,2307.11
31,0.2015,2.1069863372802735,10,100,0.15,0,0.63,2307.11
32,0.2196,2.1267848373413085,10,100,0.15,0,0.63,2307.11
33,0.2302,2.0861023330688475,10,100,0.15,0,0.65,2307.11
34,0.2477,2.0605307130813597,10,100,0.15,0,0.65,2307.11
35,0.2293,2.1034856872558594,10,100,0.15,0,0.6,2307.11
36,0.2423,2.053745779800415,10,100,0.15,0,0.64,2307.11
37,0.2073,2.0744316009521486,10,100,0.15,0,1.05,2307.11
38,0.2488,2.068370613479614,10,100,0.15,0,1.0,2307.11
39,0.2549,2.0625605667114257,10,100,0.15,0,0.65,2307.11
40,0.2716,2.0361324764251707,10,100,0.15,0,0.65,2307.11
41,0.2167,2.0840218244552613,10,100,0.15,0,0.64,2307.11
