round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,0.1,2.3186668285369874,10,100,0.2,0,0.17,1990.2
2,0.1,2.4415797676086424,10,100,0.2,0,0.26,1990.2
3,0.1064,2.4040241397857667,10,100,0.2,0,0.3,1990.2
4,0.115,2.377904080963135,10,100,0.2,0,0.3,1990.2
5,0.1428,2.3922941413879393,10,100,0.2,0,0.33,1990.2
6,0.1036,2.4077644412994386,10,100,0.2,0,0.34,1990.2
7,0.1232,2.301015135192871,10,100,0.2,0,0.41,1990.2
8,0.1352,2.379129254150391,10,100,0.2,0,0.58,1990.2
9,0.1,2.37351261138916,10,100,0.2,0,0.64,1990.2
10,0.168,2.332098147583008,10,100,0.2,0,0.75,1990.2
11,0.1614,2.384224515533447,10,100,0.2,0,0.44,1990.2
12,0.1038,2.4440582263946533,10,100,0.2,0,0.45,1990.2
13,0.1155,2.328732060241699,10,100,0.2,0,0.52,1990.2
14,0.1211,2.379446925354004,10,100,0.2,0,0.48,1990.2
15,0.133,2.352104552459717,10,100,0.2,0,0.47,1990.2
16,0.1518,2.3428654335021974,10,100,0.2,0,0.64,1990.2
17,0.112,2.316843505859375,10,100,0.2,0,0.52,1990.2
18,0.181,2.24786702003479,10,100,0.2,0,0.57,1990.2
19,0.1566,2.2677930503845216,10,100,0.2,0,0.58,1990.2
20,0.1933,2.220205699539185,10,100,0.2,0,0.58,1990.2
21,0.1914,2.200123543548584,10,100,0.2,0,1.07,1990.2
22,0.2118,2.212760182571411,10,100,0.2,0,0.91,1990.2
23,0.1569,2.2558630767822265,10,100,0.2,0,0.63,1990.2
24,0.2254,2.162168759536743,10,100,0.2,0,0.67,1990.2
25,0.1999,2.196221078491211,10,100,0.2,0,0.68,1990.2
26,0.1714,2.1844972217559815,10,100,0.2,0,0.82,1990.2
27,0.2305,2.0865340923309326,10,100,0.2,0,0.73,1990.2
28,0.2359,2.096082383728027,10,100,0.2,0,0.69,1990.2
29,0.2318,2.0992908096313476,10,100,0.2,0,0.93,1990.2
30,0.2256,2.10096918296814,10,100,0.2,0,0.75,1990.2
31,0.2221,2.1052175483703612,10,100,0.2,0,0.77,1990.2
32,0.2447,2.0604710235595705,10,100,0.2,0,0.81,1990.2
33,0.2248,2.115762370300293,10,100,0.2,0,1.26,1990.2
34,0.2419,2.075467568206787,10,100,0.2,0,1.42,1990.2
35,0.1988,2.133409362792969,10,100,0.2,0,1.67,1990.2
36,0.2181,2.100001242828369,10,100,0.2,0,0.88,1990.2
37,0.2141,2.1676697498321533,10,100,0.2,0,0.98,1990.2
38,0.2124,2.0997801437377928,10,100,0.2,0,0.85,1990.2
39,0.1861,2.103128333282471,10,100,0.2,0,1.01,1990.2
40,0.2149,2.1025411003112793,10,100,0.2,0,0.95,1990.2
41,0.2038,2.0984692888259886,10,100,0.2,0,1.02,1990.2
42,0.2621,2.055758335876465,10,100,0.2,0,1.08,1990.2
43,0.2486,2.0380784950256348,10,100,0.2,0,0.97,1990.2
44,0.2743,2.0032367475509645,10,100,0.2,0,1.0,1990.2
45,0.2581,2.0311199775695803,10,100,0.2,0,1.06,1990.2
46,0.2738,2.0092884216308593,10,100,0.2,0,1.02,1990.2
47,0.2618,2.0157544048309326,10,100,0.2,0,1.59,1990.2
48,0.2696,2.0103556213378906,10,100,0.2,0,1.68,1990.2
49,0.2737,1.9936280685424805,10,100,0.2,0,1.73,1990.2
50,0.2637,1.9995420642852784,10,100,0.2,0,1.12,1990.2
51,0.2569,2.004225737762451,10,100,0.2,0,1.0,1990.2
52,0.2667,1.98089504737854,10,100,0.2,0,1.3,1990.2
53,0.2487,2.0097747608184813,10,100,0.2,0,0.99,1990.2
54,0.234,2.0396599742889405,10,100,0.2,0,1.04,1990.2
55,0.2379,1.980384239768982,10,100,0.2,0,1.13,1990.2
56,0.2352,2.0747153884887695,10,100,0.2,0,1.31,1990.2
57,0.2977,1.9444175903320313,10,100,0.2,0,1.12,1990.2
58,0.3188,1.9253715278625487,10,100,0.2,0,1.08,1990.2
59,0.2804,1.951677130126953,10,100,0.2,0,1.04,1990.2
60,0.2814,1.9772132083892822,10,100,0.2,0,1.07,1990.2
61,0.2819,2.0090933990478517,10,100,0.2,0,1.7,1990.2
62,0.2931,2.013604748535156,10,100,0.2,0,2.6,1990.2
63,0.3031,1.9259818084716798,10,100,0.2,0,1.09,1990.2
64,0.3045,1.941685213470459,10,100,0.2,0,1.06,1990.2
65,0.279,1.98716436920166,10,100,0.2,0,1.07,1990.2
