round,client_id,selected,utility,normalized_utility,detector,cusum_pos,cusum_neg,change_detected,change_direction,last_seen,age,explore_score,exploit_score,final_score
1,0,True,0.029251,0.0293,none,,,False,,1,0,,,
1,1,True,0.193835,0.1938,none,,,False,,1,0,,,
1,2,True,0.070517,0.0705,none,,,False,,1,0,,,
1,3,True,0.362901,0.3629,none,,,False,,1,0,,,
1,4,True,0.101127,0.1011,none,,,False,,1,0,,,
1,5,True,0.128052,0.1281,none,,,False,,1,0,,,
1,6,True,0.054031,0.054,none,,,False,,1,0,,,
1,7,True,0.154905,0.1549,none,,,False,,1,0,,,
1,8,True,0.113236,0.1132,none,,,False,,1,0,,,
1,9,True,0.980402,0.9804,none,,,False,,1,0,,,
2,9,True,0.818133,0.8181,none,,,False,,2,0,,,
2,3,True,0.313885,0.3139,none,,,False,,2,0,,,
2,1,True,0.198153,0.1982,none,,,False,,2,0,,,
2,7,True,0.485353,0.4854,none,,,False,,2,0,,,
2,5,True,0.460098,0.4601,none,,,False,,2,0,,,
2,8,True,0.264302,0.2643,none,,,False,,2,0,,,
2,4,True,0.337485,0.3375,none,,,False,,2,0,,,
2,2,True,0.244008,0.244,none,,,False,,2,0,,,
2,10,True,0.314331,0.3143,none,,,False,,2,0,,,
2,11,True,0.963333,0.9633,none,,,False,,2,0,,,
3,11,True,0.91279,0.9128,none,,,False,,3,0,,,
3,9,True,0.7771,0.7771,none,,,False,,3,0,,,
3,3,True,0.217016,0.217,none,,,False,,3,0,,,
3,7,True,0.43589,0.4359,none,,,False,,3,0,,,
3,10,True,0.427712,0.4277,none,,,False,,3,0,,,
3,5,True,0.339088,0.3391,none,,,False,,3,0,,,
3,4,True,0.388873,0.3889,none,,,False,,3,0,,,
3,1,True,0.450671,0.4507,none,,,False,,3,0,,,
3,12,True,1.120213,1.1202,none,,,False,,3,0,,,
3,13,True,0.660073,0.6601,none,,,False,,3,0,,,
4,12,True,0.706016,0.706,none,,,False,,4,0,,,
4,11,True,0.909294,0.9093,none,,,False,,4,0,,,
4,9,True,1.024858,1.0249,none,,,False,,4,0,,,
4,13,True,0.507476,0.5075,none,,,False,,4,0,,,
4,10,True,0.323796,0.3238,none,,,False,,4,0,,,
4,7,True,0.519655,0.5197,none,,,False,,4,0,,,
4,5,True,0.42491,0.4249,none,,,False,,4,0,,,
4,3,True,0.268387,0.2684,none,,,False,,4,0,,,
4,14,True,0.501092,0.5011,none,,,False,,4,0,,,
4,15,True,0.671351,0.6714,none,,,False,,4,0,,,
5,11,True,0.918358,0.9184,none,,,False,,5,0,,,
5,12,True,0.727075,0.7271,none,,,False,,5,0,,,
5,9,True,0.682251,0.6823,none,,,False,,5,0,,,
5,15,True,0.629875,0.6299,none,,,False,,5,0,,,
5,13,True,0.471865,0.4719,none,,,False,,5,0,,,
5,14,True,0.422032,0.422,none,,,False,,5,0,,,
5,7,True,0.478478,0.4785,none,,,False,,5,0,,,
5,10,True,0.386999,0.387,none,,,False,,5,0,,,
5,16,True,0.634786,0.6348,none,,,False,,5,0,,,
5,17,True,0.704479,0.7045,none,,,False,,5,0,,,
6,11,True,0.988979,0.989,none,,,False,,6,0,,,
6,9,True,0.900138,0.9001,none,,,False,,6,0,,,
6,12,True,0.608582,0.6086,none,,,False,,6,0,,,
6,17,True,0.510818,0.5108,none,,,False,,6,0,,,
6,15,True,0.587671,0.5877,none,,,False,,6,0,,,
6,16,True,0.642764,0.6428,none,,,False,,6,0,,,
6,13,True,0.536835,0.5368,none,,,False,,6,0,,,
6,14,True,0.479635,0.4796,none,,,False,,6,0,,,
6,18,True,0.496687,0.4967,none,,,False,,6,0,,,
6,19,True,0.573201,0.5732,none,,,False,,6,0,,,
7,11,True,1.000632,1.0006,none,,,False,,7,0,,,
7,9,True,0.822119,0.8221,none,,,False,,7,0,,,
7,12,True,0.642352,0.6424,none,,,False,,7,0,,,
7,16,True,0.54518,0.5452,none,,,False,,7,0,,,
7,15,True,0.524794,0.5248,none,,,False,,7,0,,,
7,17,True,0.637871,0.6379,none,,,False,,7,0,,,
7,19,True,0.454886,0.4549,none,,,False,,7,0,,,
7,13,True,0.491248,0.4912,none,,,False,,7,0,,,
7,20,True,0.277938,0.2779,none,,,False,,7,0,,,
7,21,True,1.09991,1.0999,none,,,False,,7,0,,,
8,21,True,0.851429,0.8514,none,,,False,,8,0,,,
8,11,True,0.880409,0.8804,none,,,False,,8,0,,,
8,9,True,0.960287,0.9603,none,,,False,,8,0,,,
8,12,True,0.623274,0.6233,none,,,False,,8,0,,,
8,17,True,0.520993,0.521,none,,,False,,8,0,,,
8,16,True,0.546556,0.5466,none,,,False,,8,0,,,
8,15,True,0.444175,0.4442,none,,,False,,8,0,,,
8,13,True,0.599577,0.5996,none,,,False,,8,0,,,
8,22,True,0.709809,0.7098,none,,,False,,8,0,,,
8,23,True,0.546737,0.5467,none,,,False,,8,0,,,
9,21,True,0.640634,0.6406,none,,,False,,9,0,,,
9,11,True,0.976237,0.9762,none,,,False,,9,0,,,
9,9,True,1.032016,1.032,none,,,False,,9,0,,,
9,12,True,0.725519,0.7255,none,,,False,,9,0,,,
9,22,True,0.571053,0.5711,none,,,False,,9,0,,,
9,17,True,0.472953,0.473,none,,,False,,9,0,,,
9,16,True,0.509955,0.51,none,,,False,,9,0,,,
9,15,True,0.498878,0.4989,none,,,False,,9,0,,,
9,24,True,0.513185,0.5132,none,,,False,,9,0,,,
9,25,True,0.435323,0.4353,none,,,False,,9,0,,,
10,11,True,1.041202,1.0412,none,,,False,,10,0,,,
10,9,True,0.656268,0.6563,none,,,False,,10,0,,,
10,21,True,1.079522,1.0795,none,,,False,,10,0,,,
10,12,True,0.796822,0.7968,none,,,False,,10,0,,,
10,22,True,0.794664,0.7947,none,,,False,,10,0,,,
10,16,True,0.433063,0.4331,none,,,False,,10,0,,,
10,17,True,0.58153,0.5815,none,,,False,,10,0,,,
10,15,True,0.485612,0.4856,none,,,False,,10,0,,,
10,26,True,0.439578,0.4396,none,,,False,,10,0,,,
10,27,True,0.442229,0.4422,none,,,False,,10,0,,,
11,11,True,0.977387,0.9774,none,,,False,,11,0,,,
11,21,True,0.799848,0.7998,none,,,False,,11,0,,,
11,9,True,1.176735,1.1767,none,,,False,,11,0,,,
11,12,True,0.502455,0.5025,none,,,False,,11,0,,,
11,22,True,0.517091,0.5171,none,,,False,,11,0,,,
11,17,True,0.409864,0.4099,none,,,False,,11,0,,,
11,16,True,0.556393,0.5564,none,,,False,,11,0,,,
11,15,True,0.445618,0.4456,none,,,False,,11,0,,,
11,28,True,0.49773,0.4977,none,,,False,,11,0,,,
11,29,True,0.425669,0.4257,none,,,False,,11,0,,,
12,11,True,0.887507,0.8875,none,,,False,,12,0,,,
12,21,True,0.806498,0.8065,none,,,False,,12,0,,,
12,9,True,0.776569,0.7766,none,,,False,,12,0,,,
12,12,True,0.857217,0.8572,none,,,False,,12,0,,,
12,22,True,0.884084,0.8841,none,,,False,,12,0,,,
12,16,True,0.48263,0.4826,none,,,False,,12,0,,,
12,17,True,0.551818,0.5518,none,,,False,,12,0,,,
12,23,True,0.627502,0.6275,none,,,False,,12,0,,,
12,30,True,0.305518,0.3055,none,,,False,,12,0,,,
12,31,True,0.554745,0.5547,none,,,False,,12,0,,,
13,11,True,1.069681,1.0697,none,,,False,,13,0,,,
13,9,True,1.316744,1.3167,none,,,False,,13,0,,,
13,21,True,0.432838,0.4328,none,,,False,,13,0,,,
13,12,True,0.610494,0.6105,none,,,False,,13,0,,,
13,22,True,0.525481,0.5255,none,,,False,,13,0,,,
13,23,True,0.531285,0.5313,none,,,False,,13,0,,,
13,31,True,0.614363,0.6144,none,,,False,,13,0,,,
13,17,True,0.343753,0.3438,none,,,False,,13,0,,,
13,32,True,0.392952,0.393,none,,,False,,13,0,,,
13,33,True,0.633961,0.634,none,,,False,,13,0,,,
14,11,True,0.861913,0.8619,none,,,False,,14,0,,,
14,9,True,0.959661,0.9597,none,,,False,,14,0,,,
14,21,True,0.779504,0.7795,none,,,False,,14,0,,,
14,12,True,0.701192,0.7012,none,,,False,,14,0,,,
14,22,True,0.579494,0.5795,none,,,False,,14,0,,,
14,33,True,0.13919,0.1392,none,,,False,,14,0,,,
14,31,True,0.484825,0.4848,none,,,False,,14,0,,,
14,23,True,0.569806,0.5698,none,,,False,,14,0,,,
14,34,True,0.501984,0.502,none,,,False,,14,0,,,
14,35,True,0.422256,0.4223,none,,,False,,14,0,,,
15,11,True,1.034018,1.034,none,,,False,,15,0,,,
15,9,True,1.028766,1.0288,none,,,False,,15,0,,,
15,21,True,0.560741,0.5607,none,,,False,,15,0,,,
15,12,True,0.676198,0.6762,none,,,False,,15,0,,,
15,22,True,0.63129,0.6313,none,,,False,,15,0,,,
15,23,True,0.574332,0.5743,none,,,False,,15,0,,,
15,31,True,0.415792,0.4158,none,,,False,,15,0,,,
15,13,True,0.693537,0.6935,none,,,False,,15,0,,,
15,36,True,0.686099,0.6861,none,,,False,,15,0,,,
15,37,True,0.565733,0.5657,none,,,False,,15,0,,,
16,11,True,0.937427,0.9374,none,,,False,,16,0,,,
16,9,True,0.901047,0.901,none,,,False,,16,0,,,
16,21,True,0.743709,0.7437,none,,,False,,16,0,,,
16,36,True,0.654984,0.655,none,,,False,,16,0,,,
16,12,True,0.514749,0.5147,none,,,False,,16,0,,,
16,22,True,0.638036,0.638,none,,,False,,16,0,,,
16,23,True,0.632032,0.632,none,,,False,,16,0,,,
16,13,True,0.594315,0.5943,none,,,False,,16,0,,,
16,38,True,0.357143,0.3571,none,,,False,,16,0,,,
16,39,True,0.363911,0.3639,none,,,False,,16,0,,,
17,11,True,1.107857,1.1079,none,,,False,,17,0,,,
17,9,True,0.907129,0.9071,none,,,False,,17,0,,,
17,21,True,0.878516,0.8785,none,,,False,,17,0,,,
