round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,0.1,2.307196158218384,10,100,1.0,0,0.28,2307.2
2,0.1175,2.306989544677734,10,100,1.0,0,0.13,2307.2
3,0.1,2.3584212142944336,10,100,1.0,0,0.1,2307.2
4,0.1,2.3411515296936036,10,100,1.0,0,0.1,2307.2
5,0.1,2.3590332527160642,10,100,1.0,0,0.11,2307.2
6,0.1,2.3583324687957763,10,100,1.0,0,0.11,2307.2
7,0.1,2.3664712413787843,10,100,1.0,0,0.1,2307.2
8,0.1,2.3784886657714845,10,100,1.0,0,0.09,2307.2
9,0.1,2.4111175224304198,10,100,1.0,0,0.1,2307.2
10,0.1334,2.352161533355713,10,100,1.0,0,0.09,2307.2
11,0.1002,2.336362885284424,10,100,0.2752,1,1.12,2307.2
12,0.1158,2.3231504669189453,10,100,0.2657,0,1.08,2307.2
13,0.1549,2.3306682472229006,10,100,0.2607,1,1.14,2307.2
14,0.1323,2.2913157447814942,10,100,0.26,2,1.22,2307.2
15,0.1062,2.3239508251190184,10,100,0.2512,1,1.29,2307.2
16,0.1857,2.2686534523010256,10,100,0.2465,1,1.87,2307.2
17,0.1749,2.2296449615478515,10,100,0.2458,4,1.13,2307.2
18,0.1704,2.1932786638259887,10,100,0.2371,0,1.24,2307.2
19,0.1715,2.1882874769210816,10,100,0.2285,0,1.34,2307.2
20,0.2151,2.1633300498962402,10,100,0.2282,2,1.34,2307.2
21,0.2025,2.134060414886475,10,100,0.2198,1,1.37,2307.2
22,0.2035,2.136784244155884,10,100,0.2116,1,1.89,2307.2
23,0.211,2.1221990114212037,10,100,0.2077,1,1.43,2307.2
24,0.2088,2.1175953342437746,10,100,0.2023,0,1.34,2307.2
25,0.1936,2.1163883010864257,10,100,0.2047,2,1.38,2307.2
26,0.1981,2.074823369026184,10,100,0.1993,0,1.92,2307.2
27,0.2327,2.096467259979248,10,100,0.1861,1,2.16,2307.2
28,0.1816,2.1497104228973387,10,100,0.1849,0,1.34,2307.2
29,0.2147,2.0780679759979246,10,100,0.1835,0,1.41,2307.2
30,0.1879,2.10770357837677,10,100,0.1783,1,1.39,2307.2
31,0.2124,2.126606862258911,10,100,0.1775,1,1.68,2307.2
32,0.1913,2.0821970165252686,10,100,0.1766,1,1.87,2307.2
33,0.2214,2.124294039154053,10,100,0.1711,0,1.38,2307.2
34,0.1842,2.151059859085083,10,100,0.1737,1,1.46,2307.2
35,0.2411,2.0562219017028807,10,100,0.1683,0,1.48,2307.2
36,0.2491,2.048543092727661,10,100,0.1712,1,1.42,2307.2
37,0.2314,2.071075044631958,10,100,0.1743,1,1.51,2307.2
38,0.2449,2.0443551078796385,10,100,0.1775,1,2.19,2307.2
39,0.223,2.0659378454208372,10,100,0.1807,3,2.37,2307.2
40,0.2596,2.0335302295684814,10,100,0.1798,0,1.55,2307.2
41,0.2126,2.1276695610046388,10,100,0.1748,0,1.6,2307.2
42,0.2516,2.02263779296875,10,100,0.1736,0,1.52,2307.2
43,0.2445,2.0554793144226076,10,100,0.1728,1,1.53,2307.2
44,0.2041,2.061185207366943,10,100,0.172,0,1.46,2307.2
45,0.1981,2.066707824516296,10,100,0.1832,4,1.56,2307.2
46,0.2646,2.0343681020736692,10,100,0.1826,1,1.66,2307.2
47,0.2341,2.0987396839141845,10,100,0.1778,1,1.79,2307.2
48,0.2483,2.048198871231079,10,100,0.1731,0,1.57,2307.2
49,0.2726,1.9363120922088624,10,100,0.1725,2,2.57,2307.2
50,0.2218,2.1358029624938966,10,100,0.1719,0,2.26,2307.2
51,0.2402,2.0339856708526614,10,100,0.1753,2,1.64,2307.2
52,0.2414,1.9689958156585694,10,100,0.1745,1,1.55,2307.2
53,0.2332,1.9512945430755615,10,100,0.1698,0,1.51,2307.2
54,0.2312,1.9524549465179444,10,100,0.1692,0,1.57,2307.2
55,0.2455,2.027812553024292,10,100,0.1646,1,1.54,2307.2
56,0.2569,1.9960736225128173,10,100,0.1601,1,1.62,2307.2
57,0.2446,1.9830943292617798,10,100,0.1596,1,1.67,2307.2
58,0.2679,1.8869279335021973,10,100,0.1631,1,1.59,2307.2
59,0.267,1.9229434162139893,10,100,0.1666,1,1.5,2307.2
60,0.2694,1.9386458541870117,10,100,0.166,0,1.51,2307.2
61,0.2956,1.8952782291412353,10,100,0.1615,1,2.48,2307.2
62,0.1589,2.170604879760742,10,100,0.165,3,2.55,2307.2
63,0.2555,1.9196019676208496,10,100,0.1685,2,1.66,2307.2
64,0.2565,1.9569771816253663,10,100,0.168,0,1.66,2307.2
65,0.259,1.9748158611297608,10,100,0.1675,0,1.77,2307.2
66,0.2468,1.9352178663253785,10,100,0.167,1,1.53,2307.2
67,0.2519,1.994734701156616,10,100,0.1665,1,1.99,2307.2
68,0.277,1.877497328567505,10,100,0.17,1,1.48,2307.2
69,0.3072,1.8320676242828369,10,100,0.1695,0,1.6,2307.2
70,0.2907,1.8451416610717772,10,100,0.173,1,1.51,2307.2
71,0.3156,1.853730590057373,10,100,0.1685,0,1.48,2307.2
72,0.3015,1.8434261074066163,10,100,0.1561,1,1.5,2307.2
73,0.2762,1.8943905067443847,10,100,0.1515,1,1.68,2307.2
74,0.2976,1.8439970596313477,10,100,0.155,2,2.27,2307.2
75,0.3136,1.8375347679138183,10,100,0.1545,1,4.13,2307.2
76,0.3287,1.8358606340408326,10,100,0.162,3,1.48,2307.2
77,0.3253,1.870462176513672,10,100,0.1576,0,1.5,2307.2
78,0.2749,1.8792732818603515,10,100,0.1572,2,1.94,2307.2
79,0.3476,1.8225659645080567,10,100,0.1568,1,1.65,2307.2
80,0.3258,1.843636321258545,10,100,0.1565,1,1.55,2307.2
81,0.2818,1.9104343692779542,10,100,0.1561,0,1.59,2307.2
82,0.3344,1.823025805091858,10,100,0.1518,2,1.53,2307.2
83,0.3088,1.8198682498931884,10,100,0.1514,0,1.77,2307.2
84,0.3281,1.7692832824707032,10,100,0.151,2,1.49,2307.2
85,0.3339,1.7605751708984374,10,100,0.1466,1,2.37,2307.2
86,0.3396,1.7816172002792359,10,100,0.1463,1,2.58,2307.2
87,0.3369,1.7704052265167236,10,100,0.146,0,1.89,2307.2
88,0.3586,1.7420380939483642,10,100,0.1456,0,2.1,2307.2
