round,client_id,selected,utility,normalized_utility,detector,cusum_pos,cusum_neg,change_detected,change_direction,last_seen,age,explore_score,exploit_score,final_score
1,30,True,0.324696,0.3247,none,,,False,,1,0,,,
1,32,True,0.028333,0.0283,none,,,False,,1,0,,,
1,78,True,0.683421,0.6834,none,,,False,,1,0,,,
1,34,True,0.09338,0.0934,none,,,False,,1,0,,,
1,21,True,0.545635,0.5456,none,,,False,,1,0,,,
1,92,True,0.148533,0.1485,none,,,False,,1,0,,,
1,24,True,0.327605,0.3276,none,,,False,,1,0,,,
1,28,True,0.568157,0.5682,none,,,False,,1,0,,,
1,86,True,0.19616,0.1962,none,,,False,,1,0,,,
1,81,True,0.125216,0.1252,none,,,False,,1,0,,,
2,68,True,0.325728,0.3257,none,,,False,,2,0,,,
2,14,True,0.203829,0.2038,none,,,False,,2,0,,,
2,84,True,0.313766,0.3138,none,,,False,,2,0,,,
2,1,True,0.526796,0.5268,none,,,False,,2,0,,,
2,44,True,0.25579,0.2558,none,,,False,,2,0,,,
2,18,True,0.553827,0.5538,none,,,False,,2,0,,,
2,74,True,0.459088,0.4591,none,,,False,,2,0,,,
2,77,True,0.66148,0.6615,none,,,False,,2,0,,,
2,93,True,0.378415,0.3784,none,,,False,,2,0,,,
2,75,True,0.750043,0.75,none,,,False,,2,0,,,
3,53,True,0.471029,0.471,none,,,False,,3,0,,,
3,43,True,1.129061,1.1291,none,,,False,,3,0,,,
3,58,True,1.126715,1.1267,none,,,False,,3,0,,,
3,22,True,0.315694,0.3157,none,,,False,,3,0,,,
3,30,True,0.550091,0.5501,none,,,False,,3,0,,,
3,69,True,0.597722,0.5977,none,,,False,,3,0,,,
3,48,True,0.277725,0.2777,none,,,False,,3,0,,,
3,40,True,0.601252,0.6013,none,,,False,,3,0,,,
3,81,True,0.304416,0.3044,none,,,False,,3,0,,,
3,5,True,0.602684,0.6027,none,,,False,,3,0,,,
4,33,True,0.766103,0.7661,none,,,False,,4,0,,,
4,26,True,0.503822,0.5038,none,,,False,,4,0,,,
4,30,True,0.362627,0.3626,none,,,False,,4,0,,,
4,19,True,0.379214,0.3792,none,,,False,,4,0,,,
4,53,True,0.485085,0.4851,none,,,False,,4,0,,,
4,44,True,0.222314,0.2223,none,,,False,,4,0,,,
4,64,True,0.437058,0.4371,none,,,False,,4,0,,,
4,55,True,1.413761,1.4138,none,,,False,,4,0,,,
4,14,True,0.164737,0.1647,none,,,False,,4,0,,,
4,96,True,0.697229,0.6972,none,,,False,,4,0,,,
5,11,True,0.566336,0.5663,none,,,False,,5,0,,,
5,22,True,0.268995,0.269,none,,,False,,5,0,,,
5,10,True,0.70653,0.7065,none,,,False,,5,0,,,
5,41,True,1.080777,1.0808,none,,,False,,5,0,,,
5,44,True,0.47252,0.4725,none,,,False,,5,0,,,
5,99,True,0.411715,0.4117,none,,,False,,5,0,,,
5,69,True,0.541914,0.5419,none,,,False,,5,0,,,
5,31,True,0.970139,0.9701,none,,,False,,5,0,,,
5,8,True,0.735581,0.7356,none,,,False,,5,0,,,
5,51,True,0.715242,0.7152,none,,,False,,5,0,,,
6,14,True,0.1828,0.1828,none,,,False,,6,0,,,
6,71,True,0.563961,0.564,none,,,False,,6,0,,,
6,24,True,0.625017,0.625,none,,,False,,6,0,,,
6,5,True,0.487491,0.4875,none,,,False,,6,0,,,
6,30,True,0.562504,0.5625,none,,,False,,6,0,,,
6,86,True,0.338916,0.3389,none,,,False,,6,0,,,
6,41,True,0.771633,0.7716,none,,,False,,6,0,,,
