round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,0.1,2.3539356941223146,10,100,1.0,0,0.05,1989.53
2,0.1065,2.3286380615234377,10,100,1.0,0,0.12,1989.53
3,0.1018,2.379472833251953,10,100,1.0,0,0.12,1989.53
4,0.1,2.38579718170166,10,100,1.0,0,0.07,1989.53
5,0.0994,2.3209064624786375,10,100,1.0,0,0.09,1989.53
6,0.1,2.303921167373657,10,100,1.0,0,0.12,1989.53
7,0.1207,2.343432386779785,10,100,1.0,0,0.07,1989.53
8,0.1,2.416284055709839,10,100,1.0,0,0.07,1989.53
9,0.1511,2.3321890632629394,10,100,1.0,0,0.08,1989.53
10,0.1091,2.3618586212158204,10,100,1.0,0,0.08,1989.53
11,0.1,2.3943049125671387,10,100,1.0,0,0.07,1989.53
12,0.1498,2.3097018020629885,10,100,1.0,0,0.12,1989.53
13,0.1443,2.3713711612701416,10,100,1.0,0,0.07,1989.53
14,0.1014,2.299428384399414,10,100,1.0,0,0.07,1989.53
15,0.1395,2.273024806213379,10,100,1.0,0,0.07,1989.53
16,0.149,2.2695289993286134,10,100,1.0,0,0.07,1989.53
17,0.1001,2.341334234237671,10,100,1.0,0,0.1,1989.53
18,0.1,2.3799472496032714,10,100,1.0,0,0.09,1989.53
19,0.1141,2.3155427055358886,10,100,1.0,0,0.08,1989.53
20,0.1023,2.3000115234375,10,100,1.0,0,0.07,1989.53
21,0.1487,2.2424528930664063,10,100,1.0,0,0.07,1989.53
22,0.1554,2.191498328781128,10,100,1.0,0,0.07,1989.53
23,0.1559,2.204750271606445,10,100,1.0,0,0.07,1989.53
24,0.1368,2.363817148971558,10,100,1.0,0,0.07,1989.53
25,0.1805,2.1767192840576173,10,100,1.0,0,0.08,1989.53
26,0.1727,2.1563528537750245,10,100,1.0,0,0.07,1989.53
27,0.1782,2.223547366333008,10,100,1.0,0,0.07,1989.53
28,0.2035,2.097573853302002,10,100,1.0,0,0.07,1989.53
29,0.1821,2.180019486236572,10,100,1.0,0,0.1,1989.53
30,0.1709,2.1031115180969238,10,100,1.0,0,0.09,1989.53
31,0.2121,2.1263349737167356,10,100,1.0,0,0.07,1989.53
32,0.2103,2.076929054069519,10,100,1.0,0,0.07,1989.53
33,0.1747,2.0992934936523437,10,100,1.0,0,0.08,1989.53
34,0.2241,2.1422142457962035,10,100,1.0,0,0.07,1989.53
35,0.2098,2.027514111328125,10,100,1.0,0,0.11,1989.53
36,0.2384,2.0168151477813723,10,100,1.0,0,0.09,1989.53
37,0.236,2.0321905967712404,10,100,1.0,0,0.07,1989.53
38,0.2389,2.0396354572296143,10,100,1.0,0,0.07,1989.53
39,0.1948,2.0519042991638186,10,100,1.0,0,0.11,1989.53
40,0.2207,2.141027297210693,10,100,1.0,0,0.07,1989.53
41,0.1958,2.1568559379577636,10,100,1.0,0,0.09,1989.53
42,0.2567,2.028061227416992,10,100,1.0,0,0.1,1989.53
43,0.2487,2.028824158859253,10,100,1.0,0,0.07,1989.53
44,0.2231,2.00600946598053,10,100,1.0,0,0.07,1989.53
45,0.2367,2.024394508743286,10,100,1.0,0,0.07,1989.53
46,0.2213,2.098746932220459,10,100,1.0,0,0.08,1989.53
47,0.2397,2.0741831937789916,10,100,1.0,0,0.07,1989.53
48,0.2173,2.06322392539978,10,100,1.0,0,0.07,1989.53
49,0.2499,2.014573598098755,10,100,1.0,0,0.07,1989.53
50,0.2275,2.008961867904663,10,100,1.0,0,0.07,1989.53
51,0.244,1.9769959199905396,10,100,1.0,0,0.08,1989.53
52,0.245,2.0185150886535643,10,100,1.0,0,0.07,1989.53
53,0.23,2.0272096822738646,10,100,1.0,0,0.12,1989.53
54,0.2846,1.9500068368911743,10,100,1.0,0,0.11,1989.53
