round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,0.1,2.3186668529510497,10,100,0.0,0,0.1,2308.1
2,0.1053,2.395774871826172,10,100,0.0,0,0.16,2308.1
3,0.1183,2.4293987255096434,10,100,0.0,0,0.17,2308.1
4,0.1265,2.4261063388824464,10,100,0.0,0,0.17,2308.1
5,0.1206,2.4150207405090334,10,100,0.0,0,0.17,2308.1
6,0.1008,2.3882962677001953,10,100,0.0,0,0.23,2308.1
7,0.1052,2.4008804679870606,10,100,0.0,0,0.21,2308.1
8,0.1509,2.362655178070068,10,100,0.0,0,0.17,2308.1
9,0.1085,2.386079013442993,10,100,0.0,0,0.18,2308.1
10,0.1739,2.3681962310791014,10,100,0.0,0,0.27,2308.1
11,0.1668,2.3350664749145507,10,100,0.0,0,0.2,2308.1
12,0.1554,2.408414247894287,10,100,0.0,0,0.29,2308.1
13,0.1079,2.3259041328430174,10,100,0.0,0,0.26,2308.1
14,0.1465,2.4920649326324464,10,100,0.0,0,0.19,2308.1
15,0.1185,2.3354902481079103,10,100,0.0,0,0.2,2308.1
16,0.1592,2.524512063217163,10,100,0.0,0,0.2,2308.1
17,0.1208,2.3526833984375,10,100,0.0,0,0.2,2308.1
18,0.1607,2.4808618324279785,10,100,0.0,0,0.2,2308.1
19,0.1324,2.278443992614746,10,100,0.0,0,0.22,2308.1
20,0.1438,2.4295095153808592,10,100,0.0,0,0.25,2308.1
21,0.17,2.248767671203613,10,100,0.0,0,0.33,2308.1
22,0.2075,2.2780499603271482,10,100,0.0,0,0.21,2308.1
23,0.1754,2.1963032012939454,10,100,0.0,0,0.21,2308.1
24,0.2215,2.2394649490356446,10,100,0.0,0,0.27,2308.1
25,0.2021,2.1506329139709472,10,100,0.0,0,0.24,2308.1
26,0.2193,2.2079321193695067,10,100,0.0,0,0.24,2308.1
27,0.1972,2.159572266769409,10,100,0.0,0,0.33,2308.1
28,0.2096,2.143835436630249,10,100,0.0,0,0.32,2308.1
29,0.1862,2.1782541816711425,10,100,0.0,0,0.22,2308.1
30,0.2055,2.1307711181640623,10,100,0.0,0,0.3,2308.1
31,0.2089,2.1513083816528322,10,100,0.0,0,0.23,2308.1
32,0.2153,2.1316629116058348,10,100,0.0,0,0.28,2308.1
33,0.225,2.146732145690918,10,100,0.0,0,0.22,2308.1
34,0.2261,2.107333472824097,10,100,0.0,0,0.22,2308.1
35,0.2262,2.1515334045410155,10,100,0.0,0,0.26,2308.1
36,0.2285,2.106196287918091,10,100,0.0,0,0.23,2308.1
37,0.2414,2.128664186477661,10,100,0.0,0,0.23,2308.1
38,0.2275,2.084021134185791,10,100,0.0,0,0.23,2308.1
39,0.2342,2.115895092010498,10,100,0.0,0,0.24,2308.1
40,0.2345,2.0502347324371337,10,100,0.0,0,0.26,2308.1
41,0.2264,2.1327320110321044,10,100,0.0,0,0.28,2308.1
42,0.2391,2.0192837131500245,10,100,0.0,0,0.33,2308.1
43,0.2418,2.153893035507202,10,100,0.0,0,0.41,2308.1
44,0.2526,2.01079259185791,10,100,0.0,0,0.24,2308.1
45,0.2292,2.191187742996216,10,100,0.0,0,0.27,2308.1
46,0.2375,2.0125646732330322,10,100,0.0,0,0.32,2308.1
47,0.2122,2.202899090576172,10,100,0.0,0,0.3,2308.1
48,0.2342,2.019106534576416,10,100,0.0,0,0.25,2308.1
49,0.2217,2.147779386138916,10,100,0.0,0,0.26,2308.1
50,0.248,2.008918126869202,10,100,0.0,0,0.25,2308.1
51,0.2538,2.1755888038635254,10,100,0.0,0,0.25,2308.1
52,0.2552,1.9899592514038087,10,100,0.0,0,0.3,2308.1
53,0.2394,2.1689020458221435,10,100,0.0,0,0.25,2308.1
54,0.2707,1.9792940269470214,10,100,0.0,0,0.26,2308.1
55,0.2448,2.1435343124389648,10,100,0.0,0,0.26,2308.1
56,0.2722,1.9654903444290162,10,100,0.0,0,0.38,2308.1
57,0.2589,2.115386033630371,10,100,0.0,0,0.42,2308.1
58,0.2657,1.9852172191619872,10,100,0.0,0,0.47,2308.1
59,0.2532,2.099995846557617,10,100,0.0,0,0.27,2308.1
