round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,0.1,2.304272016143799,10,100,0.0,0,0.07,2293.07
2,0.1,2.3152946655273436,10,100,0.0,0,0.08,2293.07
3,0.1,2.3595295722961427,10,100,0.0,0,0.12,2293.07
4,0.1034,2.3491274311065675,10,100,0.0,0,0.08,2293.07
5,0.1,2.3575476097106933,10,100,0.0,0,0.13,2293.07
6,0.1322,2.325520156097412,10,100,0.0,0,0.09,2293.07
7,0.1,2.3188259769439696,10,100,0.0,0,0.14,2293.07
8,0.1054,2.319854689025879,10,100,0.0,0,0.09,2293.07
9,0.1366,2.3096114765167237,10,100,0.0,0,0.09,2293.07
10,0.1448,2.296168232345581,10,100,0.0,0,0.14,2293.07
11,0.1143,2.2927098709106444,10,100,0.0,0,0.14,2293.07
12,0.1698,2.272781256866455,10,100,0.0,0,0.14,2293.07
13,0.1216,2.2651014503479003,10,100,0.0,0,0.1,2293.07
14,0.1552,2.263846073150635,10,100,0.0,0,0.1,2293.07
15,0.1133,2.290812339401245,10,100,0.0,0,0.1,2293.07
16,0.146,2.2635893405914307,10,100,0.0,0,0.11,2293.07
17,0.1224,2.2914893783569337,10,100,0.0,0,0.1,2293.07
18,0.1479,2.258072095489502,10,100,0.0,0,0.15,2293.07
19,0.1529,2.297518956375122,10,100,0.0,0,0.11,2293.07
20,0.1499,2.2454343841552733,10,100,0.0,0,0.11,2293.07
21,0.1888,2.26326700630188,10,100,0.0,0,0.11,2293.07
22,0.1815,2.210364758300781,10,100,0.0,0,0.17,2293.07
23,0.1995,2.237152784729004,10,100,0.0,0,0.17,2293.07
24,0.2032,2.197409823226929,10,100,0.0,0,0.12,2293.07
25,0.2061,2.196599430847168,10,100,0.0,0,0.12,2293.07
26,0.2384,2.152183006668091,10,100,0.0,0,0.13,2293.07
27,0.221,2.17907735824585,10,100,0.0,0,0.13,2293.07
28,0.2199,2.1539491485595703,10,100,0.0,0,0.18,2293.07
29,0.2199,2.1693406131744384,10,100,0.0,0,0.13,2293.07
30,0.2319,2.117291864013672,10,100,0.0,0,0.15,2293.07
31,0.2357,2.1316211448669433,10,100,0.0,0,0.13,2293.07
32,0.2527,2.0882932971954347,10,100,0.0,0,0.13,2293.07
33,0.2286,2.1309466064453124,10,100,0.0,0,0.13,2293.07
34,0.2577,2.0685791915893557,10,100,0.0,0,0.13,2293.07
35,0.2364,2.107405037498474,10,100,0.0,0,0.22,2293.07
36,0.2498,2.069935067367554,10,100,0.0,0,0.22,2293.07
37,0.2241,2.153341374206543,10,100,0.0,0,0.14,2293.07
38,0.2785,2.0200796730041506,10,100,0.0,0,0.21,2293.07
39,0.2607,2.0508916084289552,10,100,0.0,0,0.18,2293.07
40,0.2883,1.9939604598999023,10,100,0.0,0,0.25,2293.07
41,0.2591,2.007298585510254,10,100,0.0,0,0.14,2293.07
42,0.282,1.9916737075805664,10,100,0.0,0,0.18,2293.07
43,0.2856,1.965131311225891,10,100,0.0,0,0.15,2293.07
44,0.2787,1.98079847946167,10,100,0.0,0,0.15,2293.07
45,0.3033,1.9324839977264405,10,100,0.0,0,0.17,2293.07
46,0.3026,1.9214726415634156,10,100,0.0,0,0.19,2293.07
47,0.3116,1.9048241956710816,10,100,0.0,0,0.26,2293.07
48,0.2966,1.9357106077194215,10,100,0.0,0,0.24,2293.07
49,0.2915,1.9553456916809082,10,100,0.0,0,0.16,2293.07
50,0.3224,1.8799147687911988,10,100,0.0,0,0.16,2293.07
51,0.3273,1.8617643859863282,10,100,0.0,0,0.16,2293.07
52,0.3248,1.8613625865936279,10,100,0.0,0,0.16,2293.07
53,0.3215,1.8788095428466798,10,100,0.0,0,0.17,2293.07
54,0.323,1.853041241455078,10,100,0.0,0,0.21,2293.07
55,0.3314,1.8306292182922363,10,100,0.0,0,0.17,2293.07
56,0.3414,1.8110669385910034,10,100,0.0,0,0.21,2293.07
57,0.3471,1.8081119871139526,10,100,0.0,0,0.17,2293.07
58,0.3469,1.79038747215271,10,100,0.0,0,0.24,2293.07
59,0.3484,1.7888115549087524,10,100,0.0,0,0.27,2293.07
60,0.3507,1.7925103351593017,10,100,0.0,0,0.28,2293.07
61,0.34,1.814165299797058,10,100,0.0,0,0.25,2293.07
62,0.3557,1.7640205495834351,10,100,0.0,0,0.21,2293.07
63,0.3579,1.750952890777588,10,100,0.0,0,0.21,2293.07
64,0.3656,1.749245629119873,10,100,0.0,0,0.18,2293.07
65,0.3626,1.733898020362854,10,100,0.0,0,0.18,2293.07
66,0.3718,1.7117194717407227,10,100,0.0,0,0.18,2293.07
67,0.3659,1.732856823539734,10,100,0.0,0,0.18,2293.07
68,0.3692,1.7191105396270752,10,100,0.0,0,0.19,2293.07
69,0.3691,1.704532866859436,10,100,0.0,0,0.24,2293.07
70,0.3758,1.7046090440750121,10,100,0.0,0,0.21,2293.07
71,0.3787,1.6766669214248657,10,100,0.0,0,0.31,2293.07
72,0.3839,1.6685190845489501,10,100,0.0,0,0.28,2293.07
73,0.3858,1.6668039358139037,10,100,0.0,0,0.2,2293.07
74,0.3845,1.6833794946670533,10,100,0.0,0,0.2,2293.07
75,0.3661,1.692168719482422,10,100,0.0,0,0.27,2293.07
76,0.39,1.6575497104644776,10,100,0.0,0,0.2,2293.07
77,0.374,1.6727690311431884,10,100,0.0,0,0.2,2293.07
78,0.3883,1.6732343496322633,10,100,0.0,0,0.2,2293.07
79,0.388,1.6472228679656982,10,100,0.0,0,0.21,2293.07
80,0.3794,1.6645046478271484,10,100,0.0,0,0.32,2293.07
81,0.3974,1.637284825515747,10,100,0.0,0,0.21,2293.07
82,0.3702,1.6912860507965088,10,100,0.0,0,0.24,2293.07
83,0.3953,1.6297569721221923,10,100,0.0,0,0.21,2293.07
84,0.3902,1.6492264173507691,10,100,0.0,0,0.39,2293.07
85,0.4052,1.6159952976226806,10,100,0.0,0,0.36,2293.07
86,0.3877,1.6385429065704347,10,100,0.0,0,0.21,2293.07
87,0.4096,1.6042767333984376,10,100,0.0,0,0.22,2293.07
88,0.3897,1.6634977878570556,10,100,0.0,0,0.27,2293.07
89,0.4127,1.6002846044540406,10,100,0.0,0,0.22,2293.07
90,0.4011,1.6152165103912353,10,100,0.0,0,0.23,2293.07
91,0.416,1.5979574279785156,10,100,0.0,0,0.24,2293.07
92,0.4015,1.6301596569061279,10,100,0.0,0,0.22,2293.07
93,0.4152,1.5891730564117432,10,100,0.0,0,0.3,2293.07
94,0.4042,1.605526371383667,10,100,0.0,0,0.23,2293.07
95,0.4144,1.6086558223724365,10,100,0.0,0,0.24,2293.07
96,0.4082,1.597131227493286,10,100,0.0,0,0.35,2293.07
97,0.4179,1.5853083904266358,10,100,0.0,0,0.36,2293.07
98,0.4172,1.585181686592102,10,100,0.0,0,0.27,2293.07
99,0.4247,1.5737412399291992,10,100,0.0,0,0.26,2293.07
100,0.4171,1.5762905807495118,10,100,0.0,0,0.23,2293.07
