round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,0.1,2.3784298835754396,5,20,1.0,0,0.11,1995.97
2,0.1,2.3435179405212403,5,20,1.0,0,0.09,1995.97
3,0.1281,2.3165578338623045,5,20,1.0,0,0.08,1995.97
4,0.1602,2.147639288711548,5,20,1.0,0,0.14,1995.97
5,0.1286,2.3218946731567383,5,20,1.0,0,0.08,1995.97
6,0.1901,2.2058630493164064,5,20,0.2752,0,0.44,1995.97
7,0.1652,2.1320178636550904,5,20,0.2467,0,0.39,1995.97
8,0.2153,2.0613640172958374,5,20,0.2177,0,0.46,1995.97
9,0.2302,2.3356441047668457,5,20,0.2007,0,0.51,1995.97
10,0.2476,2.1066171058654786,5,20,0.195,0,0.6,1995.97
11,0.2648,1.9286684185028076,5,20,0.2106,1,0.45,1995.97
12,0.2604,1.90838565826416,5,20,0.2064,0,0.47,1995.97
13,0.3081,1.9079613368988038,5,20,0.2025,0,0.42,1995.97
14,0.3174,1.9160410442352296,5,20,0.1998,0,0.49,1995.97
15,0.3117,1.8666026290893554,5,20,0.1976,0,0.42,1995.97
