round,client_id,selected,utility,normalized_utility,detector,cusum_pos,cusum_neg,change_detected,change_direction,last_seen,age,explore_score,exploit_score,final_score
1,17,True,0.630835,0.0,none,,,False,,1,0,,,
1,5,True,0.429604,-1.3497,none,,,False,,1,0,,,
1,6,True,0.912826,1.8914,none,,,False,,1,0,,,
1,19,True,0.530276,-0.6745,none,,,False,,1,0,,,
1,16,True,0.714551,0.5615,none,,,False,,1,0,,,
2,16,True,0.479327,-0.7695,none,,,False,,2,0,,,
2,7,True,0.738023,0.6745,none,,,False,,2,0,,,
2,12,True,0.617185,0.0,none,,,False,,2,0,,,
2,3,True,0.485685,-0.734,none,,,False,,2,0,,,
2,15,True,0.709154,0.5134,none,,,False,,2,0,,,
3,3,True,0.454123,-2.6555,none,,,False,,3,0,,,
3,8,True,0.639585,-0.1733,none,,,False,,3,0,,,
3,9,True,0.652534,0.0,none,,,False,,3,0,,,
3,2,True,1.273385,3.0,none,,,False,,3,0,,,
3,17,True,0.702929,0.6745,none,,,False,,3,0,,,
4,16,True,1.547301,3.0,none,,,False,,4,0,,,
4,19,True,1.080699,-0.6093,none,,,False,,4,0,,,
4,18,True,0.837054,-3.0,none,,,False,,4,0,,,
4,11,True,1.12203,0.0,none,,,False,,4,0,,,
4,7,True,1.167784,0.6745,none,,,False,,4,0,,,
5,17,True,0.801266,0.6745,none,,,False,,5,0,,,
5,12,True,0.986778,1.2547,none,,,False,,5,0,,,
5,10,True,0.585612,0.0,none,,,False,,5,0,,,
5,16,True,0.533326,-0.1635,none,,,False,,5,0,,,
5,11,True,0.338933,-0.7715,none,,,False,,5,0,,,
6,2,True,1.399481,3.0,none,,,False,,6,0,0.4558,3.3536,
6,6,True,1.216423,2.0492,none,,,False,,6,0,0.5725,2.245,
6,7,True,0.931128,0.0,none,,,False,,6,0,0.3187,0.9632,
6,0,True,0.846285,-0.6094,none,,,False,,6,0,0.8,0.5,
6,1,True,0.837224,-0.6745,none,,,False,,6,0,0.8,0.5,
7,2,True,0.686952,0.1769,cusum,,,True,positive,7,0,0.4521,4.2887,
7,6,True,0.674462,0.0,none,,,False,,7,0,0.2521,2.259,
7,12,True,0.62685,-0.6745,none,,,False,,7,0,0.3021,0.916,
7,4,True,0.161271,-3.0,none,,,False,,7,0,0.8,0.5,
7,13,True,0.985342,3.0,none,,,False,,7,0,0.8,0.5,
8,13,True,0.626946,-0.6745,cusum,,,True,positive,8,0,0.5412,4.3536,
8,2,True,0.640057,-0.5939,none,,,False,,8,0,0.4188,3.309,
8,6,True,1.286502,3.0,none,,,False,,8,0,0.2188,1.5635,
8,14,True,0.736669,0.0,none,,,False,,8,0,0.8,0.5,
8,5,True,0.986828,1.5378,none,,,False,,8,0,0.6037,-0.9962,
9,6,True,0.705049,-0.2159,cusum,,,True,positive,9,0,0.3954,2.9067,
9,13,True,1.070025,0.9898,none,,,False,,9,0,0.4521,2.4514,
9,2,True,0.974588,0.6745,none,,,False,,9,0,0.3954,2.0846,
9,4,True,0.43496,-1.1081,none,,,False,,9,0,0.5808,-3.1464,
9,15,True,0.770411,0.0,none,,,False,,9,0,0.5753,0.8669,
10,13,True,0.479899,-1.6679,none,,,False,,10,0,0.41,2.3551,
10,6,True,0.58819,-1.1351,none,,,False,,10,0,0.3779,2.1322,
10,2,True,0.83244,0.0665,none,,,False,,10,0,0.3779,1.29,
10,8,True,0.956032,0.6745,none,,,False,,10,0,0.5525,0.1803,
10,9,True,0.818927,0.0,none,,,False,,10,0,0.5525,0.3536,
11,6,True,0.785535,-0.6754,none,,,False,,11,0,0.3641,1.7386,
11,2,True,0.439485,-1.8422,none,,,False,,11,0,0.3641,1.238,
11,16,True,1.123342,0.4635,none,,,False,,11,0,0.3474,0.9126,
11,18,True,1.185911,0.6745,none,,,False,,11,0,0.5339,-2.6464,
11,10,True,0.985861,0.0,none,,,False,,11,0,0.502,0.3536,
12,16,True,0.775343,0.645,none,,,False,,12,0,0.1721,1.3041,
12,13,True,1.007806,2.4532,none,,,False,,12,0,0.4149,0.7727,
12,17,True,0.692422,0.0,none,,,False,,12,0,0.3792,0.6997,
12,4,True,0.60571,-0.6745,none,,,False,,12,0,0.5229,-2.2654,
12,3,True,0.482064,-1.6363,none,,,False,,12,0,0.4979,-1.4061,
13,13,True,0.484237,-0.5005,none,,,False,,13,0,0.3698,0.7958,
13,7,True,0.314731,-3.0,none,,,False,,13,0,0.3712,0.6997,
13,17,True,0.552365,0.6745,none,,,False,,13,0,0.1834,0.6733,
13,0,True,0.513256,0.0,none,,,False,,13,0,0.5052,-0.2559,
13,1,True,1.263043,3.0,none,,,False,,13,0,0.5052,-0.3209,
14,1,True,0.605442,0.0,cusum,,,True,positive,14,0,0.4699,2.4514,
14,17,True,0.577727,-0.2566,none,,,False,,14,0,0.1679,0.6538,
14,15,True,0.678279,0.6745,none,,,False,,14,0,0.3699,0.5454,
14,19,True,0.818047,1.9688,none,,,False,,14,0,0.4949,-0.3532,
14,11,True,0.518016,-0.8096,none,,,False,,14,0,0.4699,-0.0971,
15,1,True,0.472911,-0.7772,none,,,False,,15,0,0.4183,2.0252,
15,15,True,0.952053,0.8344,none,,,False,,15,0,0.2183,0.6459,
15,8,True,0.904507,0.6745,none,,,False,,15,0,0.3654,0.5393,
15,14,True,0.504308,-0.6716,none,,,False,,15,0,0.4842,0.3536,
15,4,True,0.703972,0.0,none,,,False,,15,0,0.465,-1.3442,
