round,client_id,selected,utility,normalized_utility,detector,cusum_pos,cusum_neg,change_detected,change_direction,last_seen,age,explore_score,exploit_score,final_score
1,0,True,0.701581,0.7016,none,,,False,,1,0,,,0.0
1,1,True,0.780576,0.7806,none,,,False,,1,0,,,0.0
1,2,True,0.77366,0.7737,none,,,False,,1,0,,,0.0
1,3,True,0.548294,0.5483,none,,,False,,1,0,,,0.0
1,14,True,0.532199,0.5322,none,,,False,,1,0,,,0.0
2,1,True,0.712555,0.7126,none,,,False,,2,0,,,0.7805758503193505
2,2,True,0.722122,0.7221,none,,,False,,2,0,,,0.7736595165565692
2,0,True,0.652664,0.6527,none,,,False,,2,0,,,0.7015805093589478
2,3,True,0.335063,0.3351,none,,,False,,2,0,,,0.5482938785480742
2,5,True,0.69727,0.6973,none,,,False,,2,0,,,0.0
3,2,True,0.835646,0.8356,none,,,False,,3,0,,,0.74789085774626
3,1,True,0.589822,0.5898,none,,,False,,3,0,,,0.7465652769464516
3,5,True,0.785435,0.7854,none,,,False,,3,0,,,0.6972696598181793
3,0,True,0.636381,0.6364,none,,,False,,3,0,,,0.6771223633073983
3,17,True,0.590167,0.5902,none,,,False,,3,0,,,0.0
4,2,True,1.14073,1.1407,none,,,False,,4,0,,,0.7771426906678208
4,5,True,0.762871,0.7629,none,,,False,,4,0,,,0.7413524440042988
4,1,True,0.521069,0.5211,none,,,False,,4,0,,,0.6943174709681591
4,0,True,0.449309,0.4493,none,,,False,,4,0,,,0.6635419492526246
4,8,True,0.682356,0.6824,none,,,False,,4,0,,,0.0
5,2,True,0.847584,0.8476,none,,,False,,5,0,,,0.8680394926472066
5,5,True,0.496075,0.4961,none,,,False,,5,0,,,0.7485252493450664
5,8,True,0.42973,0.4297,none,,,False,,5,0,,,0.6823555733028213
5,1,True,0.413019,0.413,none,,,False,,5,0,,,0.6510054260408844
5,14,True,0.827124,0.8271,none,,,False,,5,0,,,0.5321987134233619
6,2,True,0.465184,0.4652,none,,,False,,6,0,,,0.8639484014834912
6,5,True,0.442191,0.4422,none,,,False,,6,0,,,0.685412581252393
6,14,True,0.416812,0.4168,none,,,False,,6,0,,,0.6796612545501355
6,0,True,0.874751,0.8748,none,,,False,,6,0,,,0.6099836854883314
6,9,True,0.691659,0.6917,none,,,False,,6,0,,,0.0
7,2,True,0.361205,0.3612,none,,,False,,7,0,,,0.8022533722239922
7,9,True,0.473864,0.4739,none,,,False,,7,0,,,0.6916591573888651
7,0,True,0.780206,0.7802,none,,,False,,7,0,,,0.6629370558759259
7,5,True,0.999772,0.9998,none,,,False,,7,0,,,0.6367683547145114
7,3,True,0.698217,0.6982,none,,,False,,7,0,,,0.44167858622287304
8,2,True,0.443965,0.444,none,,,False,,8,0,,,0.7300699939434819
8,5,True,0.954053,0.9541,none,,,False,,8,0,,,0.6972687362984153
8,0,True,0.591092,0.5911,none,,,False,,8,0,,,0.6786620577340385
8,1,True,2.378244,2.3782,none,,,False,,8,0,,,0.6034081849731316
8,19,True,0.850155,0.8502,none,,,False,,8,0,,,0.0
