round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,0.113,2.366436011505127,5,20,0.15,0,0.11,1995.86
2,0.175,2.2777470138549805,5,20,0.15,0,0.23,1995.86
3,0.1824,2.184946458053589,5,20,0.15,0,0.22,1995.86
4,0.202,2.1449499534606935,5,20,0.15,0,0.18,1995.86
5,0.1715,2.1168029312133787,5,20,0.15,0,0.2,1995.86
6,0.2107,2.0720738410949706,5,20,0.15,0,0.26,1995.86
7,0.2157,2.0388278091430663,5,20,0.15,0,0.21,1995.86
8,0.2465,1.9302659828186035,5,20,0.15,0,0.23,1995.86
9,0.2589,1.9290793846130372,5,20,0.15,0,0.21,1995.86
10,0.2865,1.9249602409362794,5,20,0.15,0,0.21,1995.86
11,0.2864,1.912593544769287,5,20,0.15,0,0.22,1995.86
12,0.3098,1.8908132621765137,5,20,0.15,0,0.49,1995.86
13,0.3468,1.8130514719009398,5,20,0.15,0,0.29,1995.86
14,0.3097,1.8780290840148925,5,20,0.15,0,0.29,1995.86
15,0.3327,1.7818707593917846,5,20,0.15,0,0.33,1995.86
