round,client_id,selected,utility,normalized_utility,detector,cusum_pos,cusum_neg,change_detected,change_direction,last_seen,age,explore_score,exploit_score,final_score
1,0,True,0.583997,0.584,none,,,False,,1,0,,,
1,1,True,0.538161,0.5382,none,,,False,,1,0,,,
1,2,True,0.793975,0.794,none,,,False,,1,0,,,
1,3,True,0.57561,0.5756,none,,,False,,1,0,,,
1,4,True,0.513103,0.5131,none,,,False,,1,0,,,
2,2,True,0.907254,0.9073,none,,,False,,2,0,,,
2,0,True,0.488574,0.4886,none,,,False,,2,0,,,
2,3,True,0.552161,0.5522,none,,,False,,2,0,,,
2,1,True,0.493309,0.4933,none,,,False,,2,0,,,
2,5,True,1.754548,1.7545,none,,,False,,2,0,,,
3,5,True,1.501452,1.5015,none,,,False,,3,0,,,
3,2,True,0.90613,0.9061,none,,,False,,3,0,,,
3,3,True,0.379997,0.38,none,,,False,,3,0,,,
3,0,True,0.56889,0.5689,none,,,False,,3,0,,,
3,6,True,0.482087,0.4821,none,,,False,,3,0,,,
4,5,True,1.663593,1.6636,none,,,False,,4,0,,,
4,2,True,0.922239,0.9222,none,,,False,,4,0,,,
4,0,True,0.527442,0.5274,none,,,False,,4,0,,,
4,1,True,0.726597,0.7266,none,,,False,,4,0,,,
4,7,True,1.001997,1.002,none,,,False,,4,0,,,
5,5,True,1.282324,1.2823,none,,,False,,5,0,,,
5,7,True,0.695729,0.6957,none,,,False,,5,0,,,
5,2,True,0.853088,0.8531,none,,,False,,5,0,,,
5,1,True,0.452002,0.452,none,,,False,,5,0,,,
5,8,True,0.696633,0.6966,none,,,False,,5,0,,,
6,5,True,0.789228,0.7892,none,,,False,,6,0,,,
6,2,True,1.074871,1.0749,none,,,False,,6,0,,,
6,7,True,0.292862,0.2929,none,,,False,,6,0,,,
6,8,True,0.278229,0.2782,none,,,False,,6,0,,,
6,9,True,0.709072,0.7091,none,,,False,,6,0,,,
7,5,True,0.589263,0.5893,none,,,False,,7,0,,,
7,2,True,0.81335,0.8134,none,,,False,,7,0,,,
7,9,True,0.367204,0.3672,none,,,False,,7,0,,,
7,7,True,0.261596,0.2616,none,,,False,,7,0,,,
7,10,True,0.457906,0.4579,none,,,False,,7,0,,,
8,5,True,0.851884,0.8519,none,,,False,,8,0,,,
8,2,True,0.703517,0.7035,none,,,False,,8,0,,,
8,7,True,0.31493,0.3149,none,,,False,,8,0,,,
8,1,True,0.927787,0.9278,none,,,False,,8,0,,,
8,11,True,0.741069,0.7411,none,,,False,,8,0,,,
9,5,True,0.815022,0.815,none,,,False,,9,0,,,
9,2,True,0.631645,0.6316,none,,,False,,9,0,,,
9,11,True,0.809855,0.8099,none,,,False,,9,0,,,
9,1,True,0.368053,0.3681,none,,,False,,9,0,,,
9,12,True,0.484224,0.4842,none,,,False,,9,0,,,
10,5,True,0.906931,0.9069,none,,,False,,10,0,,,
10,2,True,0.386679,0.3867,none,,,False,,10,0,,,
10,11,True,0.573263,0.5733,none,,,False,,10,0,,,
10,1,True,0.470448,0.4704,none,,,False,,10,0,,,
10,13,True,1.064129,1.0641,none,,,False,,10,0,,,
11,13,True,0.531354,0.5314,none,,,False,,11,0,,,
11,5,True,1.186521,1.1865,none,,,False,,11,0,,,
11,2,True,0.625344,0.6253,none,,,False,,11,0,,,
11,11,True,0.544004,0.544,none,,,False,,11,0,,,
11,14,True,1.35314,1.3531,none,,,False,,11,0,,,
12,14,True,1.292678,1.2927,none,,,False,,12,0,,,
12,5,True,0.761392,0.7614,none,,,False,,12,0,,,
12,13,True,0.365733,0.3657,none,,,False,,12,0,,,
12,11,True,0.462039,0.462,none,,,False,,12,0,,,
12,15,True,0.649987,0.65,none,,,False,,12,0,,,
13,14,True,0.97633,0.9763,none,,,False,,13,0,,,
13,5,True,0.699863,0.6999,none,,,False,,13,0,,,
13,13,True,0.383594,0.3836,none,,,False,,13,0,,,
13,15,True,0.463186,0.4632,none,,,False,,13,0,,,
13,16,True,0.903968,0.904,none,,,False,,13,0,,,
14,14,True,1.203836,1.2038,none,,,False,,14,0,,,
14,16,True,0.823144,0.8231,none,,,False,,14,0,,,
14,5,True,0.71664,0.7166,none,,,False,,14,0,,,
14,2,True,0.771857,0.7719,none,,,False,,14,0,,,
14,17,True,0.548707,0.5487,none,,,False,,14,0,,,
15,14,True,0.642438,0.6424,none,,,False,,15,0,,,
15,16,True,0.94474,0.9447,none,,,False,,15,0,,,
15,5,True,0.508249,0.5082,none,,,False,,15,0,,,
15,11,True,0.74183,0.7418,none,,,False,,15,0,,,
15,18,True,1.006789,1.0068,none,,,False,,15,0,,,
