round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,0.1169,2.4647713359832766,5,20,0.2,0,0.07,1995.97
2,0.1324,2.4842682769775393,5,20,0.2,0,0.14,1995.97
3,0.1896,2.2163330383300783,5,20,0.2,0,0.18,1995.97
4,0.2164,2.2535192213058473,5,20,0.2,0,0.14,1995.97
5,0.2467,2.0472470588684084,5,20,0.2,0,0.15,1995.97
6,0.2423,1.9795743396759033,5,20,0.2,0,0.17,1995.97
7,0.3029,1.8591185394287109,5,20,0.2,0,0.17,1995.97
8,0.3141,1.8332586235046386,5,20,0.2,0,0.28,1995.97
9,0.3342,1.7789578216552735,5,20,0.2,0,0.19,1995.97
10,0.338,1.7411909133911132,5,20,0.2,0,0.2,1995.97
11,0.3351,1.9627896694183349,5,20,0.2,0,0.21,1995.97
12,0.3368,1.9682229000091553,5,20,0.2,0,0.21,1995.97
13,0.3878,1.9451286827087402,5,20,0.2,0,0.35,1995.97
14,0.396,1.8891269302368163,5,20,0.2,0,0.32,1995.97
15,0.3597,1.8254653539657593,5,20,0.2,0,0.23,1995.97
