round,client_id,selected,utility,normalized_utility,detector,cusum_pos,cusum_neg,change_detected,change_direction,last_seen,age,explore_score,exploit_score,final_score
1,4,True,0.623618,0.6236,none,,,False,,1,0,,,
1,2,True,0.746856,0.7469,none,,,False,,1,0,,,
1,13,True,0.863186,0.8632,none,,,False,,1,0,,,
1,10,True,0.67829,0.6783,none,,,False,,1,0,,,
1,14,True,0.520107,0.5201,none,,,False,,1,0,,,
2,3,True,0.830917,0.8309,none,,,False,,2,0,,,
2,15,True,0.749989,0.75,none,,,False,,2,0,,,
2,0,True,0.988717,0.9887,none,,,False,,2,0,,,
2,16,True,1.724299,1.7243,none,,,False,,2,0,,,
2,2,True,0.90249,0.9025,none,,,False,,2,0,,,
3,11,True,0.778123,0.7781,none,,,False,,3,0,,,
3,18,True,0.631971,0.632,none,,,False,,3,0,,,
3,19,True,0.640763,0.6408,none,,,False,,3,0,,,
3,10,True,0.969699,0.9697,none,,,False,,3,0,,,
3,7,True,0.879795,0.8798,none,,,False,,3,0,,,
4,0,True,0.85478,0.8548,none,,,False,,4,0,,,
4,9,True,0.768622,0.7686,none,,,False,,4,0,,,
4,14,True,0.534942,0.5349,none,,,False,,4,0,,,
4,7,True,0.421541,0.4215,none,,,False,,4,0,,,
4,12,True,0.736734,0.7367,none,,,False,,4,0,,,
5,19,True,0.444264,0.4443,none,,,False,,5,0,,,
5,16,True,1.278362,1.2784,none,,,False,,5,0,,,
5,3,True,0.824819,0.8248,none,,,False,,5,0,,,
5,15,True,0.978254,0.9783,none,,,False,,5,0,,,
5,8,True,0.962441,0.9624,none,,,False,,5,0,,,
6,1,True,0.67142,0.6714,none,,,False,,6,0,,,
6,18,True,0.430887,0.4309,none,,,False,,6,0,,,
6,9,True,0.805503,0.8055,none,,,False,,6,0,,,
6,4,True,0.777519,0.7775,none,,,False,,6,0,,,
6,11,True,0.812032,0.812,none,,,False,,6,0,,,
7,4,True,0.616478,0.6165,none,,,False,,7,0,,,
7,6,True,0.99796,0.998,none,,,False,,7,0,,,
7,15,True,0.611034,0.611,none,,,False,,7,0,,,
7,12,True,0.653275,0.6533,none,,,False,,7,0,,,
7,18,True,0.412314,0.4123,none,,,False,,7,0,,,
8,11,True,1.723643,1.7236,none,,,False,,8,0,,,
8,13,True,1.208499,1.2085,none,,,False,,8,0,,,
8,2,True,1.894443,1.8944,none,,,False,,8,0,,,
8,6,True,0.400537,0.4005,none,,,False,,8,0,,,
8,9,True,1.864392,1.8644,none,,,False,,8,0,,,
9,16,True,1.831797,1.8318,none,,,False,,9,0,,,
9,12,True,1.04968,1.0497,none,,,False,,9,0,,,
9,7,True,0.666606,0.6666,none,,,False,,9,0,,,
9,19,True,0.409647,0.4096,none,,,False,,9,0,,,
9,9,True,0.566919,0.5669,none,,,False,,9,0,,,
10,12,True,0.528049,0.528,none,,,False,,10,0,,,
10,5,True,0.562503,0.5625,none,,,False,,10,0,,,
10,15,True,0.720224,0.7202,none,,,False,,10,0,,,
10,11,True,1.013475,1.0135,none,,,False,,10,0,,,
10,14,True,0.632881,0.6329,none,,,False,,10,0,,,
11,14,True,0.713373,0.7134,none,,,False,,11,0,,,
11,18,True,0.407144,0.4071,none,,,False,,11,0,,,
11,10,True,0.575133,0.5751,none,,,False,,11,0,,,
11,16,True,1.248149,1.2481,none,,,False,,11,0,,,
11,3,True,0.66431,0.6643,none,,,False,,11,0,,,
12,13,True,0.832633,0.8326,none,,,False,,12,0,,,
12,6,True,0.892818,0.8928,none,,,False,,12,0,,,
12,4,True,1.154772,1.1548,none,,,False,,12,0,,,
12,2,True,0.477791,0.4778,none,,,False,,12,0,,,
12,8,True,0.696941,0.6969,none,,,False,,12,0,,,
13,13,True,0.875698,0.8757,none,,,False,,13,0,,,
13,6,True,0.322092,0.3221,none,,,False,,13,0,,,
13,12,True,1.197017,1.197,none,,,False,,13,0,,,
13,15,True,0.591296,0.5913,none,,,False,,13,0,,,
13,4,True,0.281145,0.2811,none,,,False,,13,0,,,
14,4,True,0.363063,0.3631,none,,,False,,14,0,,,
14,3,True,1.140705,1.1407,none,,,False,,14,0,,,
14,5,True,0.525955,0.526,none,,,False,,14,0,,,
14,17,True,0.977341,0.9773,none,,,False,,14,0,,,
14,8,True,0.765132,0.7651,none,,,False,,14,0,,,
15,18,True,0.71402,0.714,none,,,False,,15,0,,,
15,10,True,1.047094,1.0471,none,,,False,,15,0,,,
15,3,True,0.210476,0.2105,none,,,False,,15,0,,,
15,19,True,0.495066,0.4951,none,,,False,,15,0,,,
15,11,True,0.721206,0.7212,none,,,False,,15,0,,,
