round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,0.1115,2.3243735214233396,5,20,1.0,0,0.06,1995.97
2,0.1455,2.302148550415039,5,20,1.0,0,0.08,1995.97
3,0.1013,2.4280407512664794,5,20,1.0,0,0.11,1995.97
4,0.1656,2.2061112075805664,5,20,1.0,0,0.08,1995.97
5,0.1728,2.167318706512451,5,20,1.0,0,0.08,1995.97
6,0.2221,2.094015718460083,5,20,1.0,0,0.08,1995.97
7,0.2532,2.063472208404541,5,20,1.0,0,0.07,1995.97
8,0.2482,1.9776642318725586,5,20,1.0,0,0.11,1995.97
9,0.1385,2.2830546379089354,5,20,1.0,0,0.11,1995.97
10,0.3006,1.8340935852050781,5,20,1.0,0,0.07,1995.97
11,0.2371,2.138290922164917,5,20,1.0,0,0.07,1995.97
12,0.3393,1.7926095232009889,5,20,1.0,0,0.07,1995.97
13,0.3095,1.8442800569534301,5,20,1.0,0,0.09,1995.97
14,0.1885,2.1759205009460447,5,20,1.0,0,0.07,1995.97
15,0.3462,1.76183246383667,5,20,1.0,0,0.1,1995.97
