round,client_id,selected,utility,normalized_utility,detector,cusum_pos,cusum_neg,change_detected,change_direction,last_seen,age,explore_score,exploit_score,final_score
1,0,True,0.899509,0.8995,none,,,False,,1,0,,0.0,
1,1,True,0.680191,0.6802,none,,,False,,1,0,,0.0,
1,2,True,0.473645,0.4736,none,,,False,,1,0,,0.0,
1,3,True,0.541172,0.5412,none,,,False,,1,0,,0.0,
1,4,True,0.463045,0.463,none,,,False,,1,0,,0.0,
2,0,True,1.157684,1.1577,none,,,False,,2,0,,0.8995088978279124,
2,1,True,0.622422,0.6224,none,,,False,,2,0,,0.6801905495020373,
2,3,True,0.539991,0.54,none,,,False,,2,0,,0.5411718960925553,
2,2,True,0.405612,0.4056,none,,,False,,2,0,,0.47364546105831495,
2,4,True,0.434351,0.4344,none,,,False,,2,0,,0.46304471095403055,
3,0,True,1.253491,1.2535,none,,,False,,3,0,,1.1576839153837848,
3,1,True,0.65626,0.6563,none,,,False,,3,0,,0.6224220594860881,
3,3,True,0.629144,0.6291,none,,,False,,3,0,,0.5399907088349016,
3,4,True,0.445235,0.4452,none,,,False,,3,0,,0.4343505561351775,
3,2,True,0.488824,0.4888,none,,,False,,3,0,,0.4056121068664742,
4,0,True,1.28825,1.2883,none,,,False,,4,0,,1.2534907916337439,
4,1,True,0.491417,0.4914,none,,,False,,4,0,,0.6562596586515317,
4,3,True,0.393465,0.3935,none,,,False,,4,0,,0.6291439122810425,
4,2,True,0.405857,0.4059,none,,,False,,4,0,,0.48882377479649786,
4,4,True,0.168384,0.1684,none,,,False,,4,0,,0.44523515899976096,
5,0,True,1.107125,1.1071,none,,,False,,5,0,,1.2882501428800315,
5,1,True,0.661288,0.6613,none,,,False,,5,0,,0.491417295241642,
5,2,True,0.437008,0.437,none,,,False,,5,0,,0.4058571501623227,
5,3,True,0.511264,0.5113,none,,,False,,5,0,,0.3934651039709003,
5,4,True,0.302936,0.3029,none,,,False,,5,0,,0.16838411887486782,
6,0,True,1.166203,1.1662,none,,,False,,6,0,,1.1071252369509557,
6,1,True,0.611882,0.6119,none,,,False,,6,0,,0.6612878388851422,
6,3,True,0.431316,0.4313,none,,,False,,6,0,,0.5112636501746983,
6,2,True,0.408986,0.409,none,,,False,,6,0,,0.43700826832010775,
6,4,True,0.348759,0.3488,none,,,False,,6,0,,0.3029355863730112,
7,0,True,1.12048,1.1205,none,,,False,,7,0,,1.1662034093706757,
7,1,True,0.453347,0.4533,none,,,False,,7,0,,0.6118822631050751,
7,3,True,0.326463,0.3265,none,,,False,,7,0,,0.4313163880717692,
7,2,True,0.401477,0.4015,none,,,False,,7,0,,0.408986494209193,
7,4,True,0.384109,0.3841,none,,,False,,7,0,,0.34875903129577623,
8,0,True,1.055689,1.0557,none,,,False,,8,0,,1.120480328334396,
8,1,True,0.615871,0.6159,none,,,False,,8,0,,0.45334712847632774,
8,2,True,0.47429,0.4743,none,,,False,,8,0,,0.40147704851778254,
8,4,True,0.269322,0.2693,none,,,False,,8,0,,0.3841087371110916,
8,3,True,0.438349,0.4383,none,,,False,,8,0,,0.3264627225069079,
9,0,True,0.945011,0.945,none,,,False,,9,0,,1.0556885450388838,
9,1,True,0.712694,0.7127,none,,,False,,9,0,,0.6158710701387906,
9,2,True,0.424268,0.4243,none,,,False,,9,0,,0.4742902948886534,
9,3,True,0.332241,0.3322,none,,,False,,9,0,,0.4383491748615369,
9,4,True,0.340857,0.3409,none,,,False,,9,0,,0.2693216105302174,
10,0,True,0.970091,0.9701,none,,,False,,10,0,,0.9450114522102655,
10,1,True,0.742894,0.7429,none,,,False,,10,0,,0.7126942561789198,
10,2,True,0.322148,0.3221,none,,,False,,10,0,,0.4242681116997442,
10,4,True,0.231902,0.2319,none,,,False,,10,0,,0.34085695743560795,
10,3,True,0.426495,0.4265,none,,,False,,10,0,,0.3322411988529348,
11,0,True,1.100015,1.1,none,,,False,,11,0,,0.9700909587681972,
11,1,True,0.810871,0.8109,none,,,False,,11,0,,0.742893555407663,
11,3,True,0.365205,0.3652,none,,,False,,11,0,,0.42649523481117013,
11,2,True,0.287185,0.2872,none,,,False,,11,0,,0.3221475483495977,
11,4,True,0.371001,0.371,none,,,False,,11,0,,0.23190234899520878,
12,0,True,1.032798,1.0328,none,,,False,,12,0,,1.1000146105051742,
12,1,True,0.667829,0.6678,none,,,False,,12,0,,0.8108710587535879,
12,4,True,0.38172,0.3817,none,,,False,,12,0,,0.37100059191385903,
12,3,True,0.279254,0.2793,none,,,False,,12,0,,0.3652048685554421,
12,2,True,0.302724,0.3027,none,,,False,,12,0,,0.2871854937529261,
13,0,True,0.92981,0.9298,none,,,False,,13,0,,1.0327976259505194,
13,1,True,0.861923,0.8619,none,,,False,,13,0,,0.6678290616586726,
13,4,True,0.311317,0.3113,none,,,False,,13,0,,0.3817201981941858,
13,2,True,0.320851,0.3209,none,,,False,,13,0,,0.30272449209720276,
13,3,True,0.356616,0.3566,none,,,False,,13,0,,0.27925362300211876,
14,0,True,1.051214,1.0512,none,,,False,,14,0,,0.9298103698472491,
14,1,True,0.696874,0.6969,none,,,False,,14,0,,0.8619233644233562,
14,3,True,0.244348,0.2443,none,,,False,,14,0,,0.35661613648033186,
14,2,True,0.249243,0.2492,none,,,False,,14,0,,0.32085147326505625,
14,4,True,0.330047,0.33,none,,,False,,14,0,,0.31131740311781564,
15,0,True,0.900327,0.9003,none,,,False,,15,0,,1.051213757526388,
15,1,True,0.836374,0.8364,none,,,False,,15,0,,0.6968743529573314,
15,4,True,0.326627,0.3266,none,,,False,,15,0,,0.33004736502965293,
15,2,True,0.351435,0.3514,none,,,False,,15,0,,0.24924308800999118,
15,3,True,0.370711,0.3707,none,,,False,,15,0,,0.24434841915768546,
