round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,0.1,2.337855537033081,5,20,0.0,0,0.03,1995.97
2,0.1,2.331191342163086,5,20,0.0,0,0.03,1995.97
3,0.1131,2.2416641288757324,5,20,0.0,0,0.03,1995.97
4,0.1613,2.195211992645264,5,20,0.0,0,0.04,1995.97
5,0.2065,2.146641604614258,5,20,0.0,0,0.03,1995.97
6,0.2164,2.0748170387268066,5,20,0.0,0,0.05,1995.97
7,0.2134,2.0495755306243897,5,20,0.0,0,0.04,1995.97
8,0.2479,1.9923427764892578,5,20,0.0,0,0.05,1995.97
9,0.2508,1.9333425514221192,5,20,0.0,0,0.04,1995.97
10,0.3009,1.9030365697860718,5,20,0.0,0,0.04,1995.97
11,0.3269,1.8487059886932373,5,20,0.0,0,0.05,1995.97
12,0.3086,1.8304599117279052,5,20,0.0,0,0.04,1995.97
13,0.3645,1.7513467864990235,5,20,0.0,0,0.04,1995.97
14,0.3591,1.7116974323272705,5,20,0.0,0,0.04,1995.97
15,0.3688,1.7031398689270019,5,20,0.0,0,0.04,1995.97
