round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,0.1143,2.3424473197937012,5,20,1.0,0,0.36,1045.25
2,0.1,2.3877360385894777,5,20,1.0,0,0.12,1054.79
3,0.1,2.328782663345337,5,20,1.0,0,0.08,1022.17
4,0.1,2.3567556182861327,5,20,1.0,0,0.16,1058.37
5,0.1576,2.389041230773926,5,20,1.0,0,0.11,1061.2
6,0.2018,2.2548630920410155,5,20,0.2874,0,0.65,1058.97
7,0.1841,2.2449830173492433,5,20,0.3082,2,0.62,1060.34
8,0.2046,2.1698227157592775,5,20,0.2798,0,0.41,1061.9
9,0.1551,2.263084501647949,5,20,0.2513,0,0.77,1059.33
10,0.2171,2.1609651782989503,5,20,0.2463,0,0.84,1044.96
11,0.2421,1.96494554977417,5,20,0.2426,0,0.69,1044.51
12,0.2323,1.9965385000228881,5,20,0.2393,0,0.82,1042.83
13,0.2812,1.86206251373291,5,20,0.2355,0,0.73,1023.21
14,0.3262,1.8504562320709228,5,20,0.2574,1,0.8,1056.2
15,0.3245,1.8579193056106567,5,20,0.2793,1,0.64,1061.75
