round,client_id,selected,utility,normalized_utility,detector,cusum_pos,cusum_neg,change_detected,change_direction,last_seen,age,explore_score,exploit_score,final_score
1,0,True,0.330344,-0.8112,none,,,False,,1,0,,,0.0
1,1,True,1.006633,1.5638,none,,,False,,1,0,,,0.0
1,2,True,0.561334,0.0,none,,,False,,1,0,,,0.0
1,3,True,0.753396,0.6745,none,,,False,,1,0,,,0.0
1,5,True,0.559959,-0.0048,none,,,False,,1,0,,,0.0
2,1,True,1.216551,2.2383,none,,,False,,2,0,,,1.006632890498242
2,3,True,0.714346,0.3101,none,,,False,,2,0,,,0.7533964342046009
2,2,True,0.457911,-0.6745,none,,,False,,2,0,,,0.5613335683051937
2,5,True,0.39174,-0.9286,none,,,False,,2,0,,,0.559958704271647
2,16,True,0.633584,0.0,none,,,False,,2,0,,,0.0
3,1,True,1.110594,2.3529,none,,,False,,3,0,,,1.1115919795335314
3,3,True,0.617445,0.0,none,,,False,,3,0,,,0.7338712736014705
3,16,True,0.47608,-0.6745,none,,,False,,3,0,,,0.6335842609405518
3,2,True,0.487337,-0.6208,none,,,False,,3,0,,,0.5096223433105584
3,13,True,0.78224,0.7863,none,,,False,,3,0,,,0.0
4,1,True,0.802819,1.5723,none,,,False,,4,0,,,1.1112592316253975
4,13,True,0.433702,-0.5819,none,,,False,,4,0,,,0.7822401704690412
4,3,True,0.800076,1.5563,none,,,False,,4,0,,,0.6950624091400367
4,16,True,0.533411,0.0,none,,,False,,4,0,,,0.5548319435119629
4,9,True,0.417842,-0.6745,none,,,False,,4,0,,,0.0
5,1,True,0.612489,0.0,none,,,False,,5,0,,,1.034149273609412
5,3,True,0.667888,0.6288,none,,,False,,5,0,,,0.7213158090689877
5,13,True,0.706843,1.0709,none,,,False,,5,0,,,0.6079709902717003
5,16,True,0.431452,-2.0548,none,,,False,,5,0,,,0.547691642443339
5,8,True,0.553063,-0.6745,none,,,False,,5,0,,,0.0
6,1,True,1.065811,1.1029,none,,,False,,6,0,,,0.949817318530299
6,3,True,0.411894,-0.3704,none,,,False,,6,0,,,0.7106302429481189
6,13,True,0.576304,0.0,none,,,False,,6,0,,,0.6409284930573881
6,8,True,0.276933,-0.6745,none,,,False,,6,0,,,0.5530634393664691
6,17,True,1.108399,1.1988,none,,,False,,6,0,,,0.0
7,17,True,0.906504,0.0,none,,,False,,7,0,,,1.108398711431397
7,1,True,0.924697,0.1387,none,,,False,,7,0,,,0.9616528733121384
7,3,True,0.696253,-1.6034,none,,,False,,7,0,,,0.6423297001329032
7,13,True,0.477244,-3.0,none,,,False,,7,0,,,0.624772399912938
7,2,True,0.994949,0.6745,none,,,False,,7,0,,,0.5021938573804158
8,17,True,0.82803,0.0,none,,,False,,8,0,,,1.007451318910134
8,1,True,1.207227,1.8455,none,,,False,,8,0,,,0.9032821077300837
8,3,True,0.845888,0.0869,none,,,False,,8,0,,,0.6387109874362347
8,2,True,0.395862,-2.1033,none,,,False,,8,0,,,0.6253826958251575
8,14,True,0.68944,-0.6745,none,,,False,,8,0,,,0.0
9,17,True,0.546797,-0.6745,none,,,False,,9,0,,,0.9476443764731867
9,1,True,1.27508,1.1198,none,,,False,,9,0,,,0.9226088231838248
9,14,True,0.340084,-1.1838,none,,,False,,9,0,,,0.6894395845828154
9,3,True,0.884439,0.1574,none,,,False,,9,0,,,0.684399657930068
9,5,True,0.820563,0.0,none,,,False,,9,0,,,0.4758493047298189
10,1,True,1.351031,3.0,none,,,False,,10,0,,,1.0170609456833468
10,17,True,0.630896,0.0,none,,,False,,10,0,,,0.8474325203024988
10,3,True,0.567386,-0.6745,none,,,False,,10,0,,,0.7012722188978755
10,13,True,0.713287,0.875,none,,,False,,10,0,,,0.595266738962955
10,2,True,0.622979,-0.0841,none,,,False,,10,0,,,0.5794786225734551
11,1,True,1.074572,0.0,none,,,False,,11,0,,,1.1647692971213934
11,17,True,0.61059,-1.5114,none,,,False,,11,0,,,0.8041252143557143
11,3,True,1.174314,0.3249,none,,,False,,11,0,,,0.6811717526732407
11,2,True,0.456801,-2.0124,none,,,False,,11,0,,,0.5918077535823156
11,11,True,1.281625,0.6745,none,,,False,,11,0,,,0.0
12,11,True,0.82118,0.0,none,,,False,,12,0,,,1.2816254911622453
12,1,True,0.970772,0.6745,none,,,False,,12,0,,,1.1665214724500546
12,3,True,0.469871,-1.584,none,,,False,,12,0,,,0.8336558733436144
12,17,True,0.987896,0.7517,none,,,False,,12,0,,,0.7045635117625982
12,19,True,0.698836,-0.5516,none,,,False,,12,0,,,0.0
13,1,True,0.72656,-0.6745,none,,,False,,13,0,,,1.1757363717467864
13,11,True,0.921525,0.0,none,,,False,,13,0,,,1.0514025600792851
13,3,True,0.526552,-1.3664,none,,,False,,13,0,,,0.7883795851656412
13,17,True,1.062887,0.489,none,,,False,,13,0,,,0.720841837903338
13,14,True,1.168461,0.8543,none,,,False,,13,0,,,0.5147619993041506
14,1,True,1.219584,3.0,none,,,False,,14,0,,,1.0796029587800557
14,11,True,0.846811,1.6832,none,,,False,,14,0,,,1.0081100194450032
14,17,True,0.510409,0.0,none,,,False,,14,0,,,0.76781308122588
14,14,True,0.375609,-0.6745,none,,,False,,14,0,,,0.7326615290015441
14,15,True,0.499692,-0.0536,none,,,False,,14,0,,,0.0
15,1,True,0.886192,0.6745,none,,,False,,15,0,,,1.068503755646216
15,11,True,0.304463,-1.3448,none,,,False,,15,0,,,0.9677851897571723
15,17,True,0.691877,0.0,none,,,False,,15,0,,,0.7605354468113947
15,3,True,1.074016,1.3264,none,,,False,,15,0,,,0.7245123599683622
15,14,True,0.609063,-0.2875,none,,,False,,15,0,,,0.6433983377249669
