round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,0.1,2.341828638458252,5,20,0.15,0,0.2,1023.38
2,0.1,2.342191130065918,5,20,0.15,0,0.21,1057.31
3,0.1,2.386390142440796,5,20,0.15,0,0.37,1036.08
4,0.1,2.4365263145446776,5,20,0.15,0,0.22,1035.81
5,0.1,2.4897062911987304,5,20,0.15,0,0.36,1045.52
6,0.1183,2.4443133937835695,5,20,0.15,0,2.24,1060.3
7,0.1,2.3149892868041992,5,20,0.15,0,0.29,1056.08
8,0.1339,2.1921080390930174,5,20,0.15,0,1.7,1044.81
9,0.2359,2.0780960626602174,5,20,0.15,0,0.38,1061.3
10,0.1291,2.273623443222046,5,20,0.15,0,0.33,1043.93
11,0.2309,2.035592304992676,5,20,0.15,0,0.31,1028.32
12,0.2412,2.149645443344116,5,20,0.15,0,0.42,1041.79
13,0.2717,1.9489024227142333,5,20,0.15,0,0.63,1043.6
14,0.2342,1.9870117500305176,5,20,0.15,0,0.41,1033.84
15,0.3423,1.7871440322875976,5,20,0.15,0,0.38,1037.71
