round,client_id,selected,utility,normalized_utility,detector,cusum_pos,cusum_neg,change_detected,change_direction,last_seen,age,explore_score,exploit_score,final_score
1,13,True,0.735478,-0.9428,none,,,False,,1,0,,,
1,8,True,0.526848,-2.072,none,,,False,,1,0,,,
1,11,True,0.909665,0.0,none,,,False,,1,0,,,
1,1,True,0.981567,0.3892,none,,,False,,1,0,,,
1,19,True,1.034285,0.6745,none,,,False,,1,0,,,
2,17,True,1.024917,0.7916,none,,,False,,2,0,,,
2,1,True,0.902876,0.3045,none,,,False,,2,0,,,
2,8,True,0.399686,-1.7042,none,,,False,,2,0,,,
2,15,True,0.826601,0.0,none,,,False,,2,0,,,
2,13,True,0.657634,-0.6745,none,,,False,,2,0,,,
3,9,True,0.441661,-0.6745,none,,,False,,3,0,,,
3,13,True,0.408732,-0.7946,none,,,False,,3,0,,,
3,7,True,0.626498,0.0,none,,,False,,3,0,,,
3,18,True,0.671035,0.1625,none,,,False,,3,0,,,
3,3,True,1.000559,1.365,none,,,False,,3,0,,,
4,9,True,0.315685,-0.6745,none,,,False,,4,0,,,
4,4,True,0.870321,1.4922,none,,,False,,4,0,,,
4,8,True,0.488345,0.0,none,,,False,,4,0,,,
4,7,True,0.477478,-0.0424,none,,,False,,4,0,,,
4,13,True,0.661623,0.6769,none,,,False,,4,0,,,
5,3,True,0.819987,0.0,none,,,False,,5,0,,,
5,13,True,0.726282,-0.4971,none,,,False,,5,0,,,
5,14,True,0.947125,0.6745,none,,,False,,5,0,,,
5,4,True,0.948688,0.6828,none,,,False,,5,0,,,
5,12,True,0.680532,-0.7398,none,,,False,,5,0,,,
6,16,True,0.768412,-0.6745,none,,,False,,6,0,,,
6,19,True,1.239329,1.2771,none,,,False,,6,0,,,
6,7,True,0.93117,0.0,none,,,False,,6,0,,,
6,15,True,1.054274,0.5102,none,,,False,,6,0,,,
6,12,True,0.706072,-0.9328,none,,,False,,6,0,,,
7,0,True,0.417861,-0.3415,none,,,False,,7,0,,,
7,7,True,0.446124,0.0,none,,,False,,7,0,,,
7,9,True,0.390299,-0.6745,none,,,False,,7,0,,,
7,14,True,0.884669,3.0,none,,,False,,7,0,,,
7,2,True,0.659066,2.5728,none,,,False,,7,0,,,
8,17,True,0.553944,0.0,none,,,False,,8,0,,,
8,7,True,0.485559,-0.2243,none,,,False,,8,0,,,
8,5,True,0.762069,0.6827,none,,,False,,8,0,,,
8,6,True,1.141849,1.9283,none,,,False,,8,0,,,
8,15,True,0.348308,-0.6745,none,,,False,,8,0,,,
9,7,True,0.486026,-0.7283,none,,,False,,9,0,,,
9,6,True,0.742043,0.6745,none,,,False,,9,0,,,
9,9,True,0.538742,-0.4394,none,,,False,,9,0,,,
9,12,True,0.837616,1.1982,none,,,False,,9,0,,,
9,2,True,0.618943,0.0,none,,,False,,9,0,,,
10,19,True,1.789037,0.6745,none,,,False,,10,0,,,
10,11,True,1.735933,0.6078,none,,,False,,10,0,,,
10,14,True,1.25178,0.0,none,,,False,,10,0,,,
10,2,True,0.52667,-0.9103,none,,,False,,10,0,,,
10,6,True,0.534808,-0.9001,none,,,False,,10,0,,,
11,7,True,0.609464,-0.9712,none,,,False,,11,0,,,
11,17,True,0.698817,-0.294,none,,,False,,11,0,,,
11,15,True,0.737612,0.0,none,,,False,,11,0,,,
11,6,True,0.826606,0.6745,none,,,False,,11,0,,,
11,13,True,1.134193,3.0,none,,,False,,11,0,,,
12,2,True,0.560082,0.0,none,,,False,,12,0,,,
12,14,True,0.725117,0.6575,none,,,False,,12,0,,,
12,3,True,0.920078,1.4343,none,,,False,,12,0,,,
12,0,True,0.226299,-1.3298,none,,,False,,12,0,,,
12,15,True,0.390786,-0.6745,none,,,False,,12,0,,,
13,14,True,0.304955,-2.3174,none,,,False,,13,0,,,
13,7,True,0.800491,-0.8193,none,,,False,,13,0,,,
13,11,True,1.271288,0.604,none,,,False,,13,0,,,
13,19,True,1.294617,0.6745,none,,,False,,13,0,,,
13,4,True,1.071508,0.0,none,,,False,,13,0,,,
14,2,True,0.451802,-0.6745,none,,,False,,14,0,,,
14,13,True,1.166491,1.1085,none,,,False,,14,0,,,
14,17,True,0.792532,0.1755,none,,,False,,14,0,,,
14,4,True,0.722167,0.0,none,,,False,,14,0,,,
14,8,True,0.437102,-0.7112,none,,,False,,14,0,,,
15,12,True,0.986829,0.0,none,,,False,,15,0,,,
15,11,True,1.050361,0.1767,none,,,False,,15,0,,,
15,13,True,0.477829,-1.4156,none,,,False,,15,0,,,
15,1,True,1.439821,1.2598,none,,,False,,15,0,,,
15,10,True,0.744303,-0.6745,none,,,False,,15,0,,,
