round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,0.1143,2.3424473197937012,5,20,1.0,0,0.12,1020.99
2,0.1,2.3877360385894777,5,20,1.0,0,0.11,1023.48
3,0.1,2.328782663345337,5,20,1.0,0,0.14,1046.51
4,0.1,2.3567556182861327,5,20,1.0,0,0.12,1064.06
5,0.1576,2.389041230773926,5,20,1.0,0,0.09,1041.04
6,0.1742,2.185514780807495,5,20,1.0,0,0.06,1044.2
7,0.2175,2.128365509223938,5,20,1.0,0,0.11,1067.71
8,0.1746,2.227129626083374,5,20,1.0,0,0.09,1036.87
9,0.1876,2.2304151790618896,5,20,1.0,0,0.08,1057.38
10,0.2527,2.055635369873047,5,20,1.0,0,0.11,1051.84
11,0.2712,1.9117463314056395,5,20,1.0,0,0.08,1065.93
12,0.304,1.8705241365432739,5,20,1.0,0,0.67,1065.51
13,0.3174,1.9410033500671386,5,20,1.0,0,0.11,1064.7
14,0.31,1.8635625787734986,5,20,1.0,0,0.1,1048.09
15,0.238,1.9562340826034545,5,20,1.0,0,0.11,1048.45
