round,client_id,selected,utility,normalized_utility,detector,cusum_pos,cusum_neg,change_detected,change_direction,last_seen,age,explore_score,exploit_score,final_score
1,0,True,0.330344,-1.2856,none,,,False,,1,0,,0.0,
1,1,True,1.006633,0.7696,none,,,False,,1,0,,0.0,
1,2,True,0.561334,-0.5837,none,,,False,,1,0,,0.0,
1,3,True,0.753396,0.0,none,,,False,,1,0,,0.0,
1,4,True,0.975346,0.6745,none,,,False,,1,0,,0.0,
2,1,True,0.935276,0.5656,none,,,False,,2,0,,1.006632890498242,
2,4,True,1.036254,0.8481,none,,,False,,2,0,,0.9753461162620614,
2,3,True,0.733154,0.0,none,,,False,,2,0,,0.7533964342046009,
2,2,True,0.492101,-0.6745,none,,,False,,2,0,,0.5613335683051937,
2,0,True,0.441846,-0.8151,none,,,False,,2,0,,0.33034444846116107,
3,4,True,1.046675,0.8572,none,,,False,,3,0,,1.036253649295136,
3,1,True,0.894022,0.4229,none,,,False,,3,0,,0.9352759522258205,
3,3,True,0.745413,0.0,none,,,False,,3,0,,0.7331536442117359,
3,2,True,0.508374,-0.6745,none,,,False,,3,0,,0.4921009392114275,
3,0,True,0.4099,-0.9547,none,,,False,,3,0,,0.4418461363036912,
4,4,True,1.055013,0.9934,none,,,False,,4,0,,1.0466749100940351,
4,1,True,0.887156,0.4863,none,,,False,,4,0,,0.8940223339399447,
4,3,True,0.726156,0.0,none,,,False,,4,0,,0.7454127818725833,
4,2,True,0.502861,-0.6745,none,,,False,,4,0,,0.5083736567515431,
4,0,True,0.438758,-0.8681,none,,,False,,4,0,,0.4098995837298307,
5,4,True,1.111179,0.7115,none,,,False,,5,0,,1.0550128920359843,
5,1,True,0.871301,0.2164,none,,,False,,5,0,,0.8871561077414241,
5,3,True,0.766447,0.0,none,,,False,,5,0,,0.7261564871367499,
5,2,True,0.439637,-0.6745,none,,,False,,5,0,,0.5028611233758504,
5,0,True,0.434433,-0.6852,none,,,False,,5,0,,0.43875751185726797,
6,4,True,1.01606,0.7483,none,,,False,,6,0,,1.1111786714933034,
6,1,True,0.872303,0.3451,none,,,False,,6,0,,0.8713005775595357,
6,3,True,0.749242,0.0,none,,,False,,6,0,,0.7664468433255347,
6,2,True,0.508746,-0.6745,none,,,False,,6,0,,0.4396367429020749,
6,0,True,0.43939,-0.869,none,,,False,,6,0,,0.43443287750343207,
7,4,True,1.184509,0.6745,none,,,False,,7,0,,1.0160597526328283,
7,1,True,0.895485,0.0626,none,,,False,,7,0,,0.8723025126718282,
7,3,True,0.865925,0.0,none,,,False,,7,0,,0.7492418399582297,
7,2,True,0.346936,-1.0988,none,,,False,,7,0,,0.5087463574003537,
7,0,True,0.367853,-1.0545,none,,,False,,7,0,,0.4393899044433196,
8,4,True,0.691575,0.6745,none,,,False,,8,0,,1.1845094269377352,
8,1,True,0.884721,3.0,none,,,False,,8,0,,0.8954846619667156,
8,3,True,0.640424,-0.0567,none,,,False,,8,0,,0.8659250930698625,
8,0,True,0.563412,-1.1576,none,,,False,,8,0,,0.36785283584099293,
8,2,True,0.644391,0.0,none,,,False,,8,0,,0.34693647294365637,
9,1,True,1.17145,0.0,none,,,False,,9,0,,0.8847213492083337,
9,4,True,1.826734,0.6745,none,,,False,,9,0,,0.6915751680440587,
9,2,True,0.262967,-0.9351,none,,,False,,9,0,,0.6443913866028548,
9,3,True,1.396762,0.2319,none,,,False,,9,0,,0.6404242027383187,
9,0,True,0.255062,-0.9432,none,,,False,,9,0,,0.5634119523036014,
10,4,True,0.457312,-1.1527,none,,,False,,10,0,,1.8267336869098012,
10,3,True,0.591153,-0.8296,none,,,False,,10,0,,1.3967618694119062,
10,1,True,1.214231,0.6745,none,,,False,,10,0,,1.1714496610875325,
10,2,True,0.966494,0.0765,none,,,False,,10,0,,0.2629669168549844,
10,0,True,0.934825,0.0,none,,,False,,10,0,,0.25506179549477315,
11,1,True,1.105613,0.0,none,,,False,,11,0,,1.2142306206992817,
11,2,True,0.299285,-0.8144,none,,,False,,11,0,,0.966494475568265,
11,0,True,0.437773,-0.6745,none,,,False,,11,0,,0.9348251596673745,
11,3,True,1.65115,0.551,none,,,False,,11,0,,0.5911533829511579,
11,4,True,2.002137,0.9055,none,,,False,,11,0,,0.457311648175994,
12,4,True,0.376208,-1.3616,none,,,False,,12,0,,2.0021374125853373,
12,3,True,0.535812,-0.6745,none,,,False,,12,0,,1.6511504976245033,
12,1,True,1.132449,1.894,none,,,False,,12,0,,1.1056128757603547,
12,0,True,0.692489,0.0,none,,,False,,12,0,,0.4377728174259137,
12,2,True,0.77652,0.3618,none,,,False,,12,0,,0.29928464628992724,
13,1,True,0.863761,0.0,none,,,False,,13,0,,1.1324485735632184,
13,2,True,0.393032,-1.727,none,,,False,,13,0,,0.7765195313675433,
13,0,True,0.395124,-1.7194,none,,,False,,13,0,,0.6924890295251622,
13,3,True,1.047602,0.6745,none,,,False,,13,0,,0.5358123443039575,
13,4,True,1.001262,0.5045,none,,,False,,13,0,,0.3762080680544131,
14,3,True,0.547071,0.0,none,,,False,,14,0,,1.0476021835534575,
14,4,True,0.573317,0.6745,none,,,False,,14,0,,1.0012617154757453,
14,1,True,1.019947,3.0,none,,,False,,14,0,,0.8637611749967683,
14,0,True,0.536927,-0.2607,none,,,False,,14,0,,0.3951235062116152,
14,2,True,0.485755,-1.5757,none,,,False,,14,0,,0.39303241690959223,
15,1,True,0.777899,1.0995,none,,,False,,15,0,,1.0199468763955686,
15,4,True,0.588291,0.0,none,,,False,,15,0,,0.5733170737730009,
15,3,True,0.625115,0.2135,none,,,False,,15,0,,0.547071004075931,
