round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,0.1,2.32450265083313,5,20,0.0,0,0.07,1061.74
2,0.1001,2.3244643466949464,5,20,0.0,0,0.06,1060.98
3,0.1,2.3266407852172852,5,20,0.0,0,0.05,1050.05
4,0.1,2.3241551559448244,5,20,0.0,0,0.06,1037.8
5,0.101,2.307501282501221,5,20,0.0,0,0.03,1028.02
6,0.1441,2.301516828918457,5,20,0.0,0,0.08,1027.05
7,0.1514,2.253959550476074,5,20,0.0,0,0.06,1027.09
8,0.1115,2.4670905628204345,5,20,0.0,0,0.04,1056.69
9,0.1239,2.3554714645385744,5,20,0.0,0,0.06,1053.59
10,0.1242,2.4884124752044676,5,20,0.0,0,0.06,1022.65
11,0.182,2.166651683807373,5,20,0.0,0,0.04,1043.04
12,0.2091,2.0801016746520995,5,20,0.0,0,0.04,1038.42
13,0.2703,1.9452930854797363,5,20,0.0,0,0.08,1042.8
14,0.2818,1.8830199924468993,5,20,0.0,0,0.04,1023.7
15,0.3088,1.8249168397903441,5,20,0.0,0,0.04,1041.71
