round,client_id,selected,utility,normalized_utility,detector,cusum_pos,cusum_neg,change_detected,change_direction,last_seen,age,explore_score,exploit_score,final_score
1,20,True,1.282228,0.0,none,,,False,,1,0,,,
1,12,True,0.719318,-1.0427,none,,,False,,1,0,,,
1,18,True,1.69698,0.7682,none,,,False,,1,0,,,
1,2,True,0.918091,-0.6745,none,,,False,,1,0,,,
1,29,True,1.396678,0.212,none,,,False,,1,0,,,
2,27,True,1.29977,-0.0529,none,,,False,,2,0,,,
2,2,True,0.618934,-1.3783,none,,,False,,2,0,,,
2,14,True,1.326946,0.0,none,,,False,,2,0,,,
2,22,True,3.053916,3.0,none,,,False,,2,0,,,
2,21,True,1.673425,0.6745,none,,,False,,2,0,,,
3,14,True,0.952294,-0.0194,none,,,False,,3,0,,,
3,21,True,0.964628,0.0,none,,,False,,3,0,,,
3,12,True,0.304969,-1.0351,none,,,False,,3,0,,,
3,10,True,1.39446,0.6745,none,,,False,,3,0,,,
3,5,True,3.135706,3.0,none,,,False,,3,0,,,
4,14,True,0.794874,-0.6745,none,,,False,,4,0,,,
4,6,True,1.623994,0.0,none,,,False,,4,0,,,
4,13,True,3.223966,1.3016,none,,,False,,4,0,,,
4,12,True,1.456193,-0.1365,none,,,False,,4,0,,,
4,21,True,2.674373,0.8545,none,,,False,,4,0,,,
5,4,True,1.769505,0.0,none,,,False,,5,0,,,
5,22,True,1.796512,0.0851,none,,,False,,5,0,,,
5,26,True,1.324871,-1.4008,none,,,False,,5,0,,,
5,7,True,2.382076,1.9299,none,,,False,,5,0,,,
5,18,True,1.555417,-0.6745,none,,,False,,5,0,,,
6,5,True,1.848028,0.1371,none,,,False,,6,0,0.4225,3.3536,
6,7,True,1.80878,0.0,none,,,False,,6,0,0.3058,2.2835,
6,22,True,1.244755,-1.9706,none,,,False,,6,0,0.2604,1.8312,
6,0,True,1.615725,-0.6745,none,,,False,,6,0,0.8,0.5,
6,1,True,2.888977,3.0,none,,,False,,6,0,0.8,0.5,
7,1,True,1.132013,-0.6711,cusum,,,True,positive,7,0,0.5118,4.3536,
7,5,True,1.130562,-0.6745,none,,,False,,7,0,0.2521,1.8572,
7,13,True,2.255366,1.938,none,,,False,,7,0,0.4118,1.6551,
7,3,True,1.420966,0.0,none,,,False,,7,0,0.8,0.5,
7,8,True,2.993905,3.0,none,,,False,,7,0,0.8,0.5,
8,8,True,2.429974,0.0,cusum,,,True,positive,8,0,0.5162,4.3536,
8,1,True,0.660795,-2.9224,none,,,False,,8,0,0.4458,2.4531,
8,13,True,2.592956,0.2692,none,,,False,,8,0,0.2458,1.9085,
8,9,True,1.033495,-2.3067,none,,,False,,8,0,0.8,0.5,
8,11,True,2.838305,0.6745,none,,,False,,8,0,0.8,0.5,
9,8,True,2.359232,0.0,none,,,False,,9,0,0.441,2.7887,
9,13,True,1.551334,-1.1845,none,,,False,,9,0,0.2139,1.4196,
9,7,True,4.390154,2.9776,none,,,False,,9,0,0.3187,1.2536,
9,15,True,1.916082,-0.6497,none,,,False,,9,0,0.8,0.5,
9,16,True,2.819282,0.6745,none,,,False,,9,0,0.8,0.5,
10,7,True,1.880792,0.0,cusum,,,True,positive,10,0,0.41,2.8858,
10,8,True,0.911761,-1.0878,none,,,False,,10,0,0.41,2.25,
10,5,True,2.481664,0.6745,none,,,False,,10,0,0.28,1.0709,
10,17,True,1.911794,0.0348,none,,,False,,10,0,0.8,0.5,
10,19,True,1.265845,-0.6903,none,,,False,,10,0,0.8,0.5,
11,7,True,1.714257,-3.0,none,,,False,,11,0,0.3883,2.2161,
11,16,True,2.715704,0.6745,none,,,False,,11,0,0.3566,1.028,
11,10,True,4.55642,3.0,none,,,False,,11,0,0.5475,1.028,
11,23,True,2.426288,-0.4796,none,,,False,,11,0,0.8,0.5,
11,24,True,2.546562,0.0,none,,,False,,11,0,0.8,0.5,
12,10,True,1.911135,0.6745,cusum,,,True,positive,12,0,0.4312,3.1259,
12,11,True,2.692013,1.7268,none,,,False,,12,0,0.4142,1.028,
12,16,True,0.675353,-0.9908,none,,,False,,12,0,0.2312,0.9632,
12,25,True,1.408259,-0.0032,none,,,False,,12,0,0.8,0.5,
12,28,True,1.410604,0.0,none,,,False,,12,0,0.8,0.5,
13,10,True,0.694608,-3.0,none,,,False,,13,0,0.4019,2.6997,
13,11,True,3.652507,0.6745,none,,,False,,13,0,0.2367,1.4893,
13,21,True,2.452603,-2.0712,none,,,False,,13,0,0.4173,0.7597,
13,20,True,3.384809,0.0619,none,,,False,,13,0,0.6244,0.3536,
13,29,True,3.357749,0.0,none,,,False,,13,0,0.6244,0.5655,
14,11,True,1.084577,-0.6745,none,,,False,,14,0,0.2,1.2752,
14,10,True,1.710187,0.6766,cusum,,,True,negative,14,0,0.3815,0.9484,
14,7,True,3.485536,3.0,none,,,False,,14,0,0.4179,0.6967,
14,27,True,1.39689,0.0,none,,,False,,14,0,0.6046,0.3006,
14,6,True,1.270562,-0.2728,none,,,False,,14,0,0.5546,0.3536,
15,11,True,1.223895,-0.6745,none,,,False,,15,0,0.1799,0.7992,
15,22,True,3.028475,3.0,none,,,False,,15,0,0.385,0.6215,
15,13,True,1.092649,-0.9465,none,,,False,,15,0,0.2965,0.5645,
15,4,True,1.813766,0.5479,none,,,False,,15,0,0.5408,0.3536,
15,26,True,1.549363,0.0,none,,,False,,15,0,0.5408,-1.0473,
16,22,True,1.192218,-0.4192,cusum,,,True,positive,16,0,0.3784,1.5951,
16,4,True,0.304098,-1.9738,none,,,False,,16,0,0.2489,0.5626,
16,29,True,1.431672,0.0,none,,,False,,16,0,0.2927,0.3947,
16,1,True,3.383571,3.0,none,,,False,,16,0,0.55,0.0522,
16,2,True,1.816987,0.6745,none,,,False,,16,0,0.5333,-0.7377,
17,22,True,1.632424,2.3326,none,,,False,,17,0,0.3635,1.4075,
17,17,True,1.416638,0.3174,none,,,False,,17,0,0.4563,0.3884,
17,16,True,1.382646,0.0,none,,,False,,17,0,0.2779,0.3694,
17,0,True,1.310422,-0.6745,none,,,False,,17,0,0.5387,-0.3209,
17,3,True,0.617406,-3.0,none,,,False,,17,0,0.5181,0.3536,
