round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,0.1,2.5867310123443605,5,30,1.0,0,0.14,2192.21
2,0.1,2.743382809448242,5,30,1.0,0,0.11,2198.77
3,0.1,2.915095571899414,5,30,1.0,0,0.11,2201.92
4,0.1,2.4034350200653076,5,30,1.0,0,0.1,2201.93
5,0.1,2.6361806003570556,5,30,1.0,0,0.1,2202.22
6,0.1,2.596719818496704,5,30,1.0,0,0.1,2215.12
7,0.1,2.7115249351501465,5,30,1.0,0,0.11,2221.28
8,0.1,3.1826700607299805,5,30,1.0,0,0.1,2221.41
9,0.1,2.555526669692993,5,30,1.0,0,0.13,2221.41
10,0.1,2.467864764404297,5,30,1.0,0,0.12,2226.26
11,0.1531,2.7149013031005857,5,30,1.0,0,0.09,2226.26
12,0.1,2.4806677238464356,5,30,1.0,0,0.15,2226.36
13,0.1,2.961407914352417,5,30,1.0,0,0.1,2226.57
14,0.1,2.8300583374023436,5,30,1.0,0,0.09,2226.57
15,0.1,2.8290011287689207,5,30,1.0,0,0.1,2226.63
16,0.1,2.7512118263244627,5,30,1.0,0,0.17,2226.63
17,0.1,2.4730623489379884,5,30,1.0,0,0.12,2226.78
18,0.1,2.7253603771209716,5,30,1.0,0,0.12,2226.79
19,0.1,2.4672817352294922,5,30,1.0,0,0.09,2226.79
20,0.1,3.2322232025146485,5,30,1.0,0,0.1,2226.81
21,0.1,2.574754559326172,5,30,1.0,0,0.1,2226.81
22,0.1,2.3496348205566404,5,30,1.0,0,0.1,2226.95
23,0.1,2.839982967376709,5,30,1.0,0,0.12,2226.95
24,0.1,2.937102604675293,5,30,1.0,0,0.1,2226.95
25,0.1,3.168352766418457,5,30,1.0,0,0.12,2226.95
26,0.1,2.8896784378051756,5,30,1.0,0,0.13,2226.95
27,0.1,2.4930584060668943,5,30,1.0,0,0.1,2226.95
28,0.1,3.6648877590179443,5,30,1.0,0,0.11,2227.7
29,0.1027,2.3665920879364015,5,30,1.0,0,0.09,2227.73
30,0.1,2.9449387687683104,5,30,1.0,0,0.11,2228.76
