round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,0.1,2.357301728057861,5,30,1.0,0,0.12,2265.6
2,0.1,2.3475653118133546,5,30,1.0,0,0.1,2265.6
3,0.1,2.3434959365844725,5,30,1.0,0,0.11,2265.6
4,0.1003,2.329088122177124,5,30,1.0,0,0.09,2265.6
5,0.1,2.311543147277832,5,30,1.0,0,0.1,2265.6
6,0.1446,2.292197646713257,5,30,0.3354,0,0.42,2265.6
7,0.1696,2.2422933238983154,5,30,0.3427,2,0.46,2265.6
8,0.1888,2.17143964805603,5,30,0.3235,0,0.47,2265.6
9,0.2315,2.0455056316375733,5,30,0.3047,0,0.53,2265.6
10,0.2135,2.05544729347229,5,30,0.2992,1,0.89,2265.6
11,0.2273,1.9986491313934327,5,30,0.2806,0,0.88,2265.6
12,0.2428,2.0020488275527955,5,30,0.2758,1,0.57,2265.6
13,0.2812,1.9073724647521972,5,30,0.2573,0,0.52,2265.6
14,0.2918,1.8526796772003173,5,30,0.2684,1,0.65,2265.6
15,0.3013,1.8437896001815797,5,30,0.2661,0,0.48,2265.6
16,0.3205,1.8133842906951905,5,30,0.2906,2,0.53,2265.6
17,0.317,1.798211789894104,5,30,0.2618,0,0.85,2265.6
18,0.3349,1.7658020023345948,5,30,0.2734,1,0.69,2265.6
19,0.2817,1.8442991111755371,5,30,0.271,0,0.59,2265.6
20,0.337,1.7650631580352782,5,30,0.2553,1,0.71,2265.6
21,0.3345,1.7347010421752929,5,30,0.2531,0,0.49,2265.6
22,0.374,1.6620152872085572,5,30,0.2375,1,0.61,2265.6
23,0.3583,1.71835280418396,5,30,0.2349,0,0.57,2265.6
24,0.3825,1.67945059967041,5,30,0.2321,2,0.77,2265.6
25,0.384,1.6476132526397704,5,30,0.2305,0,0.78,2265.6
26,0.3884,1.6422625125885009,5,30,0.2158,0,0.54,2265.6
27,0.4054,1.5981377264022827,5,30,0.2276,1,0.83,2265.6
28,0.3871,1.635187809562683,5,30,0.2264,0,0.57,2265.6
29,0.3978,1.6397015125274659,5,30,0.2253,1,0.82,2265.6
30,0.4413,1.5315884307861327,5,30,0.224,1,0.53,2265.6
