round,client_id,selected,utility,normalized_utility,detector,cusum_pos,cusum_neg,change_detected,change_direction,last_seen,age,explore_score,exploit_score,final_score
1,20,True,0.19404,0.194,none,,,False,,1,0,,,
1,12,True,0.416704,0.4167,none,,,False,,1,0,,,
1,18,True,0.288089,0.2881,none,,,False,,1,0,,,
1,2,True,0.252349,0.2523,none,,,False,,1,0,,,
1,29,True,0.409586,0.4096,none,,,False,,1,0,,,
2,27,True,0.397486,0.3975,none,,,False,,2,0,,,
2,2,True,0.097996,0.098,none,,,False,,2,0,,,
2,14,True,0.369469,0.3695,none,,,False,,2,0,,,
2,22,True,0.523885,0.5239,none,,,False,,2,0,,,
2,21,True,0.162248,0.1622,none,,,False,,2,0,,,
3,14,True,0.23403,0.234,none,,,False,,3,0,,,
3,21,True,0.290044,0.29,none,,,False,,3,0,,,
3,12,True,0.622602,0.6226,none,,,False,,3,0,,,
3,10,True,0.492436,0.4924,none,,,False,,3,0,,,
3,5,True,0.305178,0.3052,none,,,False,,3,0,,,
4,14,True,0.28768,0.2877,none,,,False,,4,0,,,
4,6,True,0.407656,0.4077,none,,,False,,4,0,,,
4,13,True,0.337329,0.3373,none,,,False,,4,0,,,
4,12,True,0.292779,0.2928,none,,,False,,4,0,,,
4,21,True,0.231076,0.2311,none,,,False,,4,0,,,
5,4,True,0.235719,0.2357,none,,,False,,5,0,,,
5,22,True,0.409827,0.4098,none,,,False,,5,0,,,
5,26,True,0.172515,0.1725,none,,,False,,5,0,,,
5,7,True,0.312009,0.312,none,,,False,,5,0,,,
5,18,True,0.337642,0.3376,none,,,False,,5,0,,,
6,27,True,0.267896,0.2679,none,,,False,,6,0,,,
6,23,True,0.469798,0.4698,none,,,False,,6,0,,,
6,12,True,0.532951,0.533,none,,,False,,6,0,,,
6,25,True,0.418998,0.419,none,,,False,,6,0,,,
6,19,True,0.400997,0.401,none,,,False,,6,0,,,
7,1,True,0.453421,0.4534,none,,,False,,7,0,,,
7,12,True,0.565686,0.5657,none,,,False,,7,0,,,
7,15,True,0.427245,0.4272,none,,,False,,7,0,,,
7,22,True,0.634339,0.6343,none,,,False,,7,0,,,
7,4,True,0.25821,0.2582,none,,,False,,7,0,,,
8,26,True,0.293424,0.2934,none,,,False,,8,0,,,
8,29,True,0.755212,0.7552,none,,,False,,8,0,,,
8,9,True,0.556288,0.5563,none,,,False,,8,0,,,
8,11,True,0.71764,0.7176,none,,,False,,8,0,,,
8,25,True,0.529761,0.5298,none,,,False,,8,0,,,
9,12,True,0.683346,0.6833,none,,,False,,9,0,,,
9,9,True,0.465262,0.4653,none,,,False,,9,0,,,
9,13,True,0.457788,0.4578,none,,,False,,9,0,,,
9,19,True,0.525426,0.5254,none,,,False,,9,0,,,
9,3,True,0.297873,0.2979,none,,,False,,9,0,,,
10,21,True,0.159653,0.1597,none,,,False,,10,0,,,
10,18,True,0.385408,0.3854,none,,,False,,10,0,,,
10,23,True,0.205773,0.2058,none,,,False,,10,0,,,
10,4,True,0.180311,0.1803,none,,,False,,10,0,,,
10,11,True,0.608885,0.6089,none,,,False,,10,0,,,
11,28,True,0.366867,0.3669,none,,,False,,11,0,,,
11,26,True,0.378491,0.3785,none,,,False,,11,0,,,
11,23,True,0.523701,0.5237,none,,,False,,11,0,,,
11,11,True,0.028571,0.0286,none,,,False,,11,0,,,
11,21,True,0.289059,0.2891,none,,,False,,11,0,,,
12,3,True,0.442077,0.4421,none,,,False,,12,0,,,
12,22,True,0.454705,0.4547,none,,,False,,12,0,,,
12,5,True,0.293996,0.294,none,,,False,,12,0,,,
12,0,True,0.501048,0.501,none,,,False,,12,0,,,
12,23,True,0.302674,0.3027,none,,,False,,12,0,,,
13,22,True,0.19559,0.1956,none,,,False,,13,0,,,
13,12,True,0.626302,0.6263,none,,,False,,13,0,,,
13,19,True,0.441925,0.4419,none,,,False,,13,0,,,
13,16,True,0.392876,0.3929,none,,,False,,13,0,,,
13,7,True,0.201447,0.2014,none,,,False,,13,0,,,
14,3,True,0.552384,0.5524,none,,,False,,14,0,,,
14,20,True,0.348837,0.3488,none,,,False,,14,0,,,
14,27,True,0.207263,0.2073,none,,,False,,14,0,,,
14,6,True,0.451046,0.451,none,,,False,,14,0,,,
14,12,True,0.521003,0.521,none,,,False,,14,0,,,
15,18,True,0.421594,0.4216,none,,,False,,15,0,,,
15,29,True,0.280028,0.28,none,,,False,,15,0,,,
15,20,True,0.30509,0.3051,none,,,False,,15,0,,,
15,2,True,0.540158,0.5402,none,,,False,,15,0,,,
15,16,True,0.137722,0.1377,none,,,False,,15,0,,,
16,16,True,0.247562,0.2476,none,,,False,,16,0,,,
16,0,True,0.251071,0.2511,none,,,False,,16,0,,,
16,10,True,0.595354,0.5954,none,,,False,,16,0,,,
16,7,True,0.245507,0.2455,none,,,False,,16,0,,,
16,13,True,0.428587,0.4286,none,,,False,,16,0,,,
17,0,True,0.148125,0.1481,none,,,False,,17,0,,,
17,23,True,0.516661,0.5167,none,,,False,,17,0,,,
17,24,True,0.14758,0.1476,none,,,False,,17,0,,,
17,6,True,0.33519,0.3352,none,,,False,,17,0,,,
17,25,True,0.396532,0.3965,none,,,False,,17,0,,,
18,7,True,0.070269,0.0703,none,,,False,,18,0,,,
