round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,0.1,2.418128994369507,5,30,1.0,0,0.2,2265.63
2,0.1,2.3772870025634765,5,30,1.0,0,0.11,2265.63
3,0.1294,2.416341419219971,5,30,1.0,0,0.11,2265.63
4,0.101,2.3863918827056887,5,30,1.0,0,0.13,2265.63
5,0.1113,2.3450429851531984,5,30,1.0,0,0.1,2265.63
6,0.1,2.3898291763305664,5,30,0.35,2,0.47,2265.63
7,0.1381,2.445957846069336,5,30,0.3422,0,0.41,2265.63
8,0.1802,2.2588956302642824,5,30,0.3234,0,0.5,2265.63
9,0.1782,2.1681111782073974,5,30,0.3174,1,0.71,2265.63
10,0.2544,2.1286149263381957,5,30,0.299,0,0.49,2265.63
11,0.2375,2.016598208427429,5,30,0.2942,1,0.75,2265.63
12,0.3096,1.8914792407989502,5,30,0.2755,0,0.5,2265.63
13,0.2721,1.9116139518737794,5,30,0.2573,0,0.58,2265.63
14,0.2757,2.2060248287200928,5,30,0.2545,0,0.97,2265.63
15,0.3106,1.8426239316940307,5,30,0.2519,1,0.55,2265.63
16,0.3334,1.7689918756484986,5,30,0.2361,0,1.1,2265.63
17,0.3734,1.7323814878463746,5,30,0.2466,1,0.56,2265.63
18,0.3731,1.704804389190674,5,30,0.244,1,0.55,2265.63
19,0.359,1.7158766275405883,5,30,0.2276,0,0.51,2265.63
20,0.3487,1.7177261011123657,5,30,0.2384,2,0.49,2265.63
21,0.3674,1.6867014600753785,5,30,0.2224,0,0.54,2265.63
22,0.3297,1.736071455001831,5,30,0.2332,1,0.7,2265.63
23,0.3296,1.7558575672149659,5,30,0.2448,1,0.55,2265.63
24,0.3945,1.625021576499939,5,30,0.2431,0,0.63,2265.63
25,0.3709,1.655122243499756,5,30,0.242,0,0.77,2265.63
26,0.3883,1.7025999504089355,5,30,0.2538,1,0.55,2265.63
27,0.3549,1.684113533782959,5,30,0.2393,0,0.54,2265.63
28,0.391,1.6260550773620606,5,30,0.2513,2,0.54,2265.63
29,0.4136,1.549165941429138,5,30,0.2635,1,0.5,2265.63
30,0.4314,1.5274046394348144,5,30,0.2353,0,0.79,2265.63
