round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,0.1,2.418128994369507,5,30,1.0,0,0.09,2265.61
2,0.1,2.3772870025634765,5,30,1.0,0,0.12,2265.61
3,0.1294,2.416341419219971,5,30,1.0,0,0.15,2265.61
4,0.101,2.3863918827056887,5,30,1.0,0,0.1,2265.61
5,0.1113,2.3450429851531984,5,30,1.0,0,0.15,2265.61
6,0.1,2.357414963531494,5,30,1.0,0,0.11,2265.61
7,0.1,2.342679432296753,5,30,1.0,0,0.11,2265.61
8,0.1041,2.4373690116882325,5,30,1.0,0,0.15,2265.61
9,0.1792,2.2814201934814453,5,30,1.0,0,0.1,2265.61
10,0.2201,2.1822621742248534,5,30,1.0,0,0.11,2265.61
11,0.1883,2.1319996307373046,5,30,1.0,0,0.1,2265.61
12,0.2296,2.134736996078491,5,30,1.0,0,0.1,2265.61
13,0.2431,2.1633612739562986,5,30,1.0,0,0.09,2265.61
14,0.2708,2.0061637567520143,5,30,1.0,0,0.1,2265.61
15,0.2231,1.9991766918182372,5,30,1.0,0,0.15,2265.61
16,0.2354,2.03551785697937,5,30,1.0,0,0.1,2265.61
17,0.3091,1.874270378303528,5,30,1.0,0,0.1,2265.61
18,0.2923,1.9130851053237916,5,30,1.0,0,0.11,2265.61
19,0.3168,1.8626571308135986,5,30,1.0,0,0.1,2265.61
20,0.2494,2.013801802635193,5,30,1.0,0,0.1,2265.61
21,0.3494,1.7809801574707032,5,30,1.0,0,0.12,2265.61
22,0.2755,1.9099373321533204,5,30,1.0,0,0.1,2265.61
23,0.3299,1.7700739616394043,5,30,1.0,0,0.1,2265.61
24,0.3395,1.7124828248977662,5,30,1.0,0,0.1,2265.61
25,0.3251,1.8859278194427491,5,30,1.0,0,0.1,2265.61
26,0.3082,1.8691860000610352,5,30,1.0,0,0.1,2265.61
27,0.339,1.7546687927246094,5,30,1.0,0,0.1,2265.61
28,0.3483,1.7107818078994752,5,30,1.0,0,0.1,2265.61
29,0.41,1.572770733642578,5,30,1.0,0,0.1,2265.61
30,0.4125,1.5645681562423706,5,30,1.0,0,0.1,2265.61
