round,client_id,selected,utility,normalized_utility,detector,cusum_pos,cusum_neg,change_detected,change_direction,last_seen,age,explore_score,exploit_score,final_score
1,20,True,0.557382,-0.6745,none,,,False,,1,0,,,
1,12,True,0.596312,0.6286,none,,,False,,1,0,,,
1,18,True,0.532559,-1.5054,none,,,False,,1,0,,,
1,2,True,0.577533,0.0,none,,,False,,1,0,,,
1,29,True,0.768286,3.0,none,,,False,,1,0,,,
2,27,True,0.678268,0.5662,none,,,False,,2,0,,,
2,2,True,0.91643,2.6045,none,,,False,,2,0,,,
2,14,True,0.612111,0.0,none,,,False,,2,0,,,
2,22,True,0.466663,-1.2448,none,,,False,,2,0,,,
2,21,True,0.533301,-0.6745,none,,,False,,2,0,,,
3,14,True,0.259278,-0.6745,none,,,False,,3,0,,,
3,21,True,0.451668,-0.2094,none,,,False,,3,0,,,
3,12,True,1.409838,2.107,none,,,False,,3,0,,,
3,10,True,0.928298,0.9429,none,,,False,,3,0,,,
3,5,True,0.538277,0.0,none,,,False,,3,0,,,
4,14,True,0.363533,-0.6745,none,,,False,,4,0,,,
4,6,True,0.81489,1.3619,none,,,False,,4,0,,,
4,13,True,0.458254,-0.2471,none,,,False,,4,0,,,
4,12,True,0.513028,0.0,none,,,False,,4,0,,,
4,21,True,0.844771,1.4968,none,,,False,,4,0,,,
5,4,True,1.226786,3.0,none,,,False,,5,0,,,
5,22,True,0.461765,-2.8233,none,,,False,,5,0,,,
5,26,True,0.640287,-0.4078,none,,,False,,5,0,,,
5,7,True,0.670428,0.0,none,,,False,,5,0,,,
5,18,True,0.720277,0.6745,none,,,False,,5,0,,,
6,4,True,0.914869,0.6745,cusum,,,True,positive,6,0,0.5058,4.3536,
6,29,True,0.729544,0.0192,none,,,False,,6,0,0.5392,3.3536,
6,6,True,0.724111,0.0,none,,,False,,6,0,0.3642,1.7155,
6,0,True,0.321451,-1.4237,none,,,False,,6,0,0.8,0.5,
6,1,True,0.529089,-0.6896,none,,,False,,6,0,0.8,0.5,
7,4,True,0.550815,-0.6745,none,,,False,,7,0,0.4521,3.1259,
7,29,True,0.67357,0.0246,none,,,False,,7,0,0.2521,1.7983,
7,2,True,0.66925,0.0,none,,,False,,7,0,0.4521,1.5909,
7,3,True,0.872752,1.159,none,,,False,,7,0,0.8,0.5,
7,8,True,0.375767,-1.6714,none,,,False,,7,0,0.8,0.5,
8,4,True,0.757982,0.9781,none,,,False,,8,0,0.4188,2.25,
8,3,True,0.596039,-0.6745,none,,,False,,8,0,0.3162,1.5125,
8,10,True,0.992463,3.0,none,,,False,,8,0,0.4912,1.2964,
8,9,True,0.662133,0.0,none,,,False,,8,0,0.8,0.5,
8,11,True,0.629874,-0.3292,none,,,False,,8,0,0.8,0.5,
9,10,True,0.488777,-0.3873,cusum,,,True,positive,9,0,0.441,3.2601,
9,4,True,1.293669,1.508,none,,,False,,9,0,0.3954,1.5497,
9,29,True,0.988352,0.789,none,,,False,,9,0,0.2528,1.2646,
9,15,True,0.366834,-0.6745,none,,,False,,9,0,0.8,0.5,
9,16,True,0.653272,0.0,none,,,False,,9,0,0.8,0.5,
10,10,True,0.603181,0.8838,none,,,False,,10,0,0.41,2.4352,
10,4,True,0.482142,0.0,none,,,False,,10,0,0.3779,1.808,
10,12,True,0.465158,-0.124,none,,,False,,10,0,0.385,1.1619,
10,17,True,0.389767,-0.6745,none,,,False,,10,0,0.8,0.5,
10,19,True,0.893309,3.0,none,,,False,,10,0,0.8,0.5,
11,19,True,0.90874,1.5344,cusum,,,True,positive,11,0,0.5248,4.3536,
11,10,True,0.24547,-0.8921,none,,,False,,11,0,0.3883,2.3891,
11,2,True,0.673695,0.6745,none,,,False,,11,0,0.3023,1.1182,
11,23,True,0.489324,0.0,none,,,False,,11,0,0.8,0.5,
11,24,True,0.465625,-0.0867,none,,,False,,11,0,0.8,0.5,
12,19,True,0.453273,-0.6745,none,,,False,,12,0,0.4312,3.5559,
12,2,True,0.285798,-1.2782,none,,,False,,12,0,0.1857,1.3166,
12,10,True,0.640395,0.0,none,,,False,,12,0,0.3721,1.0722,
12,25,True,0.774302,0.4827,none,,,False,,12,0,0.8,0.5,
12,28,True,0.876184,0.8499,none,,,False,,12,0,0.8,0.5,
13,19,True,1.027639,0.6745,none,,,False,,13,0,0.4019,2.5366,
13,28,True,0.68388,0.0,none,,,False,,13,0,0.3283,1.2035,
13,10,True,0.278805,-0.7948,none,,,False,,13,0,0.3592,1.1862,
13,22,True,0.532687,-0.2967,none,,,False,,13,0,0.6251,-1.7454,
13,20,True,1.061935,0.7418,none,,,False,,13,0,0.6244,-0.3209,
14,19,True,0.595908,-0.3344,none,,,False,,14,0,0.3815,1.7351,
14,4,True,0.968514,2.0838,none,,,False,,14,0,0.4323,1.0177,
14,6,True,0.756053,0.705,none,,,False,,14,0,0.4164,0.9696,
14,27,True,0.543505,-0.6745,none,,,False,,14,0,0.6046,0.9198,
