round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,,,10,100,1.0,0,0.22,1062.83
2,,,10,100,1.0,0,0.15,1073.03
3,,,10,100,1.0,0,0.12,1081.73
4,,,10,100,1.0,0,0.09,1068.77
5,0.1179,2.3013882450103758,10,100,1.0,0,0.1,1082.21
6,,,10,100,1.0,0,0.11,1098.89
7,,,10,100,1.0,0,0.12,1098.96
8,,,10,100,1.0,0,0.1,1093.19
9,,,10,100,1.0,0,0.19,1095.0
10,0.1469,2.2989975200653077,10,100,1.0,0,0.12,1113.79
11,,,10,100,1.0,0,0.17,1090.64
12,,,10,100,1.0,0,0.1,1101.43
13,,,10,100,1.0,0,0.12,1090.86
14,,,10,100,1.0,0,0.09,1092.17
15,0.1395,2.2933043327331544,10,100,1.0,0,0.1,1087.2
16,,,10,100,1.0,0,0.11,1092.27
17,,,10,100,1.0,0,0.09,1105.77
18,,,10,100,1.0,0,0.14,1106.38
19,,,10,100,1.0,0,0.27,1101.87
20,0.1231,2.2715084671020507,10,100,1.0,0,0.12,1118.92
21,,,10,100,1.0,0,0.15,1090.03
22,,,10,100,1.0,0,0.12,1101.7
23,,,10,100,1.0,0,0.11,1102.56
24,,,10,100,1.0,0,0.15,1101.81
25,0.2219,2.154968381500244,10,100,1.0,0,0.16,1089.42
26,,,10,100,1.0,0,0.14,1092.46
27,,,10,100,1.0,0,0.12,1098.29
28,,,10,100,1.0,0,0.08,1102.61
29,,,10,100,1.0,0,0.09,1100.77
30,0.2538,2.0274059459686278,10,100,1.0,0,0.12,1086.8
31,,,10,100,1.0,0,0.09,1101.8
32,,,10,100,1.0,0,0.11,1094.38
33,,,10,100,1.0,0,0.12,1105.8
34,,,10,100,1.0,0,0.08,1092.86
35,0.2878,1.9810937061309815,10,100,1.0,0,0.11,1096.95
36,,,10,100,1.0,0,0.13,1113.89
37,,,10,100,1.0,0,0.12,1092.41
38,,,10,100,1.0,0,0.11,1102.47
39,,,10,100,1.0,0,0.07,1101.89
40,0.2975,1.9425615808486938,10,100,1.0,0,0.08,1117.6
41,,,10,100,1.0,0,0.18,1092.62
42,,,10,100,1.0,0,0.09,1091.71
43,,,10,100,1.0,0,0.12,1103.5
44,,,10,100,1.0,0,0.15,1092.91
45,0.3099,1.9043295890808105,10,100,1.0,0,0.12,1088.8
46,,,10,100,1.0,0,0.12,1092.07
47,,,10,100,1.0,0,0.14,1098.66
48,,,10,100,1.0,0,0.16,1102.33
49,,,10,100,1.0,0,0.1,1092.85
50,0.3286,1.847835772705078,10,100,1.0,0,0.15,1094.02
51,,,10,100,1.0,0,0.18,1106.16
52,,,10,100,1.0,0,0.11,1106.92
53,,,10,100,1.0,0,0.13,1092.98
54,,,10,100,1.0,0,0.11,1092.59
55,0.3587,1.7863958339691162,10,100,1.0,0,0.14,1087.74
56,,,10,100,1.0,0,0.29,1091.14
57,,,10,100,1.0,0,0.17,1089.59
58,,,10,100,1.0,0,0.11,1099.89
59,,,10,100,1.0,0,0.15,1099.96
60,0.377,1.7242717416763305,10,100,1.0,0,0.15,1086.13
61,,,10,100,1.0,0,0.16,1090.06
62,,,10,100,1.0,0,0.11,1090.75
63,,,10,100,1.0,0,0.14,1090.0
64,,,10,100,1.0,0,0.11,1089.54
65,0.3941,1.681805365562439,10,100,1.0,0,0.14,1094.82
66,,,10,100,1.0,0,0.21,1092.2
67,,,10,100,1.0,0,0.19,1089.13
68,,,10,100,1.0,0,0.17,1101.38
69,,,10,100,1.0,0,0.35,1098.92
70,0.4042,1.6569952630996705,10,100,1.0,0,0.12,1087.08
71,,,10,100,1.0,0,0.12,1092.65
72,,,10,100,1.0,0,0.12,1091.4
73,,,10,100,1.0,0,0.11,1090.05
74,,,10,100,1.0,0,0.14,1090.09
75,0.417,1.6141845825195313,10,100,1.0,0,0.14,1086.23
76,,,10,100,1.0,0,0.16,1099.55
77,,,10,100,1.0,0,0.11,1090.18
78,,,10,100,1.0,0,0.13,1100.55
79,,,10,100,1.0,0,0.11,1100.14
80,0.4274,1.5867412637710572,10,100,1.0,0,0.14,1095.14
81,,,10,100,1.0,0,0.16,1089.31
82,,,10,100,1.0,0,0.11,1100.14
83,,,10,100,1.0,0,0.1,1096.15
84,,,10,100,1.0,0,0.15,1090.21
85,0.4351,1.5777841499328613,10,100,1.0,0,0.14,1098.52
86,,,10,100,1.0,0,0.16,1090.2
87,,,10,100,1.0,0,0.11,1095.72
88,,,10,100,1.0,0,0.14,1099.52
89,,,10,100,1.0,0,0.17,1086.52
90,0.4385,1.5360800048828125,10,100,1.0,0,0.17,1094.74
91,,,10,100,1.0,0,0.13,1091.84
92,,,10,100,1.0,0,0.14,1090.37
93,,,10,100,1.0,0,0.14,1102.69
94,,,10,100,1.0,0,0.15,1103.71
95,0.4533,1.5059455718994141,10,100,1.0,0,0.14,1096.11
96,,,10,100,1.0,0,0.22,1098.37
97,,,10,100,1.0,0,0.14,1090.29
98,,,10,100,1.0,0,0.13,1100.29
99,,,10,100,1.0,0,0.11,1100.14
100,0.4549,1.4962945173263549,10,100,1.0,0,0.11,1086.87
