round,client_id,selected,utility,normalized_utility,detector,cusum_pos,cusum_neg,change_detected,change_direction,last_seen,age,explore_score,exploit_score,final_score
1,45,True,0.001943,0.0019,none,,,False,,1,0,,,
1,82,True,0.002116,0.0021,none,,,False,,1,0,,,
1,4,True,0.001879,0.0019,none,,,False,,1,0,,,
1,54,True,0.001761,0.0018,none,,,False,,1,0,,,
1,60,True,0.003835,0.0038,none,,,False,,1,0,,,
1,98,True,0.002732,0.0027,none,,,False,,1,0,,,
1,1,True,0.001421,0.0014,none,,,False,,1,0,,,
1,26,True,0.001865,0.0019,none,,,False,,1,0,,,
1,37,True,0.001445,0.0014,none,,,False,,1,0,,,
1,58,True,0.002759,0.0028,none,,,False,,1,0,,,
2,98,True,0.002337,0.0023,none,,,False,,2,0,,,
2,18,True,0.003504,0.0035,none,,,False,,2,0,,,
2,76,True,0.001203,0.0012,none,,,False,,2,0,,,
2,36,True,0.001663,0.0017,none,,,False,,2,0,,,
2,27,True,0.001884,0.0019,none,,,False,,2,0,,,
2,13,True,0.002237,0.0022,none,,,False,,2,0,,,
2,88,True,0.001955,0.002,none,,,False,,2,0,,,
2,41,True,0.002579,0.0026,none,,,False,,2,0,,,
2,89,True,0.002439,0.0024,none,,,False,,2,0,,,
2,84,True,0.001272,0.0013,none,,,False,,2,0,,,
3,49,True,0.001563,0.0016,none,,,False,,3,0,,,
3,78,True,0.003745,0.0037,none,,,False,,3,0,,,
3,43,True,0.001959,0.002,none,,,False,,3,0,,,
3,90,True,0.001261,0.0013,none,,,False,,3,0,,,
3,96,True,0.00288,0.0029,none,,,False,,3,0,,,
3,45,True,0.002041,0.002,none,,,False,,3,0,,,
3,58,True,0.002785,0.0028,none,,,False,,3,0,,,
3,36,True,0.001506,0.0015,none,,,False,,3,0,,,
3,69,True,0.002095,0.0021,none,,,False,,3,0,,,
3,94,True,0.003371,0.0034,none,,,False,,3,0,,,
4,67,True,0.001475,0.0015,none,,,False,,4,0,,,
4,79,True,0.001855,0.0019,none,,,False,,4,0,,,
4,53,True,0.00144,0.0014,none,,,False,,4,0,,,
4,5,True,0.00241,0.0024,none,,,False,,4,0,,,
4,31,True,0.002586,0.0026,none,,,False,,4,0,,,
4,11,True,0.001702,0.0017,none,,,False,,4,0,,,
4,59,True,0.00206,0.0021,none,,,False,,4,0,,,
4,99,True,0.00211,0.0021,none,,,False,,4,0,,,
4,9,True,0.002467,0.0025,none,,,False,,4,0,,,
4,28,True,0.00273,0.0027,none,,,False,,4,0,,,
5,52,True,0.003179,0.0032,none,,,False,,5,0,,,
5,9,True,0.002365,0.0024,none,,,False,,5,0,,,
5,39,True,0.002927,0.0029,none,,,False,,5,0,,,
5,27,True,0.002287,0.0023,none,,,False,,5,0,,,
5,68,True,0.003709,0.0037,none,,,False,,5,0,,,
5,31,True,0.002748,0.0027,none,,,False,,5,0,,,
5,25,True,0.001603,0.0016,none,,,False,,5,0,,,
5,58,True,0.002883,0.0029,none,,,False,,5,0,,,
5,3,True,0.001242,0.0012,none,,,False,,5,0,,,
5,95,True,0.001605,0.0016,none,,,False,,5,0,,,
6,26,True,0.001662,0.0017,none,,,False,,6,0,,,
6,64,True,0.002554,0.0026,none,,,False,,6,0,,,
6,42,True,0.001125,0.0011,none,,,False,,6,0,,,
6,36,True,0.001686,0.0017,none,,,False,,6,0,,,
6,16,True,0.001471,0.0015,none,,,False,,6,0,,,
6,77,True,0.001697,0.0017,none,,,False,,6,0,,,
6,7,True,0.001297,0.0013,none,,,False,,6,0,,,
6,22,True,0.001823,0.0018,none,,,False,,6,0,,,
6,20,True,0.002958,0.003,none,,,False,,6,0,,,
6,31,True,0.002638,0.0026,none,,,False,,6,0,,,
7,12,True,0.002474,0.0025,none,,,False,,7,0,,,
7,64,True,0.002653,0.0027,none,,,False,,7,0,,,
7,62,True,0.001918,0.0019,none,,,False,,7,0,,,
7,75,True,0.002156,0.0022,none,,,False,,7,0,,,
7,73,True,0.001718,0.0017,none,,,False,,7,0,,,
