round,test_accuracy,test_loss,num_selected,total_clients,epsilon,change_events,selection_time_ms,server_memory_mb
1,,,10,100,1.0,0,0.25,2014.18
2,,,10,100,1.0,0,0.09,2014.18
3,,,10,100,1.0,0,0.08,2014.18
4,,,10,100,1.0,0,0.08,2014.18
5,0.1007,2.3522247833251955,10,100,1.0,0,0.08,2014.18
6,,,10,100,0.3441,0,1.75,2014.18
7,,,10,100,0.3324,0,1.24,2014.18
8,,,10,100,0.321,0,1.75,2014.18
9,,,10,100,0.3101,0,1.83,2014.18
10,0.1038,2.3419603256225585,10,100,0.2985,0,1.12,2014.18
11,,,10,100,0.2898,0,1.19,2014.18
12,,,10,100,0.281,0,1.26,2014.18
13,,,10,100,0.2764,1,1.38,2014.18
14,,,10,100,0.2679,0,1.43,2014.18
15,0.1003,2.3410197868347167,10,100,0.2634,1,1.29,2014.18
16,,,10,100,0.2476,1,1.52,2014.18
17,,,10,100,0.2364,0,1.39,2014.18
18,,,10,100,0.2204,0,1.55,2014.18
19,,,10,100,0.2067,1,1.53,2014.18
20,0.1024,2.3005492248535155,10,100,0.1931,0,2.27,2014.18
21,,,10,100,0.1843,0,1.64,2014.18
22,,,10,100,0.1828,1,2.39,2014.18
23,,,10,100,0.1815,1,4.4,2014.18
24,,,10,100,0.1803,0,1.73,2014.18
25,0.1276,2.238486639404297,10,100,0.1788,0,1.74,2014.18
26,,,10,100,0.1776,0,1.62,2014.18
27,,,10,100,0.1806,1,1.82,2014.18
28,,,10,100,0.1795,0,1.63,2014.18
29,,,10,100,0.1783,1,1.84,2014.18
30,0.1442,2.221438934326172,10,100,0.1773,0,1.64,2014.18
31,,,10,100,0.1764,0,1.84,2014.18
32,,,10,100,0.1755,1,1.74,2014.18
33,,,10,100,0.1747,0,1.78,2014.18
34,,,10,100,0.1737,0,1.87,2014.18
35,0.163,2.241949877166748,10,100,0.1725,0,1.69,2014.18
36,,,10,100,0.1717,0,2.45,2014.18
37,,,10,100,0.1669,0,2.67,2014.18
38,,,10,100,0.1661,1,1.74,2014.18
39,,,10,100,0.1652,0,1.87,2014.18
40,0.1573,2.1801663082122804,10,100,0.1644,0,1.67,2014.18
41,,,10,100,0.1635,0,1.74,2014.18
42,,,10,100,0.1588,0,1.63,2014.18
43,,,10,100,0.1579,0,2.01,2014.18
44,,,10,100,0.1611,1,1.65,2014.18
45,0.1678,2.1457888820648194,10,100,0.1603,0,1.67,2014.18
46,,,10,100,0.1597,0,2.33,2014.18
47,,,10,100,0.1589,0,1.57,2014.18
48,,,10,100,0.1582,1,2.53,2014.18
49,,,10,100,0.1612,1,3.43,2014.18
50,0.2229,2.11362543258667,10,100,0.1606,0,1.78,2014.18
51,,,10,100,0.1601,1,1.9,2014.18
52,,,10,100,0.1596,0,1.93,2014.18
53,,,10,100,0.1591,0,1.69,2014.18
54,,,10,100,0.1586,0,2.24,2014.18
55,0.2392,2.008621922492981,10,100,0.1581,1,1.94,2014.18
56,,,10,100,0.1576,0,1.95,2014.18
57,,,10,100,0.1571,0,1.65,2014.18
58,,,10,100,0.1527,0,1.71,2014.18
59,,,10,100,0.1522,0,2.01,2014.18
60,0.2409,1.9678863626480103,10,100,0.1517,0,1.75,2014.18
61,,,10,100,0.1471,0,2.76,2014.18
62,,,10,100,0.1466,0,2.54,2014.18
63,,,10,100,0.1502,1,1.71,2014.18
64,,,10,100,0.1498,0,2.69,2014.18
65,0.3099,1.8878103887557984,10,100,0.1453,0,1.97,2014.18
66,,,10,100,0.1449,1,2.4,2014.18
67,,,10,100,0.1445,0,1.96,2014.18
68,,,10,100,0.1481,1,2.03,2014.18
69,,,10,100,0.1517,1,1.99,2014.18
70,0.2488,1.9785272203445434,10,100,0.1514,0,1.6,2014.18
71,,,10,100,0.1551,2,1.73,2014.18
72,,,10,100,0.1549,1,1.71,2014.18
73,,,10,100,0.1547,0,2.79,2014.18
74,,,10,100,0.1545,0,1.78,2014.18
75,0.2789,1.9335181884765624,10,100,0.1543,2,2.76,2014.18
76,,,10,100,0.1541,0,3.37,2014.18
77,,,10,100,0.1539,0,1.76,2014.18
78,,,10,100,0.1498,0,2.03,2014.18
79,,,10,100,0.1496,2,1.9,2014.18
80,0.3045,1.8997876461029053,10,100,0.1494,0,1.76,2014.18
81,,,10,100,0.1491,0,2.02,2014.18
82,,,10,100,0.1449,0,1.74,2014.18
83,,,10,100,0.1447,0,1.87,2014.18
84,,,10,100,0.1446,2,1.72,2014.18
85,0.3086,1.902492101097107,10,100,0.1444,0,2.02,2014.18
86,,,10,100,0.1442,0,1.78,2014.18
87,,,10,100,0.144,1,1.78,2014.18
88,,,10,100,0.1438,1,2.04,2014.18
89,,,10,100,0.1437,0,2.82,2014.18
90,0.3259,1.8440307350158691,10,100,0.1436,0,2.71,2014.18
91,,,10,100,0.1434,0,2.18,2014.18
92,,,10,100,0.1433,1,1.98,2014.18
93,,,10,100,0.1472,1,2.4,2014.18
94,,,10,100,0.1471,0,1.86,2014.18
95,0.3145,1.855291100502014,10,100,0.1551,2,1.78,2014.18
96,,,10,100,0.155,1,1.87,2014.18
97,,,10,100,0.1548,1,2.12,2014.18
98,,,10,100,0.1588,2,2.37,2014.18
99,,,10,100,0.1586,0,1.87,2014.18
100,0.2493,1.9536175968170166,10,100,0.1585,0,2.17,2014.18
