k,ratio,method,final_acc_mean,final_acc_ci_95,recovery_acc_mean,recovery_acc_ci_95,gini_mean,coverage_mean,num_seeds
5,0.05,fedqual_cpx,27.14,"[23.56, 30.08]",23.32,"[21.94, 24.32]",0.4347,100.0,3
5,0.05,random,33.08,"[30.87, 34.36]",24.01,"[22.81, 26.31]",0.2432,99.3,3
10,0.1,fedqual_cpx,31.8,"[31.03, 32.52]",29.04,"[26.90, 30.44]",0.5051,100.0,3
10,0.1,random,36.58,"[30.55, 40.52]",30.79,"[28.50, 32.35]",0.1705,100.0,3
25,0.25,fedqual_cpx,41.45,"[40.72, 42.33]",37.26,"[36.44, 38.04]",0.4427,100.0,8
25,0.25,random,43.56,"[42.60, 44.42]",38.18,"[37.42, 38.87]",0.0974,100.0,8
36,0.36,fedqual_cpx,44.03,"[43.68, 44.42]",39.56,"[38.61, 40.33]",0.3463,100.0,8
36,0.36,random,44.66,"[44.24, 45.15]",39.74,"[38.81, 40.55]",0.073,100.0,8
50,0.5,fedqual_cpx,45.36,"[45.01, 45.80]",41.13,"[40.54, 41.62]",0.2718,100.0,8
50,0.5,random,45.69,"[45.09, 46.26]",40.9,"[40.33, 41.47]",0.0581,100.0,8
