metric,method_a,method_b,n_pairs,mean_a,ci_95_a,mean_b,ci_95_b,mean_difference,cohens_d,wilcoxon_stat,wilcoxon_p_value,ttest_stat,ttest_p_value,statistically_significant_05
final_accuracy,FedQual-CPX,random,10,0.3401,"[0.3215, 0.3597]",0.3619,"[0.342, 0.3793]",-0.0218,-0.6696,14.0,0.19336,-1.4588,0.17861,False
gini_starvation,FedQual-CPX (Gini),random (Gini),10,0.4856,"[0.4665, 0.5047]",0.1707,"[0.1638, 0.1773]",0.3149,12.9896,0.0,0.00195,34.1067,0.0,True
final_accuracy,FedQual-CPX,utility_greedy,5,0.3324,"[0.3166, 0.3488]",0.3835,"[0.3576, 0.4048]",-0.0511,-1.9977,1.0,0.125,-2.7283,0.05253,False
gini_starvation,FedQual-CPX (Gini),utility_greedy (Gini),5,0.4846,"[0.4554, 0.5137]",0.8976,"[0.895, 0.8995]",-0.413,-14.9072,0.0,0.0625,-25.3972,1e-05,False
final_accuracy,FedQual-CPX,sliding_window,5,0.3324,"[0.3166, 0.3488]",0.3727,"[0.3471, 0.3928]",-0.0403,-1.6119,2.0,0.1875,-2.0015,0.11592,False
gini_starvation,FedQual-CPX (Gini),sliding_window (Gini),5,0.4846,"[0.4554, 0.5137]",0.8998,"[0.8995, 0.9]",-0.4153,-15.0313,0.0,0.0625,-23.646,2e-05,False
final_accuracy,FedQual-CPX,fixed_exploration,5,0.3324,"[0.3166, 0.3488]",0.3235,"[0.2925, 0.3559]",0.0088,0.2723,6.0,0.8125,0.4103,0.70263,False
gini_starvation,FedQual-CPX (Gini),fixed_exploration (Gini),5,0.4846,"[0.4554, 0.5137]",0.7052,"[0.6836, 0.7287]",-0.2206,-6.4455,0.0,0.0625,-22.5681,2e-05,False
final_accuracy,FedQual-CPX,page_hinckley_adaptive,10,0.3401,"[0.3215, 0.3597]",0.3401,"[0.3215, 0.3597]",0.0,0.0,0.0,1.0,nan,nan,False
gini_starvation,FedQual-CPX (Gini),page_hinckley_adaptive (Gini),10,0.4856,"[0.4665, 0.5047]",0.4856,"[0.4665, 0.5047]",0.0,0.0,0.0,1.0,nan,nan,False
final_accuracy,FedQual-CPX,oort,10,0.3401,"[0.3215, 0.3597]",0.3433,"[0.3157, 0.3667]",-0.0031,-0.0811,26.0,0.92188,-0.2056,0.84168,False
gini_starvation,FedQual-CPX (Gini),oort (Gini),10,0.4856,"[0.4665, 0.5047]",0.6356,"[0.6212, 0.6504]",-0.15,-5.2278,0.0,0.00195,-11.6644,0.0,True
